query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061620	BP	351	glycolytic process through glucose-6-phosphate	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061621	BP	214	canonical glycolysis	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061615	BP	349	glycolytic process through fructose-6-phosphate	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0006735	BP	129	NADH regeneration	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061718	BP	306	glucose catabolic process to pyruvate	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	2.85e-08	45	158	11	0.07	0.244	KEGG:05130	keg	58	Pathogenic Escherichia coli infection	1	ENSG00000067560,ENSG00000075624,ENSG00000123416,ENSG00000127824,ENSG00000137267,ENSG00000167552,ENSG00000184009,ENSG00000188229,ENSG00000196230,ENSG00000241553,ENSG00000258947
1	TRUE	1.27e-07	817	293	46	0.157	0.056	GO:0098796	CC	348	membrane protein complex	1	ENSG00000003056,ENSG00000006125,ENSG00000010256,ENSG00000042753,ENSG00000065518,ENSG00000070718,ENSG00000075785,ENSG00000078369,ENSG00000087460,ENSG00000088832,ENSG00000100568,ENSG00000111775,ENSG00000116288,ENSG00000117118,ENSG00000117410,ENSG00000128266,ENSG00000131143,ENSG00000135390,ENSG00000135750,ENSG00000136928,ENSG00000137312,ENSG00000140990,ENSG00000147123,ENSG00000147481,ENSG00000147684,ENSG00000149575,ENSG00000158445,ENSG00000158828,ENSG00000158864,ENSG00000159720,ENSG00000161203,ENSG00000162517,ENSG00000163399,ENSG00000163902,ENSG00000165280,ENSG00000165283,ENSG00000166257,ENSG00000174917,ENSG00000177301,ENSG00000179091,ENSG00000181789,ENSG00000183454,ENSG00000185825,ENSG00000196876,ENSG00000198934,ENSG00000273079
1	TRUE	2.07e-07	156	394	24	0.061	0.154	KEGG:05010	keg	350	Alzheimer disease	1	ENSG00000010256,ENSG00000015475,ENSG00000065518,ENSG00000100030,ENSG00000111640,ENSG00000111775,ENSG00000115944,ENSG00000117118,ENSG00000126267,ENSG00000131143,ENSG00000135390,ENSG00000140740,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000158864,ENSG00000164885,ENSG00000166136,ENSG00000176749,ENSG00000179091,ENSG00000183454,ENSG00000186318,ENSG00000213619,ENSG00000273079
1	TRUE	3.61e-07	526	400	41	0.102	0.078	GO:0005740	CC	271	mitochondrial envelope	1	ENSG00000005022,ENSG00000010256,ENSG00000015475,ENSG00000025772,ENSG00000065518,ENSG00000075415,ENSG00000096080,ENSG00000100335,ENSG00000101019,ENSG00000101290,ENSG00000106153,ENSG00000111775,ENSG00000115944,ENSG00000116288,ENSG00000117118,ENSG00000126267,ENSG00000129473,ENSG00000131143,ENSG00000135390,ENSG00000135900,ENSG00000139644,ENSG00000140740,ENSG00000140990,ENSG00000144659,ENSG00000147123,ENSG00000147684,ENSG00000158828,ENSG00000158864,ENSG00000165283,ENSG00000166136,ENSG00000169230,ENSG00000170315,ENSG00000171552,ENSG00000174917,ENSG00000178057,ENSG00000179091,ENSG00000182768,ENSG00000204568,ENSG00000213619,ENSG00000215021,ENSG00000262814
1	TRUE	4.17e-07	179	394	25	0.063	0.14	KEGG:05016	keg	106	Huntington disease	1	ENSG00000005022,ENSG00000006125,ENSG00000010256,ENSG00000042753,ENSG00000065518,ENSG00000105258,ENSG00000111775,ENSG00000115944,ENSG00000117118,ENSG00000122705,ENSG00000126267,ENSG00000131143,ENSG00000135390,ENSG00000140740,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000158864,ENSG00000161203,ENSG00000166136,ENSG00000175203,ENSG00000179091,ENSG00000213619,ENSG00000233276,ENSG00000273079
1	TRUE	4.17e-07	131	291	18	0.062	0.137	KEGG:05012	keg	148	Parkinson disease	1	ENSG00000005022,ENSG00000010256,ENSG00000065518,ENSG00000111775,ENSG00000115944,ENSG00000116288,ENSG00000117118,ENSG00000126267,ENSG00000131143,ENSG00000135390,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000154277,ENSG00000158828,ENSG00000158864,ENSG00000170315,ENSG00000179091
1	TRUE	6.33e-07	51	17	5	0.294	0.098	KEGG:00010	keg	41	Glycolysis / Gluconeogenesis	1	ENSG00000067225,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	6.33e-07	118	206	15	0.073	0.127	KEGG:04145	keg	5	Phagosome	1	ENSG00000003056,ENSG00000075624,ENSG00000075785,ENSG00000117410,ENSG00000123416,ENSG00000127824,ENSG00000137267,ENSG00000159720,ENSG00000167552,ENSG00000184009,ENSG00000188229,ENSG00000196230,ENSG00000197102,ENSG00000213760,ENSG00000258947
1	TRUE	1.85e-06	309	290	24	0.083	0.078	GO:0045202	CC	308	synapse	1	ENSG00000055163,ENSG00000067560,ENSG00000075624,ENSG00000078053,ENSG00000089063,ENSG00000100568,ENSG00000115977,ENSG00000127561,ENSG00000131238,ENSG00000132718,ENSG00000148660,ENSG00000157152,ENSG00000158109,ENSG00000164885,ENSG00000165246,ENSG00000166111,ENSG00000170579,ENSG00000172020,ENSG00000176749,ENSG00000177301,ENSG00000183454,ENSG00000198934,ENSG00000244274,ENSG00000273079
1	TRUE	1.9e-06	78	394	14	0.036	0.179	GO:0098803	CC	13	respiratory chain complex	1	ENSG00000010256,ENSG00000065518,ENSG00000111775,ENSG00000116288,ENSG00000117118,ENSG00000131143,ENSG00000140740,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000158864,ENSG00000166136,ENSG00000179091,ENSG00000213619
1	TRUE	2.04e-06	120	394	19	0.048	0.158	KEGG:00190	keg	313	Oxidative phosphorylation	1	ENSG00000010256,ENSG00000065518,ENSG00000111775,ENSG00000115944,ENSG00000117118,ENSG00000117410,ENSG00000126267,ENSG00000131143,ENSG00000135390,ENSG00000140740,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000158864,ENSG00000159720,ENSG00000166136,ENSG00000179091,ENSG00000213619,ENSG00000213760
