query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000405	152	173	4	0.023	0.026	KEGG:03013	keg	29	RNA transport	1	ENSG00000075151,ENSG00000161960,ENSG00000206625,ENSG00000265185
1	TRUE	0.0359	5	231	2	0.009	0.4	GO:0045541	BP	33	negative regulation of cholesterol biosynthetic process	1	ENSG00000107566,ENSG00000130203
1	TRUE	0.0359	22	176	2	0.011	0.091	GO:0032201	BP	17	telomere maintenance via semi-conservative replication	1	ENSG00000132604,ENSG00000133119
1	TRUE	0.0359	15	190	2	0.011	0.133	GO:0021795	BP	2	cerebral cortex cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0359	760	205	9	0.044	0.012	GO:0043085	BP	37	positive regulation of catalytic activity	1	ENSG00000019582,ENSG00000132604,ENSG00000133119,ENSG00000135824,ENSG00000167110,ENSG00000169313,ENSG00000169855,ENSG00000182578,ENSG00000198863
1	TRUE	0.0359	23	178	2	0.011	0.087	GO:0061180	BP	39	mammary gland epithelium development	1	ENSG00000169855,ENSG00000182578
1	TRUE	0.0359	77	190	3	0.016	0.039	GO:0021537	BP	19	telencephalon development	1	ENSG00000147862,ENSG00000169313,ENSG00000169855
1	TRUE	0.0359	9	173	2	0.012	0.222	GO:0016281	CC	28	eukaryotic translation initiation factor 4F complex	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0359	88	162	2	0.012	0.023	GO:0008026	MF	1	ATP-dependent helicase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0359	15	173	2	0.012	0.133	GO:0000339	MF	20	RNA cap binding	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0359	5	213	2	0.009	0.4	GO:0015277	MF	6	kainate selective glutamate receptor activity	1	ENSG00000164418,ENSG00000171189
1	TRUE	0.0359	649	194	7	0.036	0.011	GO:0038023	MF	26	signaling receptor activity	1	ENSG00000019582,ENSG00000054118,ENSG00000153233,ENSG00000164418,ENSG00000169313,ENSG00000169855,ENSG00000182578
1	TRUE	0.0359	7	225	2	0.009	0.286	GO:0001608	MF	50	G-protein coupled nucleotide receptor activity	1	ENSG00000169313,ENSG00000181631
1	TRUE	0.0359	66	162	2	0.012	0.03	GO:0008186	MF	25	RNA-dependent ATPase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0404	19	190	2	0.011	0.105	GO:0006929	BP	7	substrate-dependent cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0404	28	178	2	0.011	0.071	GO:0021954	BP	47	central nervous system neuron development	1	ENSG00000147862,ENSG00000169855
