query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	4.2e-12	5573	163	111	0.681	0.02	GO:0016020	CC	120	membrane	1	ENSG00000006116,ENSG00000020129,ENSG00000033627,ENSG00000040608,ENSG00000054356,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000071553,ENSG00000072062,ENSG00000086758,ENSG00000087274,ENSG00000089693,ENSG00000092096,ENSG00000099365,ENSG00000100280,ENSG00000100321,ENSG00000100991,ENSG00000101152,ENSG00000102003,ENSG00000103034,ENSG00000103647,ENSG00000104853,ENSG00000104888,ENSG00000105220,ENSG00000105270,ENSG00000105290,ENSG00000105402,ENSG00000105409,ENSG00000105568,ENSG00000105649,ENSG00000105696,ENSG00000105701,ENSG00000105953,ENSG00000106682,ENSG00000106976,ENSG00000107862,ENSG00000108797,ENSG00000110107,ENSG00000110514,ENSG00000111674,ENSG00000113763,ENSG00000116688,ENSG00000118160,ENSG00000119383,ENSG00000121653,ENSG00000121905,ENSG00000125648,ENSG00000130643,ENSG00000130985,ENSG00000134287,ENSG00000135472,ENSG00000135916,ENSG00000135956,ENSG00000136854,ENSG00000137726,ENSG00000142186,ENSG00000142541,ENSG00000143126,ENSG00000143761,ENSG00000143862,ENSG00000144567,ENSG00000144711,ENSG00000149428,ENSG00000154096,ENSG00000155093,ENSG00000155506,ENSG00000155980,ENSG00000156453,ENSG00000157064,ENSG00000158856,ENSG00000159164,ENSG00000159363,ENSG00000159842,ENSG00000160014,ENSG00000160408,ENSG00000160716,ENSG00000162188,ENSG00000166313,ENSG00000166448,ENSG00000167658,ENSG00000167972,ENSG00000168000,ENSG00000169100,ENSG00000169783,ENSG00000171130,ENSG00000171450,ENSG00000172270,ENSG00000172757,ENSG00000174231,ENSG00000179115,ENSG00000181754,ENSG00000184702,ENSG00000185883,ENSG00000196338,ENSG00000196961,ENSG00000197106,ENSG00000198792,ENSG00000198910,ENSG00000198911,ENSG00000198925,ENSG00000204310,ENSG00000204681,ENSG00000204843,ENSG00000220205,ENSG00000221946,ENSG00000240764,ENSG00000241360,ENSG00000241973,ENSG00000242173,ENSG00000254772
1	TRUE	4.75e-10	57	110	11	0.1	0.193	KEGG:04721	keg	73	Synaptic vesicle cycle	1	ENSG00000033627,ENSG00000099365,ENSG00000104888,ENSG00000105402,ENSG00000105649,ENSG00000106976,ENSG00000136854,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205
1	TRUE	1.85e-09	2629	137	60	0.438	0.023	GO:0031982	CC	47	vesicle	1	ENSG00000004059,ENSG00000006116,ENSG00000008056,ENSG00000033627,ENSG00000040608,ENSG00000054356,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000071553,ENSG00000072062,ENSG00000086758,ENSG00000099365,ENSG00000100280,ENSG00000100321,ENSG00000101152,ENSG00000102003,ENSG00000104833,ENSG00000104888,ENSG00000105220,ENSG00000105223,ENSG00000105270,ENSG00000105402,ENSG00000105409,ENSG00000105568,ENSG00000105649,ENSG00000106976,ENSG00000111674,ENSG00000119383,ENSG00000130643,ENSG00000130985,ENSG00000135916,ENSG00000135956,ENSG00000136854,ENSG00000138107,ENSG00000143761,ENSG00000143862,ENSG00000149428,ENSG00000154096,ENSG00000155093,ENSG00000158856,ENSG00000159164,ENSG00000159363,ENSG00000160014,ENSG00000160753,ENSG00000166165,ENSG00000167658,ENSG00000167770,ENSG00000167972,ENSG00000171130,ENSG00000172270,ENSG00000172757,ENSG00000184702,ENSG00000185883,ENSG00000196338,ENSG00000196961,ENSG00000198853,ENSG00000198925,ENSG00000220205,ENSG00000241973
1	TRUE	5.76e-09	1384	131	40	0.305	0.029	GO:0031410	CC	157	cytoplasmic vesicle	1	ENSG00000006116,ENSG00000008056,ENSG00000033627,ENSG00000054356,ENSG00000069424,ENSG00000070808,ENSG00000071553,ENSG00000072062,ENSG00000086758,ENSG00000099365,ENSG00000100280,ENSG00000100321,ENSG00000101152,ENSG00000102003,ENSG00000104888,ENSG00000105220,ENSG00000105270,ENSG00000105649,ENSG00000130643,ENSG00000130985,ENSG00000135956,ENSG00000136854,ENSG00000143862,ENSG00000149428,ENSG00000155093,ENSG00000158856,ENSG00000159164,ENSG00000159363,ENSG00000160753,ENSG00000167658,ENSG00000167972,ENSG00000171130,ENSG00000184702,ENSG00000185883,ENSG00000196338,ENSG00000196961,ENSG00000198853,ENSG00000198925,ENSG00000220205,ENSG00000241973
1	TRUE	7.65e-09	604	158	29	0.184	0.048	GO:0097458	CC	23	neuron part	1	ENSG00000006116,ENSG00000008056,ENSG00000020129,ENSG00000040608,ENSG00000054356,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104888,ENSG00000105409,ENSG00000105649,ENSG00000108797,ENSG00000113763,ENSG00000154096,ENSG00000155093,ENSG00000159164,ENSG00000159363,ENSG00000164061,ENSG00000166313,ENSG00000171450,ENSG00000181754,ENSG00000184702,ENSG00000197106,ENSG00000198910,ENSG00000204843,ENSG00000220205
1	TRUE	4.7e-07	84	150	11	0.073	0.131	GO:0008021	CC	132	synaptic vesicle	1	ENSG00000008056,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104888,ENSG00000105649,ENSG00000155093,ENSG00000159164,ENSG00000184702,ENSG00000197106,ENSG00000220205
1	TRUE	1.1e-06	3241	161	69	0.429	0.021	GO:0071944	CC	151	cell periphery	1	ENSG00000006116,ENSG00000033627,ENSG00000040608,ENSG00000054356,ENSG00000069424,ENSG00000070808,ENSG00000072062,ENSG00000087274,ENSG00000092096,ENSG00000099365,ENSG00000100321,ENSG00000100991,ENSG00000101152,ENSG00000103034,ENSG00000104853,ENSG00000104888,ENSG00000105220,ENSG00000105270,ENSG00000105290,ENSG00000105409,ENSG00000105649,ENSG00000106976,ENSG00000108797,ENSG00000110514,ENSG00000111674,ENSG00000113763,ENSG00000118160,ENSG00000121653,ENSG00000130643,ENSG00000135916,ENSG00000135956,ENSG00000136854,ENSG00000137726,ENSG00000138107,ENSG00000143126,ENSG00000143761,ENSG00000143862,ENSG00000154096,ENSG00000155093,ENSG00000156453,ENSG00000158856,ENSG00000159164,ENSG00000159363,ENSG00000160014,ENSG00000160408,ENSG00000160716,ENSG00000162188,ENSG00000164061,ENSG00000166313,ENSG00000166448,ENSG00000167658,ENSG00000167972,ENSG00000169783,ENSG00000172270,ENSG00000181754,ENSG00000184702,ENSG00000185883,ENSG00000196338,ENSG00000196961,ENSG00000197106,ENSG00000198910,ENSG00000204681,ENSG00000204843,ENSG00000220205,ENSG00000221946,ENSG00000240764,ENSG00000241360,ENSG00000241973,ENSG00000242173
1	TRUE	2.03e-06	157	149	13	0.087	0.083	GO:0099177	BP	127	regulation of trans-synaptic signaling	1	ENSG00000008056,ENSG00000070808,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000105649,ENSG00000118160,ENSG00000136854,ENSG00000143761,ENSG00000160716,ENSG00000184702,ENSG00000196338,ENSG00000220205
1	TRUE	2.03e-06	156	149	13	0.087	0.083	GO:0050804	BP	165	modulation of chemical synaptic transmission	1	ENSG00000008056,ENSG00000070808,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000105649,ENSG00000118160,ENSG00000136854,ENSG00000143761,ENSG00000160716,ENSG00000184702,ENSG00000196338,ENSG00000220205
1	TRUE	1.16e-05	3257	158	65	0.411	0.02	GO:0006810	BP	139	transport	1	ENSG00000004059,ENSG00000006116,ENSG00000008056,ENSG00000033627,ENSG00000054356,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000071553,ENSG00000072062,ENSG00000084731,ENSG00000086758,ENSG00000087274,ENSG00000092096,ENSG00000099365,ENSG00000100321,ENSG00000100991,ENSG00000101152,ENSG00000102003,ENSG00000104888,ENSG00000105220,ENSG00000105270,ENSG00000105402,ENSG00000105409,ENSG00000105649,ENSG00000106976,ENSG00000107862,ENSG00000116688,ENSG00000118160,ENSG00000121653,ENSG00000121905,ENSG00000125648,ENSG00000130294,ENSG00000130643,ENSG00000134287,ENSG00000136854,ENSG00000137726,ENSG00000138107,ENSG00000142541,ENSG00000143761,ENSG00000143862,ENSG00000149428,ENSG00000154096,ENSG00000155093,ENSG00000155980,ENSG00000158856,ENSG00000159363,ENSG00000160014,ENSG00000160716,ENSG00000167658,ENSG00000167972,ENSG00000169100,ENSG00000171130,ENSG00000181754,ENSG00000184702,ENSG00000185883,ENSG00000196338,ENSG00000196961,ENSG00000197106,ENSG00000198911,ENSG00000203879,ENSG00000204619,ENSG00000204843,ENSG00000220205,ENSG00000221946
