query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000136	732	748	58	0.078	0.079	GO:0006396	BP	12	RNA processing	1	ENSG00000013441,ENSG00000021776,ENSG00000058673,ENSG00000060339,ENSG00000067248,ENSG00000075292,ENSG00000079134,ENSG00000083223,ENSG00000083520,ENSG00000100028,ENSG00000104613,ENSG00000108406,ENSG00000108848,ENSG00000109534,ENSG00000110768,ENSG00000111358,ENSG00000112739,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000122566,ENSG00000123737,ENSG00000124193,ENSG00000124383,ENSG00000124784,ENSG00000125351,ENSG00000131051,ENSG00000132467,ENSG00000137574,ENSG00000137776,ENSG00000138035,ENSG00000138398,ENSG00000139168,ENSG00000140830,ENSG00000145736,ENSG00000145833,ENSG00000146963,ENSG00000147679,ENSG00000155827,ENSG00000156697,ENSG00000162664,ENSG00000163166,ENSG00000164167,ENSG00000164944,ENSG00000165733,ENSG00000166477,ENSG00000171103,ENSG00000172062,ENSG00000175387,ENSG00000177613,ENSG00000180917,ENSG00000185246,ENSG00000186666,ENSG00000196504,ENSG00000223496,ENSG00000240344,ENSG00000272047
1	TRUE	0.000136	3895	732	199	0.272	0.051	GO:0006139	BP	26	nucleobase-containing compound metabolic process	1	ENSG00000004700,ENSG00000005483,ENSG00000009413,ENSG00000010244,ENSG00000013441,ENSG00000014138,ENSG00000016082,ENSG00000021776,ENSG00000029153,ENSG00000038219,ENSG00000042429,ENSG00000048649,ENSG00000054267,ENSG00000058673,ENSG00000060339,ENSG00000067248,ENSG00000073756,ENSG00000075292,ENSG00000078043,ENSG00000079134,ENSG00000081177,ENSG00000083223,ENSG00000083520,ENSG00000089335,ENSG00000094841,ENSG00000100028,ENSG00000100522,ENSG00000100815,ENSG00000101190,ENSG00000101751,ENSG00000101882,ENSG00000101938,ENSG00000101972,ENSG00000102038,ENSG00000104312,ENSG00000104447,ENSG00000104613,ENSG00000105821,ENSG00000105939,ENSG00000107077,ENSG00000108055,ENSG00000108384,ENSG00000108406,ENSG00000108510,ENSG00000108848,ENSG00000109381,ENSG00000109534,ENSG00000110768,ENSG00000111358,ENSG00000112249,ENSG00000112739,ENSG00000113522,ENSG00000113658,ENSG00000114739,ENSG00000115053,ENSG00000115159,ENSG00000115170,ENSG00000115355,ENSG00000115539,ENSG00000115942,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000116833,ENSG00000117000,ENSG00000117593,ENSG00000117620,ENSG00000120784,ENSG00000120798,ENSG00000121892,ENSG00000122376,ENSG00000122566,ENSG00000122643,ENSG00000123200,ENSG00000123737,ENSG00000124193,ENSG00000124383,ENSG00000124784,ENSG00000125351,ENSG00000125356,ENSG00000125482,ENSG00000125629,ENSG00000128573,ENSG00000130783,ENSG00000131013,ENSG00000131051,ENSG00000131931,ENSG00000132467,ENSG00000133997,ENSG00000136108,ENSG00000136940,ENSG00000137203,ENSG00000137574,ENSG00000137776,ENSG00000137806,ENSG00000137815,ENSG00000138035,ENSG00000138380,ENSG00000138398,ENSG00000138433,ENSG00000139168,ENSG00000139372,ENSG00000140830,ENSG00000141446,ENSG00000141646,ENSG00000144161,ENSG00000145041,ENSG00000145734,ENSG00000145736,ENSG00000145833,ENSG00000146143,ENSG00000146247,ENSG00000146587,ENSG00000146963,ENSG00000147124,ENSG00000147231,ENSG00000147679,ENSG00000148835,ENSG00000149308,ENSG00000149311,ENSG00000151461,ENSG00000152409,ENSG00000152520,ENSG00000153767,ENSG00000153922,ENSG00000154269,ENSG00000155827,ENSG00000156256,ENSG00000156697,ENSG00000156802,ENSG00000159086,ENSG00000159131,ENSG00000162664,ENSG00000162733,ENSG00000163166,ENSG00000164105,ENSG00000164167,ENSG00000164190,ENSG00000164251,ENSG00000164463,ENSG00000164509,ENSG00000164736,ENSG00000164944,ENSG00000165097,ENSG00000165730,ENSG00000165732,ENSG00000165733,ENSG00000166012,ENSG00000166477,ENSG00000166923,ENSG00000167232,ENSG00000168803,ENSG00000169016,ENSG00000169251,ENSG00000169299,ENSG00000170448,ENSG00000170522,ENSG00000171103,ENSG00000171988,ENSG00000172062,ENSG00000172572,ENSG00000174485,ENSG00000175387,ENSG00000177613,ENSG00000178573,ENSG00000178966,ENSG00000179119,ENSG00000180917,ENSG00000181315,ENSG00000181555,ENSG00000185115,ENSG00000185246,ENSG00000186666,ENSG00000188906,ENSG00000196267,ENSG00000196284,ENSG00000196504,ENSG00000196586,ENSG00000196693,ENSG00000197008,ENSG00000197142,ENSG00000197275,ENSG00000197579,ENSG00000197757,ENSG00000197782,ENSG00000198521,ENSG00000198887,ENSG00000204977,ENSG00000205581,ENSG00000213096,ENSG00000213741,ENSG00000223496,ENSG00000240344,ENSG00000244754,ENSG00000254004,ENSG00000256525,ENSG00000269964,ENSG00000272047,ENSG00000272602
1	TRUE	0.000136	3415	732	181	0.247	0.053	GO:0090304	BP	52	nucleic acid metabolic process	1	ENSG00000004700,ENSG00000005483,ENSG00000009413,ENSG00000010244,ENSG00000013441,ENSG00000014138,ENSG00000016082,ENSG00000021776,ENSG00000029153,ENSG00000038219,ENSG00000042429,ENSG00000048649,ENSG00000054267,ENSG00000058673,ENSG00000060339,ENSG00000067248,ENSG00000075292,ENSG00000078043,ENSG00000079134,ENSG00000081177,ENSG00000083223,ENSG00000083520,ENSG00000089335,ENSG00000100028,ENSG00000100815,ENSG00000101190,ENSG00000101751,ENSG00000101882,ENSG00000101938,ENSG00000101972,ENSG00000102038,ENSG00000104312,ENSG00000104447,ENSG00000104613,ENSG00000105821,ENSG00000105939,ENSG00000107077,ENSG00000108055,ENSG00000108384,ENSG00000108406,ENSG00000108510,ENSG00000108848,ENSG00000109381,ENSG00000109534,ENSG00000110768,ENSG00000111358,ENSG00000112249,ENSG00000112739,ENSG00000113522,ENSG00000113658,ENSG00000114739,ENSG00000115053,ENSG00000115170,ENSG00000115355,ENSG00000115942,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000116833,ENSG00000117000,ENSG00000117593,ENSG00000120784,ENSG00000120798,ENSG00000121892,ENSG00000122376,ENSG00000122566,ENSG00000123200,ENSG00000123737,ENSG00000124193,ENSG00000124383,ENSG00000124784,ENSG00000125351,ENSG00000125482,ENSG00000125629,ENSG00000128573,ENSG00000130783,ENSG00000131013,ENSG00000131051,ENSG00000131931,ENSG00000132467,ENSG00000133997,ENSG00000136108,ENSG00000137203,ENSG00000137574,ENSG00000137776,ENSG00000137815,ENSG00000138035,ENSG00000138380,ENSG00000138398,ENSG00000138433,ENSG00000139168,ENSG00000139372,ENSG00000140830,ENSG00000141446,ENSG00000141646,ENSG00000144161,ENSG00000145041,ENSG00000145734,ENSG00000145736,ENSG00000145833,ENSG00000146143,ENSG00000146247,ENSG00000146587,ENSG00000146963,ENSG00000147124,ENSG00000147231,ENSG00000147679,ENSG00000148835,ENSG00000149308,ENSG00000149311,ENSG00000151461,ENSG00000152409,ENSG00000152520,ENSG00000153767,ENSG00000153922,ENSG00000155827,ENSG00000156256,ENSG00000156697,ENSG00000156802,ENSG00000159086,ENSG00000162664,ENSG00000162733,ENSG00000163166,ENSG00000164105,ENSG00000164167,ENSG00000164190,ENSG00000164251,ENSG00000164463,ENSG00000164509,ENSG00000164736,ENSG00000164944,ENSG00000165097,ENSG00000165730,ENSG00000165732,ENSG00000165733,ENSG00000166012,ENSG00000166477,ENSG00000166923,ENSG00000167232,ENSG00000169016,ENSG00000169251,ENSG00000170448,ENSG00000171103,ENSG00000171988,ENSG00000172062,ENSG00000174485,ENSG00000175387,ENSG00000177613,ENSG00000178573,ENSG00000178966,ENSG00000179119,ENSG00000180917,ENSG00000181315,ENSG00000181555,ENSG00000185115,ENSG00000185246,ENSG00000186666,ENSG00000196267,ENSG00000196284,ENSG00000196504,ENSG00000196586,ENSG00000196693,ENSG00000197008,ENSG00000197275,ENSG00000197579,ENSG00000197757,ENSG00000197782,ENSG00000198521,ENSG00000198887,ENSG00000204977,ENSG00000205581,ENSG00000213096,ENSG00000213741,ENSG00000223496,ENSG00000240344,ENSG00000244754,ENSG00000254004,ENSG00000256525,ENSG00000269964,ENSG00000272047,ENSG00000272602
1	TRUE	0.000496	1357	729	85	0.117	0.063	GO:0003723	MF	20	RNA binding	1	ENSG00000010244,ENSG00000021776,ENSG00000058673,ENSG00000060339,ENSG00000065243,ENSG00000067248,ENSG00000067334,ENSG00000075292,ENSG00000082515,ENSG00000083223,ENSG00000089048,ENSG00000100028,ENSG00000101746,ENSG00000101882,ENSG00000101901,ENSG00000104131,ENSG00000105821,ENSG00000105939,ENSG00000106591,ENSG00000108406,ENSG00000108848,ENSG00000109534,ENSG00000109618,ENSG00000111011,ENSG00000111358,ENSG00000112249,ENSG00000112739,ENSG00000113460,ENSG00000113742,ENSG00000115053,ENSG00000115761,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000117593,ENSG00000118246,ENSG00000122566,ENSG00000123200,ENSG00000123737,ENSG00000124193,ENSG00000124383,ENSG00000125351,ENSG00000126777,ENSG00000131013,ENSG00000131051,ENSG00000131732,ENSG00000132467,ENSG00000133858,ENSG00000137776,ENSG00000137815,ENSG00000138035,ENSG00000138398,ENSG00000138709,ENSG00000139168,ENSG00000144161,ENSG00000145736,ENSG00000145833,ENSG00000146909,ENSG00000146963,ENSG00000147231,ENSG00000147679,ENSG00000153914,ENSG00000154719,ENSG00000155827,ENSG00000156697,ENSG00000158417,ENSG00000162664,ENSG00000163946,ENSG00000164167,ENSG00000164944,ENSG00000165732,ENSG00000165733,ENSG00000168724,ENSG00000169251,ENSG00000173230,ENSG00000174720,ENSG00000175387,ENSG00000176624,ENSG00000177613,ENSG00000183808,ENSG00000185088,ENSG00000185246,ENSG00000196504,ENSG00000223496,ENSG00000234545
1	TRUE	0.00052	520	51	11	0.216	0.021	GO:0007017	BP	51	microtubule-based process	1	ENSG00000074935,ENSG00000100815,ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000115355,ENSG00000126777,ENSG00000127914,ENSG00000162959,ENSG00000170759,ENSG00000187240
1	TRUE	0.000769	66	45	5	0.111	0.076	GO:0006275	BP	53	regulation of DNA replication	1	ENSG00000101972,ENSG00000108055,ENSG00000115355,ENSG00000121892,ENSG00000141446
1	TRUE	0.00123	3522	738	177	0.24	0.05	GO:0031981	CC	34	nuclear lumen	1	ENSG00000002549,ENSG00000004700,ENSG00000005471,ENSG00000005483,ENSG00000009413,ENSG00000010244,ENSG00000014138,ENSG00000016082,ENSG00000021776,ENSG00000026103,ENSG00000029153,ENSG00000038219,ENSG00000042317,ENSG00000042429,ENSG00000048649,ENSG00000054267,ENSG00000058673,ENSG00000060339,ENSG00000065243,ENSG00000067334,ENSG00000072133,ENSG00000075292,ENSG00000078043,ENSG00000079134,ENSG00000083223,ENSG00000083520,ENSG00000087502,ENSG00000090686,ENSG00000100028,ENSG00000100815,ENSG00000101745,ENSG00000101746,ENSG00000101751,ENSG00000101882,ENSG00000101972,ENSG00000102038,ENSG00000102710,ENSG00000104447,ENSG00000104613,ENSG00000105821,ENSG00000107077,ENSG00000108021,ENSG00000108055,ENSG00000108384,ENSG00000108510,ENSG00000108848,ENSG00000109381,ENSG00000109534,ENSG00000110768,ENSG00000111358,ENSG00000112249,ENSG00000112701,ENSG00000112739,ENSG00000113282,ENSG00000113460,ENSG00000113522,ENSG00000113658,ENSG00000114107,ENSG00000114125,ENSG00000115053,ENSG00000115761,ENSG00000115942,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000116833,ENSG00000118407,ENSG00000120798,ENSG00000121152,ENSG00000121892,ENSG00000122566,ENSG00000123200,ENSG00000123737,ENSG00000124193,ENSG00000124383,ENSG00000124784,ENSG00000125351,ENSG00000125482,ENSG00000127947,ENSG00000129534,ENSG00000130783,ENSG00000131013,ENSG00000131051,ENSG00000131931,ENSG00000132467,ENSG00000133997,ENSG00000134152,ENSG00000134884,ENSG00000137203,ENSG00000137574,ENSG00000137770,ENSG00000137776,ENSG00000137815,ENSG00000138398,ENSG00000138433,ENSG00000139168,ENSG00000139372,ENSG00000140830,ENSG00000141446,ENSG00000141646,ENSG00000143507,ENSG00000143952,ENSG00000144161,ENSG00000145041,ENSG00000145734,ENSG00000145736,ENSG00000145780,ENSG00000145833,ENSG00000146143,ENSG00000146587,ENSG00000146909,ENSG00000147082,ENSG00000147679,ENSG00000147874,ENSG00000148835,ENSG00000149308,ENSG00000149311,ENSG00000151151,ENSG00000152409,ENSG00000153767,ENSG00000153914,ENSG00000153922,ENSG00000154710,ENSG00000155827,ENSG00000156256,ENSG00000156697,ENSG00000156802,ENSG00000159055,ENSG00000162664,ENSG00000163166,ENSG00000163946,ENSG00000164105,ENSG00000164167,ENSG00000164190,ENSG00000164463,ENSG00000164543,ENSG00000164736,ENSG00000164944,ENSG00000164961,ENSG00000165097,ENSG00000165730,ENSG00000165732,ENSG00000165733,ENSG00000166012,ENSG00000166477,ENSG00000166828,ENSG00000169016,ENSG00000169251,ENSG00000171988,ENSG00000172062,ENSG00000174720,ENSG00000175387,ENSG00000176697,ENSG00000177613,ENSG00000178966,ENSG00000179119,ENSG00000181555,ENSG00000182670,ENSG00000182919,ENSG00000185115,ENSG00000196284,ENSG00000196504,ENSG00000196586,ENSG00000197142,ENSG00000197579,ENSG00000197757,ENSG00000198887,ENSG00000204179,ENSG00000205189,ENSG00000205581,ENSG00000213741,ENSG00000223496,ENSG00000227268,ENSG00000232040,ENSG00000254004,ENSG00000269964,ENSG00000272047
1	TRUE	0.00156	533	14	6	0.429	0.011	GO:0005815	CC	35	microtubule organizing center	1	ENSG00000065243,ENSG00000074935,ENSG00000122417,ENSG00000127914,ENSG00000170759,ENSG00000175455
1	TRUE	0.00195	1662	550	80	0.145	0.048	GO:0140110	MF	36	transcription regulator activity	1	ENSG00000005801,ENSG00000010244,ENSG00000010539,ENSG00000029153,ENSG00000042429,ENSG00000048405,ENSG00000054267,ENSG00000058673,ENSG00000078043,ENSG00000089116,ENSG00000089335,ENSG00000093167,ENSG00000096654,ENSG00000100815,ENSG00000101190,ENSG00000102038,ENSG00000104447,ENSG00000105708,ENSG00000105821,ENSG00000108510,ENSG00000109381,ENSG00000111358,ENSG00000113658,ENSG00000116560,ENSG00000116833,ENSG00000117000,ENSG00000117010,ENSG00000120784,ENSG00000120798,ENSG00000125482,ENSG00000129534,ENSG00000130783,ENSG00000130818,ENSG00000131931,ENSG00000133997,ENSG00000137203,ENSG00000138380,ENSG00000141646,ENSG00000144161,ENSG00000145736,ENSG00000146587,ENSG00000147124,ENSG00000148835,ENSG00000149308,ENSG00000152409,ENSG00000158691,ENSG00000164463,ENSG00000164509,ENSG00000167232,ENSG00000167384,ENSG00000170448,ENSG00000171448,ENSG00000175105,ENSG00000175387,ENSG00000176222,ENSG00000177853,ENSG00000178573,ENSG00000182141,ENSG00000182903,ENSG00000187987,ENSG00000188171,ENSG00000188321,ENSG00000188994,ENSG00000196267,ENSG00000196284,ENSG00000196693,ENSG00000197020,ENSG00000197124,ENSG00000197757,ENSG00000197782,ENSG00000198105,ENSG00000198521,ENSG00000204920,ENSG00000213096,ENSG00000213799,ENSG00000229676,ENSG00000232040,ENSG00000244754,ENSG00000254004,ENSG00000277462
1	TRUE	0.00226	610	67	12	0.179	0.02	GO:0070925	BP	47	organelle assembly	1	ENSG00000079950,ENSG00000100815,ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000115355,ENSG00000118246,ENSG00000122417,ENSG00000127914,ENSG00000166037,ENSG00000187240,ENSG00000188906
