query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00296	320	164	13	0.079	0.041	GO:0016569	BP	12	covalent chromatin modification	1	ENSG00000076108,ENSG00000100393,ENSG00000100425,ENSG00000104885,ENSG00000118058,ENSG00000120071,ENSG00000127663,ENSG00000132510,ENSG00000136807,ENSG00000171456,ENSG00000174744,ENSG00000223443,ENSG00000272333
1	TRUE	0.00313	50	164	6	0.037	0.12	GO:0045652	BP	24	regulation of megakaryocyte differentiation	1	ENSG00000078687,ENSG00000100393,ENSG00000118058,ENSG00000155363,ENSG00000185513,ENSG00000272333
1	TRUE	0.0107	216	16	4	0.25	0.019	GO:0040029	BP	3	regulation of gene expression, epigenetic	1	ENSG00000078687,ENSG00000100393,ENSG00000119772,ENSG00000266074
1	TRUE	0.0111	56	288	7	0.024	0.125	GO:0001578	BP	23	microtubule bundle formation	1	ENSG00000114841,ENSG00000136861,ENSG00000160188,ENSG00000160401,ENSG00000167566,ENSG00000171811,ENSG00000214021
1	TRUE	0.0184	422	116	11	0.095	0.026	GO:0120031	BP	26	plasma membrane bounded cell projection assembly	1	ENSG00000079974,ENSG00000114841,ENSG00000116127,ENSG00000126870,ENSG00000131697,ENSG00000136861,ENSG00000160299,ENSG00000196924,ENSG00000214021,ENSG00000223443,ENSG00000225190
1	TRUE	0.0234	24	360	5	0.014	0.208	GO:0090568	CC	15	nuclear transcriptional repressor complex	1	ENSG00000076108,ENSG00000101945,ENSG00000136044,ENSG00000170004,ENSG00000266074
1	TRUE	0.0256	21	95	3	0.032	0.143	GO:1903131	BP	9	mononuclear cell differentiation	1	ENSG00000010610,ENSG00000100345,ENSG00000100813
1	TRUE	0.0256	3	122	2	0.016	0.667	GO:0060372	BP	19	regulation of atrial cardiac muscle cell membrane repolarization	1	ENSG00000157388,ENSG00000196924
1	TRUE	0.0256	1	4	1	0.25	1	GO:0061921	BP	17	peptidyl-lysine propionylation	1	ENSG00000100393
1	TRUE	0.0256	1	4	1	0.25	1	GO:0140067	BP	7	peptidyl-lysine butyrylation	1	ENSG00000100393
1	TRUE	0.0256	1	4	1	0.25	1	GO:0043969	BP	8	histone H2B acetylation	1	ENSG00000100393
1	TRUE	0.0256	15	116	3	0.026	0.2	GO:0000242	CC	16	pericentriolar material	1	ENSG00000079974,ENSG00000126870,ENSG00000136861
1	TRUE	0.0256	1	4	1	0.25	1	GO:0140065	MF	28	peptide butyryltransferase activity	1	ENSG00000100393
1	TRUE	0.0256	1	4	1	0.25	1	GO:0061920	MF	21	protein propionyltransferase activity	1	ENSG00000100393
