query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00042	152	173	4	0.023	0.026	KEGG:03013	keg	26	RNA transport	1	ENSG00000075151,ENSG00000161960,ENSG00000206625,ENSG00000265185
1	TRUE	0.0288	1232	240	15	0.062	0.012	GO:0006357	BP	60	regulation of transcription by RNA polymerase II	1	ENSG00000011007,ENSG00000054118,ENSG00000069667,ENSG00000100207,ENSG00000107566,ENSG00000108469,ENSG00000130203,ENSG00000130816,ENSG00000136931,ENSG00000147862,ENSG00000166164,ENSG00000174460,ENSG00000175550,ENSG00000197323,ENSG00000244405
1	TRUE	0.0288	5	231	2	0.009	0.4	GO:0045541	BP	85	negative regulation of cholesterol biosynthetic process	1	ENSG00000107566,ENSG00000130203
1	TRUE	0.0288	7097	237	47	0.198	0.007	GO:0050789	BP	34	regulation of biological process	1	ENSG00000011007,ENSG00000019582,ENSG00000054118,ENSG00000069667,ENSG00000074621,ENSG00000075151,ENSG00000085832,ENSG00000090316,ENSG00000100207,ENSG00000103037,ENSG00000105048,ENSG00000105255,ENSG00000107566,ENSG00000112306,ENSG00000119698,ENSG00000125730,ENSG00000128563,ENSG00000130203,ENSG00000130559,ENSG00000130816,ENSG00000131558,ENSG00000132604,ENSG00000133119,ENSG00000135824,ENSG00000136931,ENSG00000147862,ENSG00000153233,ENSG00000155111,ENSG00000161960,ENSG00000164418,ENSG00000166164,ENSG00000167110,ENSG00000167674,ENSG00000169313,ENSG00000169855,ENSG00000170681,ENSG00000171189,ENSG00000174460,ENSG00000175550,ENSG00000176542,ENSG00000181631,ENSG00000182578,ENSG00000196781,ENSG00000197323,ENSG00000198863,ENSG00000222014,ENSG00000244405
1	TRUE	0.0288	1	165	1	0.006	1	GO:0032208	BP	16	negative regulation of telomere maintenance via recombination	1	ENSG00000132604
1	TRUE	0.0288	23	178	2	0.011	0.087	GO:0061180	BP	20	mammary gland epithelium development	1	ENSG00000169855,ENSG00000182578
1	TRUE	0.0288	19	190	2	0.011	0.105	GO:0006929	BP	99	substrate-dependent cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0288	1	165	1	0.006	1	GO:0045950	BP	87	negative regulation of mitotic recombination	1	ENSG00000132604
1	TRUE	0.0288	1	171	1	0.006	1	GO:2000795	BP	39	negative regulation of epithelial cell proliferation involved in lung morphogenesis	1	ENSG00000147862
1	TRUE	0.0288	19	190	2	0.011	0.105	GO:0048678	BP	31	response to axon injury	1	ENSG00000116984,ENSG00000169313
1	TRUE	0.0288	1	171	1	0.006	1	GO:2000791	BP	96	negative regulation of mesenchymal cell proliferation involved in lung development	1	ENSG00000147862
1	TRUE	0.0288	2733	233	24	0.103	0.009	GO:0010468	BP	59	regulation of gene expression	1	ENSG00000011007,ENSG00000019582,ENSG00000054118,ENSG00000069667,ENSG00000075151,ENSG00000100207,ENSG00000103037,ENSG00000107566,ENSG00000112306,ENSG00000125730,ENSG00000130203,ENSG00000130816,ENSG00000132604,ENSG00000136931,ENSG00000147862,ENSG00000161960,ENSG00000166164,ENSG00000169855,ENSG00000170681,ENSG00000174460,ENSG00000175550,ENSG00000196781,ENSG00000197323,ENSG00000244405
1	TRUE	0.0288	37	176	2	0.011	0.054	GO:0090329	BP	84	regulation of DNA-dependent DNA replication	1	ENSG00000132604,ENSG00000133119
1	TRUE	0.0288	1	165	1	0.006	1	GO:1903517	BP	47	negative regulation of single strand break repair	1	ENSG00000132604
1	TRUE	0.0288	1	171	1	0.006	1	GO:0060510	BP	37	type II pneumocyte differentiation	1	ENSG00000147862
1	TRUE	0.0288	1	171	1	0.006	1	GO:0021730	BP	79	trigeminal sensory nucleus development	1	ENSG00000147862
1	TRUE	0.0288	1	165	1	0.006	1	GO:1903770	BP	35	negative regulation of beta-galactosidase activity	1	ENSG00000132604
1	TRUE	0.0288	28	178	2	0.011	0.071	GO:0021954	BP	44	central nervous system neuron development	1	ENSG00000147862,ENSG00000169855
1	TRUE	0.0288	15	190	2	0.011	0.133	GO:0021795	BP	115	cerebral cortex cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0288	9	173	2	0.012	0.222	GO:0016281	CC	72	eukaryotic translation initiation factor 4F complex	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0288	33	233	3	0.013	0.091	GO:0032934	MF	38	sterol binding	1	ENSG00000069667,ENSG00000107566,ENSG00000130203
1	TRUE	0.0288	7	225	2	0.009	0.286	GO:0001608	MF	17	G-protein coupled nucleotide receptor activity	1	ENSG00000169313,ENSG00000181631
1	TRUE	0.0288	65	162	2	0.012	0.031	GO:0004004	MF	107	ATP-dependent RNA helicase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0288	1	167	1	0.006	1	GO:0005234	MF	83	extracellularly glutamate-gated ion channel activity	1	ENSG00000164418
1	TRUE	0.0288	7	225	2	0.009	0.286	GO:0045028	MF	69	G-protein coupled purinergic nucleotide receptor activity	1	ENSG00000169313,ENSG00000181631
1	TRUE	0.0288	2275	176	8	0.045	0.004	GO:0003676	MF	104	nucleic acid binding	1	ENSG00000054118,ENSG00000075151,ENSG00000105705,ENSG00000132604,ENSG00000133119,ENSG00000140829,ENSG00000147862,ENSG00000161960
1	TRUE	0.0288	5	213	2	0.009	0.4	GO:0015277	MF	10	kainate selective glutamate receptor activity	1	ENSG00000164418,ENSG00000171189
1	TRUE	0.0288	66	162	2	0.012	0.03	GO:0003724	MF	113	RNA helicase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0293	21	194	2	0.01	0.095	GO:1903131	BP	73	mononuclear cell differentiation	1	ENSG00000019582,ENSG00000182578
1	TRUE	0.0293	2	165	1	0.006	0.5	GO:1905778	BP	54	negative regulation of exonuclease activity	1	ENSG00000132604
1	TRUE	0.0293	2	165	1	0.006	0.5	GO:1904534	BP	93	negative regulation of telomeric loop disassembly	1	ENSG00000132604
1	TRUE	0.0293	10	233	2	0.009	0.2	GO:0042753	BP	12	positive regulation of circadian rhythm	1	ENSG00000054118,ENSG00000069667
1	TRUE	0.0293	1	174	1	0.006	1	GO:0005011	MF	19	macrophage colony-stimulating factor receptor activity	1	ENSG00000182578
1	TRUE	0.0307	11	231	2	0.009	0.182	GO:0051000	BP	116	positive regulation of nitric-oxide synthase activity	1	ENSG00000130203,ENSG00000132604
1	TRUE	0.0308	104	194	3	0.015	0.029	GO:0050920	BP	45	regulation of chemotaxis	1	ENSG00000019582,ENSG00000169313,ENSG00000169855
