query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00237	568	51	11	0.216	0.019	GO:0000902	BP	80	cell morphogenesis	1	ENSG00000091136,ENSG00000111249,ENSG00000120156,ENSG00000128578,ENSG00000130402,ENSG00000145147,ENSG00000154229,ENSG00000173406,ENSG00000197555,ENSG00000257923,ENSG00000275342
1	TRUE	0.00237	385	85	11	0.129	0.029	GO:0000904	BP	56	cell morphogenesis involved in differentiation	1	ENSG00000091136,ENSG00000111249,ENSG00000118257,ENSG00000120156,ENSG00000130402,ENSG00000145147,ENSG00000154229,ENSG00000173406,ENSG00000189056,ENSG00000197555,ENSG00000257923
1	TRUE	0.00559	43	17	3	0.176	0.07	GO:0048814	BP	9	regulation of dendrite morphogenesis	1	ENSG00000111249,ENSG00000197555,ENSG00000257923
1	TRUE	0.00559	761	68	13	0.191	0.017	GO:0007155	BP	78	cell adhesion	1	ENSG00000091136,ENSG00000113100,ENSG00000118257,ENSG00000120156,ENSG00000130402,ENSG00000135426,ENSG00000136099,ENSG00000144668,ENSG00000151276,ENSG00000154229,ENSG00000177707,ENSG00000183090,ENSG00000196159
1	TRUE	0.00559	783	110	16	0.145	0.02	GO:0016477	BP	5	cell migration	1	ENSG00000091136,ENSG00000103064,ENSG00000118257,ENSG00000120156,ENSG00000128512,ENSG00000128578,ENSG00000130402,ENSG00000135919,ENSG00000137843,ENSG00000139144,ENSG00000140538,ENSG00000145147,ENSG00000154229,ENSG00000183098,ENSG00000189056,ENSG00000275342
1	TRUE	0.00609	37	85	4	0.047	0.108	GO:0021987	BP	22	cerebral cortex development	1	ENSG00000091136,ENSG00000145147,ENSG00000189056,ENSG00000196159
1	TRUE	0.00671	305	68	8	0.118	0.026	GO:0040017	BP	70	positive regulation of locomotion	1	ENSG00000091136,ENSG00000118257,ENSG00000120156,ENSG00000128512,ENSG00000130402,ENSG00000140538,ENSG00000145147,ENSG00000154229
1	TRUE	0.0077	15	85	3	0.035	0.2	GO:0050775	BP	44	positive regulation of dendrite morphogenesis	1	ENSG00000111249,ENSG00000189056,ENSG00000257923
1	TRUE	0.00932	20	9	2	0.222	0.1	GO:0061001	BP	69	regulation of dendritic spine morphogenesis	1	ENSG00000111249,ENSG00000197555
1	TRUE	0.0102	307	108	9	0.083	0.029	GO:0007264	BP	31	small GTPase mediated signal transduction	1	ENSG00000071205,ENSG00000113319,ENSG00000119326,ENSG00000134909,ENSG00000137843,ENSG00000138640,ENSG00000145147,ENSG00000189056,ENSG00000275342
1	TRUE	0.0107	275	14	4	0.286	0.015	GO:0030335	BP	26	positive regulation of cell migration	1	ENSG00000091136,ENSG00000128512,ENSG00000140538,ENSG00000154229
1	TRUE	0.0107	613	81	11	0.136	0.018	GO:0016773	MF	38	phosphotransferase activity, alcohol group as acceptor	1	ENSG00000100490,ENSG00000107242,ENSG00000110721,ENSG00000118257,ENSG00000120156,ENSG00000138669,ENSG00000139144,ENSG00000141639,ENSG00000154229,ENSG00000257923,ENSG00000275342
1	TRUE	0.0145	17	138	3	0.022	0.176	GO:2000463	BP	74	positive regulation of excitatory postsynaptic potential	1	ENSG00000111249,ENSG00000176406,ENSG00000189056
1	TRUE	0.0145	238	91	7	0.077	0.029	GO:0005261	MF	66	cation channel activity	1	ENSG00000070729,ENSG00000089558,ENSG00000140090,ENSG00000152578,ENSG00000165995,ENSG00000166862,ENSG00000177272
1	TRUE	0.0167	136	85	5	0.059	0.037	GO:0007411	BP	10	axon guidance	1	ENSG00000118257,ENSG00000145147,ENSG00000154229,ENSG00000173406,ENSG00000189056
1	TRUE	0.0167	51	9	2	0.222	0.039	GO:0044309	CC	2	neuron spine	1	ENSG00000152578,ENSG00000197555
1	TRUE	0.0167	50	9	2	0.222	0.04	GO:0043197	CC	35	dendritic spine	1	ENSG00000152578,ENSG00000197555
1	TRUE	0.017	42	12	2	0.167	0.048	GO:0042476	BP	16	odontogenesis	1	ENSG00000091136,ENSG00000140090
1	TRUE	0.0171	195	91	6	0.066	0.031	GO:1902495	CC	55	transmembrane transporter complex	1	ENSG00000070729,ENSG00000089558,ENSG00000152578,ENSG00000165995,ENSG00000166862,ENSG00000177272
1	TRUE	0.0176	60	9	2	0.222	0.033	GO:0090630	BP	73	activation of GTPase activity	1	ENSG00000140538,ENSG00000197555
1	TRUE	0.0176	61	117	4	0.034	0.066	GO:0003018	BP	7	vascular process in circulatory system	1	ENSG00000043591,ENSG00000120156,ENSG00000128512,ENSG00000145147
1	TRUE	0.0176	238	75	6	0.08	0.025	GO:0043235	CC	29	receptor complex	1	ENSG00000118257,ENSG00000140538,ENSG00000144668,ENSG00000152578,ENSG00000166862,ENSG00000166949
1	TRUE	0.0184	97	68	4	0.059	0.041	GO:0050679	BP	75	positive regulation of epithelial cell proliferation	1	ENSG00000091136,ENSG00000118257,ENSG00000120156,ENSG00000154229
1	TRUE	0.0184	195	57	5	0.088	0.026	GO:0034330	BP	39	cell junction organization	1	ENSG00000113100,ENSG00000120156,ENSG00000154229,ENSG00000166949,ENSG00000177707
1	TRUE	0.0186	13	51	2	0.039	0.154	GO:2000251	BP	76	positive regulation of actin cytoskeleton reorganization	1	ENSG00000120156,ENSG00000140538
1	TRUE	0.023	393	28	5	0.179	0.013	GO:0001012	MF	68	RNA polymerase II regulatory region DNA binding	1	ENSG00000080298,ENSG00000111249,ENSG00000130402,ENSG00000166949,ENSG00000257923
