query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	3.02e-07	394	136	21	0.154	0.053	GO:0051960	BP	51	regulation of nervous system development	1	ENSG00000004399,ENSG00000058404,ENSG00000068903,ENSG00000072071,ENSG00000072518,ENSG00000088899,ENSG00000105245,ENSG00000105426,ENSG00000107130,ENSG00000107954,ENSG00000114554,ENSG00000124507,ENSG00000131409,ENSG00000141522,ENSG00000141551,ENSG00000146216,ENSG00000160469,ENSG00000165802,ENSG00000169992,ENSG00000171798,ENSG00000213923
1	TRUE	3.85e-07	241	125	16	0.128	0.066	GO:0044456	CC	93	synapse part	1	ENSG00000011347,ENSG00000072071,ENSG00000088899,ENSG00000105426,ENSG00000107954,ENSG00000124507,ENSG00000160469,ENSG00000165802,ENSG00000169992,ENSG00000171992,ENSG00000176884,ENSG00000181790,ENSG00000186642,ENSG00000186716,ENSG00000187902,ENSG00000197562
1	TRUE	1.2e-06	380	80	15	0.188	0.039	GO:0120039	BP	3	plasma membrane bounded cell projection morphogenesis	1	ENSG00000004399,ENSG00000058404,ENSG00000063660,ENSG00000072518,ENSG00000088899,ENSG00000105426,ENSG00000124507,ENSG00000141503,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000173898,ENSG00000175866,ENSG00000177169,ENSG00000181790
1	TRUE	1.2e-06	317	80	14	0.175	0.044	GO:0048667	BP	10	cell morphogenesis involved in neuron differentiation	1	ENSG00000004399,ENSG00000058404,ENSG00000063660,ENSG00000072518,ENSG00000088899,ENSG00000105426,ENSG00000141503,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000173898,ENSG00000175866,ENSG00000177169,ENSG00000181790
1	TRUE	1.2e-06	382	80	15	0.188	0.039	GO:0048858	BP	83	cell projection morphogenesis	1	ENSG00000004399,ENSG00000058404,ENSG00000063660,ENSG00000072518,ENSG00000088899,ENSG00000105426,ENSG00000124507,ENSG00000141503,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000173898,ENSG00000175866,ENSG00000177169,ENSG00000181790
1	TRUE	1.2e-06	369	80	15	0.188	0.041	GO:0048812	BP	20	neuron projection morphogenesis	1	ENSG00000004399,ENSG00000058404,ENSG00000063660,ENSG00000072518,ENSG00000088899,ENSG00000105426,ENSG00000124507,ENSG00000141503,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000173898,ENSG00000175866,ENSG00000177169,ENSG00000181790
1	TRUE	1.36e-06	359	163	20	0.123	0.056	GO:0050767	BP	106	regulation of neurogenesis	1	ENSG00000004399,ENSG00000058404,ENSG00000068903,ENSG00000072518,ENSG00000088899,ENSG00000105245,ENSG00000105426,ENSG00000107130,ENSG00000107954,ENSG00000114554,ENSG00000124507,ENSG00000141522,ENSG00000141551,ENSG00000146216,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000174233,ENSG00000213923,ENSG00000277363
1	TRUE	1.85e-06	83	100	9	0.09	0.108	GO:0048167	BP	110	regulation of synaptic plasticity	1	ENSG00000011347,ENSG00000058404,ENSG00000107954,ENSG00000160469,ENSG00000165802,ENSG00000176884,ENSG00000181790,ENSG00000187902,ENSG00000197283
1	TRUE	2.08e-06	230	100	13	0.13	0.057	GO:0051962	BP	99	positive regulation of nervous system development	1	ENSG00000004399,ENSG00000058404,ENSG00000072071,ENSG00000072518,ENSG00000105245,ENSG00000107954,ENSG00000124507,ENSG00000131409,ENSG00000141551,ENSG00000146216,ENSG00000165802,ENSG00000169992,ENSG00000213923
1	TRUE	4.76e-06	65	108	8	0.074	0.123	GO:0014069	CC	7	postsynaptic density	1	ENSG00000088899,ENSG00000105426,ENSG00000107954,ENSG00000165802,ENSG00000176884,ENSG00000181790,ENSG00000186716,ENSG00000187902
