query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	4.69e-10	57	110	11	0.1	0.193	KEGG:04721	keg	1	Synaptic vesicle cycle	1	ENSG00000033627,ENSG00000099365,ENSG00000104888,ENSG00000105402,ENSG00000105649,ENSG00000106976,ENSG00000136854,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205
1	TRUE	3.58e-08	604	158	29	0.184	0.048	GO:0097458	CC	142	neuron part	1	ENSG00000006116,ENSG00000008056,ENSG00000020129,ENSG00000040608,ENSG00000054356,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104888,ENSG00000105409,ENSG00000105649,ENSG00000108797,ENSG00000113763,ENSG00000154096,ENSG00000155093,ENSG00000159164,ENSG00000159363,ENSG00000164061,ENSG00000166313,ENSG00000171450,ENSG00000181754,ENSG00000184702,ENSG00000197106,ENSG00000198910,ENSG00000204843,ENSG00000220205
1	TRUE	2.82e-07	140	150	14	0.093	0.1	GO:0098793	CC	124	presynapse	1	ENSG00000008056,ENSG00000054356,ENSG00000065000,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104888,ENSG00000105649,ENSG00000155093,ENSG00000159164,ENSG00000164061,ENSG00000184702,ENSG00000197106,ENSG00000220205
1	TRUE	1.03e-06	84	150	11	0.073	0.131	GO:0008021	CC	158	synaptic vesicle	1	ENSG00000008056,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104888,ENSG00000105649,ENSG00000155093,ENSG00000159164,ENSG00000184702,ENSG00000197106,ENSG00000220205
1	TRUE	3.52e-06	156	149	13	0.087	0.083	GO:0050804	BP	141	modulation of chemical synaptic transmission	1	ENSG00000008056,ENSG00000070808,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000105649,ENSG00000118160,ENSG00000136854,ENSG00000143761,ENSG00000160716,ENSG00000184702,ENSG00000196338,ENSG00000220205
1	TRUE	9.79e-06	932	137	28	0.204	0.03	GO:0044433	CC	35	cytoplasmic vesicle part	1	ENSG00000006116,ENSG00000033627,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000071553,ENSG00000086758,ENSG00000100280,ENSG00000100321,ENSG00000101152,ENSG00000102003,ENSG00000104888,ENSG00000105220,ENSG00000105270,ENSG00000105649,ENSG00000130985,ENSG00000143862,ENSG00000149428,ENSG00000155093,ENSG00000159164,ENSG00000159363,ENSG00000167658,ENSG00000167972,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205,ENSG00000241973
1	TRUE	1.97e-05	405	158	19	0.12	0.047	GO:0098655	BP	102	cation transmembrane transport	1	ENSG00000006116,ENSG00000033627,ENSG00000069424,ENSG00000071553,ENSG00000072062,ENSG00000100991,ENSG00000105409,ENSG00000118160,ENSG00000121905,ENSG00000125648,ENSG00000137726,ENSG00000154096,ENSG00000160014,ENSG00000171130,ENSG00000181754,ENSG00000185883,ENSG00000196338,ENSG00000220205,ENSG00000221946
1	TRUE	1.97e-05	82	137	9	0.066	0.11	GO:0099504	BP	173	synaptic vesicle cycle	1	ENSG00000008056,ENSG00000065000,ENSG00000099365,ENSG00000101152,ENSG00000105649,ENSG00000136854,ENSG00000184702,ENSG00000196338,ENSG00000220205
1	TRUE	1.97e-05	444	131	18	0.137	0.041	GO:0030659	CC	83	cytoplasmic vesicle membrane	1	ENSG00000006116,ENSG00000033627,ENSG00000069424,ENSG00000070808,ENSG00000100280,ENSG00000100321,ENSG00000101152,ENSG00000102003,ENSG00000104888,ENSG00000105649,ENSG00000143862,ENSG00000155093,ENSG00000159164,ENSG00000167972,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205
1	TRUE	1.97e-05	462	138	19	0.138	0.041	GO:0043005	CC	156	neuron projection	1	ENSG00000020129,ENSG00000040608,ENSG00000054356,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000102003,ENSG00000105409,ENSG00000105649,ENSG00000108797,ENSG00000113763,ENSG00000154096,ENSG00000159363,ENSG00000164061,ENSG00000166313,ENSG00000171450,ENSG00000198910,ENSG00000204843,ENSG00000220205
1	TRUE	2.32e-05	91	131	9	0.069	0.099	GO:0099643	BP	129	signal release from synapse	1	ENSG00000008056,ENSG00000070808,ENSG00000099365,ENSG00000101152,ENSG00000105649,ENSG00000136854,ENSG00000155093,ENSG00000184702,ENSG00000220205
1	TRUE	2.32e-05	91	131	9	0.069	0.099	GO:0007269	BP	89	neurotransmitter secretion	1	ENSG00000008056,ENSG00000070808,ENSG00000099365,ENSG00000101152,ENSG00000105649,ENSG00000136854,ENSG00000155093,ENSG00000184702,ENSG00000220205
1	TRUE	2.47e-05	17	110	5	0.045	0.294	GO:2000300	BP	163	regulation of synaptic vesicle exocytosis	1	ENSG00000008056,ENSG00000099365,ENSG00000105649,ENSG00000136854,ENSG00000184702
1	TRUE	3.04e-05	313	31	8	0.258	0.026	GO:0071417	BP	170	cellular response to organonitrogen compound	1	ENSG00000033627,ENSG00000072062,ENSG00000105290,ENSG00000105409,ENSG00000158856,ENSG00000171130,ENSG00000185883,ENSG00000220205
1	TRUE	3.04e-05	4	54	3	0.056	0.75	GO:0060199	CC	9	clathrin-sculpted glutamate transport vesicle	1	ENSG00000104888,ENSG00000105649,ENSG00000220205
1	TRUE	4e-05	101	178	10	0.056	0.099	GO:0019884	BP	182	antigen processing and presentation of exogenous antigen	1	ENSG00000065000,ENSG00000084731,ENSG00000100280,ENSG00000117984,ENSG00000138107,ENSG00000143761,ENSG00000155980,ENSG00000174080,ENSG00000196961,ENSG00000204843
1	TRUE	4.23e-05	926	140	26	0.186	0.028	GO:0120036	BP	178	plasma membrane bounded cell projection organization	1	ENSG00000020129,ENSG00000040608,ENSG00000072062,ENSG00000084731,ENSG00000099365,ENSG00000103034,ENSG00000104833,ENSG00000105409,ENSG00000105568,ENSG00000108797,ENSG00000113763,ENSG00000135916,ENSG00000136854,ENSG00000138107,ENSG00000143126,ENSG00000143761,ENSG00000154096,ENSG00000158856,ENSG00000160716,ENSG00000166313,ENSG00000169783,ENSG00000172757,ENSG00000196338,ENSG00000198910,ENSG00000203879,ENSG00000204843
1	TRUE	5.94e-05	136	177	11	0.062	0.081	GO:0043025	CC	139	neuronal cell body	1	ENSG00000020129,ENSG00000040608,ENSG00000054356,ENSG00000105409,ENSG00000113763,ENSG00000154096,ENSG00000159363,ENSG00000181754,ENSG00000186868,ENSG00000198910,ENSG00000204843
1	TRUE	7.91e-05	515	177	21	0.119	0.041	GO:0031175	BP	24	neuron projection development	1	ENSG00000020129,ENSG00000040608,ENSG00000099365,ENSG00000103034,ENSG00000105429,ENSG00000108797,ENSG00000113763,ENSG00000135916,ENSG00000136854,ENSG00000143126,ENSG00000154096,ENSG00000155980,ENSG00000160716,ENSG00000166313,ENSG00000169783,ENSG00000172757,ENSG00000181754,ENSG00000186868,ENSG00000196338,ENSG00000198910,ENSG00000203879
1	TRUE	9.81e-05	317	177	16	0.09	0.05	GO:0048667	BP	49	cell morphogenesis involved in neuron differentiation	1	ENSG00000040608,ENSG00000105429,ENSG00000113763,ENSG00000136854,ENSG00000143126,ENSG00000154096,ENSG00000155980,ENSG00000160716,ENSG00000166313,ENSG00000169783,ENSG00000172757,ENSG00000181754,ENSG00000186868,ENSG00000196338,ENSG00000198910,ENSG00000203879
1	TRUE	0.00012	559	157	20	0.127	0.036	GO:0017111	MF	60	nucleoside-triphosphatase activity	1	ENSG00000004059,ENSG00000033627,ENSG00000084731,ENSG00000105409,ENSG00000105649,ENSG00000106682,ENSG00000106976,ENSG00000116688,ENSG00000119383,ENSG00000130294,ENSG00000134287,ENSG00000143761,ENSG00000143862,ENSG00000155980,ENSG00000159363,ENSG00000162188,ENSG00000167972,ENSG00000171130,ENSG00000184702,ENSG00000185883
1	TRUE	0.000122	151	177	11	0.062	0.073	GO:0010769	BP	50	regulation of cell morphogenesis involved in differentiation	1	ENSG00000040608,ENSG00000105429,ENSG00000154096,ENSG00000158856,ENSG00000160716,ENSG00000169783,ENSG00000172757,ENSG00000181754,ENSG00000186868,ENSG00000198910,ENSG00000203879
1	TRUE	0.000126	46	31	4	0.129	0.087	GO:0019829	MF	152	cation-transporting ATPase activity	1	ENSG00000033627,ENSG00000105409,ENSG00000171130,ENSG00000185883
1	TRUE	0.000135	4	137	3	0.022	0.75	GO:0048499	BP	59	synaptic vesicle membrane organization	1	ENSG00000065000,ENSG00000100321,ENSG00000102003
1	TRUE	0.000139	199	31	6	0.194	0.03	GO:1901653	BP	62	cellular response to peptide	1	ENSG00000033627,ENSG00000072062,ENSG00000105409,ENSG00000171130,ENSG00000185883,ENSG00000220205
1	TRUE	0.000242	18	31	3	0.097	0.167	GO:0007035	BP	65	vacuolar acidification	1	ENSG00000033627,ENSG00000171130,ENSG00000185883
1	TRUE	0.000259	43	111	6	0.054	0.14	KEGG:05110	keg	101	Vibrio cholerae infection	1	ENSG00000033627,ENSG00000071553,ENSG00000072062,ENSG00000143761,ENSG00000171130,ENSG00000185883
1	TRUE	0.000262	240	177	13	0.073	0.054	GO:0010975	BP	25	regulation of neuron projection development	1	ENSG00000040608,ENSG00000099365,ENSG00000103034,ENSG00000105429,ENSG00000135916,ENSG00000154096,ENSG00000160716,ENSG00000169783,ENSG00000172757,ENSG00000181754,ENSG00000186868,ENSG00000198910,ENSG00000203879
1	TRUE	0.000281	63	112	6	0.054	0.095	GO:0010977	BP	15	negative regulation of neuron projection development	1	ENSG00000040608,ENSG00000099365,ENSG00000135916,ENSG00000154096,ENSG00000169783,ENSG00000203879
1	TRUE	0.000395	471	69	11	0.159	0.023	GO:0019900	MF	180	kinase binding	1	ENSG00000008056,ENSG00000072062,ENSG00000100280,ENSG00000106976,ENSG00000121653,ENSG00000154096,ENSG00000159164,ENSG00000160014,ENSG00000167658,ENSG00000179262,ENSG00000196961
1	TRUE	0.000403	2	54	2	0.037	1	GO:0031630	BP	150	regulation of synaptic vesicle fusion to presynaptic active zone membrane	1	ENSG00000105649,ENSG00000136854
1	TRUE	0.000403	21	33	3	0.091	0.143	GO:0086064	BP	171	cell communication by electrical coupling involved in cardiac conduction	1	ENSG00000072062,ENSG00000105409,ENSG00000160014
1	TRUE	0.000572	15	54	3	0.056	0.2	GO:0014047	BP	169	glutamate secretion	1	ENSG00000104888,ENSG00000105649,ENSG00000220205
1	TRUE	0.00062	77	163	7	0.043	0.091	GO:0006890	BP	168	retrograde vesicle-mediated transport, Golgi to ER	1	ENSG00000004059,ENSG00000084731,ENSG00000105402,ENSG00000107862,ENSG00000134287,ENSG00000142186,ENSG00000155980
1	TRUE	0.00068	28	31	3	0.097	0.107	GO:0030670	CC	48	phagocytic vesicle membrane	1	ENSG00000033627,ENSG00000171130,ENSG00000185883
1	TRUE	0.000835	195	68	7	0.103	0.036	GO:1902495	CC	175	transmembrane transporter complex	1	ENSG00000006116,ENSG00000069424,ENSG00000072062,ENSG00000105409,ENSG00000108797,ENSG00000160014,ENSG00000220205
1	TRUE	0.000935	6	25	2	0.08	0.333	GO:0090315	BP	27	negative regulation of protein targeting to membrane	1	ENSG00000158856,ENSG00000203879
1	TRUE	0.000963	283	176	13	0.074	0.046	GO:0005774	CC	132	vacuolar membrane	1	ENSG00000033627,ENSG00000065000,ENSG00000100280,ENSG00000100321,ENSG00000101152,ENSG00000101210,ENSG00000105402,ENSG00000123384,ENSG00000130985,ENSG00000143862,ENSG00000159363,ENSG00000185883,ENSG00000196961
1	TRUE	0.00132	99	101	6	0.059	0.061	GO:2001257	BP	138	regulation of cation channel activity	1	ENSG00000006116,ENSG00000072062,ENSG00000121905,ENSG00000160014,ENSG00000196338,ENSG00000220205
