query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00721	130	51	6	0.118	0.046	GO:0051783	BP	6	regulation of nuclear division	1	ENSG00000085224,ENSG00000095002,ENSG00000133302,ENSG00000153187,ENSG00000153201,ENSG00000154429
1	TRUE	0.00721	72	23	4	0.174	0.056	GO:2001022	BP	20	positive regulation of response to DNA damage stimulus	1	ENSG00000029363,ENSG00000080345,ENSG00000133302,ENSG00000166068
1	TRUE	0.00721	46	31	4	0.129	0.087	GO:0090734	CC	79	site of DNA damage	1	ENSG00000080345,ENSG00000122008,ENSG00000122565,ENSG00000133302
1	TRUE	0.00846	128	210	10	0.048	0.078	GO:2001252	BP	50	positive regulation of chromosome organization	1	ENSG00000080345,ENSG00000085224,ENSG00000096717,ENSG00000104320,ENSG00000128513,ENSG00000133302,ENSG00000138668,ENSG00000153187,ENSG00000174953,ENSG00000198160
1	TRUE	0.00846	5	18	2	0.111	0.4	GO:0070695	CC	23	FHF complex	1	ENSG00000134709,ENSG00000168172
1	TRUE	0.00846	238	111	10	0.09	0.042	GO:0098687	CC	83	chromosomal region	1	ENSG00000078304,ENSG00000082898,ENSG00000085224,ENSG00000095002,ENSG00000101596,ENSG00000122565,ENSG00000128513,ENSG00000138385,ENSG00000153187,ENSG00000165392
1	TRUE	0.00846	22	103	4	0.039	0.182	GO:0000217	MF	96	DNA secondary structure binding	1	ENSG00000095002,ENSG00000100811,ENSG00000128513,ENSG00000165392
1	TRUE	0.00846	8	103	3	0.029	0.375	GO:0032357	MF	19	oxidized purine DNA binding	1	ENSG00000095002,ENSG00000128513,ENSG00000165392
1	TRUE	0.0093	367	51	8	0.157	0.022	GO:0000226	BP	28	microtubule cytoskeleton organization	1	ENSG00000134318,ENSG00000134709,ENSG00000135968,ENSG00000153187,ENSG00000153201,ENSG00000154429,ENSG00000162409,ENSG00000168172
1	TRUE	0.0118	125	51	5	0.098	0.04	GO:0007088	BP	26	regulation of mitotic nuclear division	1	ENSG00000085224,ENSG00000133302,ENSG00000153187,ENSG00000153201,ENSG00000154429
1	TRUE	0.0118	43	135	5	0.037	0.116	GO:0016239	BP	11	positive regulation of macroautophagy	1	ENSG00000096717,ENSG00000123240,ENSG00000129003,ENSG00000162409,ENSG00000168092
1	TRUE	0.0118	9	133	3	0.023	0.333	GO:0051095	BP	67	regulation of helicase activity	1	ENSG00000095002,ENSG00000096717,ENSG00000128513
1	TRUE	0.0118	7	174	3	0.017	0.429	GO:0055089	BP	78	fatty acid homeostasis	1	ENSG00000096717,ENSG00000132356,ENSG00000162409
1	TRUE	0.0118	140	43	5	0.116	0.036	GO:0016482	BP	60	cytosolic transport	1	ENSG00000102189,ENSG00000129003,ENSG00000134709,ENSG00000135968,ENSG00000168172
1	TRUE	0.0118	425	91	11	0.121	0.026	GO:0000228	CC	77	nuclear chromosome	1	ENSG00000080345,ENSG00000085224,ENSG00000095002,ENSG00000100811,ENSG00000101596,ENSG00000107290,ENSG00000122565,ENSG00000128513,ENSG00000143401,ENSG00000153147,ENSG00000153187
1	TRUE	0.0127	8	23	2	0.087	0.25	GO:0034091	BP	48	regulation of maintenance of sister chromatid cohesion	1	ENSG00000085224,ENSG00000133302
1	TRUE	0.0127	104	201	8	0.04	0.077	GO:0004386	MF	51	helicase activity	1	ENSG00000039123,ENSG00000047188,ENSG00000085224,ENSG00000104320,ENSG00000107290,ENSG00000153147,ENSG00000165392,ENSG00000174953
1	TRUE	0.0139	12	20	2	0.1	0.167	GO:0051570	BP	42	regulation of histone H3-K9 methylation	1	ENSG00000080345,ENSG00000085224
1	TRUE	0.0139	11	135	3	0.022	0.273	GO:0090161	BP	89	Golgi ribbon formation	1	ENSG00000117533,ENSG00000123240,ENSG00000135968
1	TRUE	0.0139	36	40	3	0.075	0.083	GO:0045840	BP	2	positive regulation of mitotic nuclear division	1	ENSG00000133302,ENSG00000153187,ENSG00000153201
1	TRUE	0.0139	14	18	2	0.111	0.143	GO:0030897	CC	32	HOPS complex	1	ENSG00000134709,ENSG00000168172
1	TRUE	0.0139	11	23	2	0.087	0.182	GO:0042405	CC	68	nuclear inclusion body	1	ENSG00000133302,ENSG00000153201
1	TRUE	0.0139	4	71	2	0.028	0.5	GO:0005642	CC	103	annulate lamellae	1	ENSG00000082898,ENSG00000153201
1	TRUE	0.0141	216	133	9	0.068	0.042	GO:0040029	BP	84	regulation of gene expression, epigenetic	1	ENSG00000080345,ENSG00000096717,ENSG00000100697,ENSG00000115524,ENSG00000139154,ENSG00000153147,ENSG00000153187,ENSG00000174842,ENSG00000198160
1	TRUE	0.0141	6	49	2	0.041	0.333	GO:0051096	BP	37	positive regulation of helicase activity	1	ENSG00000095002,ENSG00000128513
1	TRUE	0.0141	37	43	3	0.07	0.081	GO:0045022	BP	34	early endosome to late endosome transport	1	ENSG00000102189,ENSG00000134709,ENSG00000168172
1	TRUE	0.0176	25	185	4	0.022	0.16	GO:0005801	CC	66	cis-Golgi network	1	ENSG00000066455,ENSG00000092108,ENSG00000168172,ENSG00000170348
1	TRUE	0.0177	11	31	2	0.065	0.182	GO:0005721	CC	87	pericentric heterochromatin	1	ENSG00000085224,ENSG00000122565
1	TRUE	0.0183	278	49	6	0.122	0.022	GO:0051052	BP	74	regulation of DNA metabolic process	1	ENSG00000080345,ENSG00000085224,ENSG00000095002,ENSG00000128513,ENSG00000133302,ENSG00000153187
1	TRUE	0.0204	28	181	4	0.022	0.143	GO:0061462	BP	98	protein localization to lysosome	1	ENSG00000039319,ENSG00000133706,ENSG00000134318,ENSG00000135968
1	TRUE	0.0224	297	109	9	0.083	0.03	GO:0016032	BP	10	viral process	1	ENSG00000082898,ENSG00000102189,ENSG00000102241,ENSG00000134318,ENSG00000138385,ENSG00000139496,ENSG00000153201,ENSG00000174840,ENSG00000182287
1	TRUE	0.0229	33	163	4	0.025	0.121	GO:0031122	BP	41	cytoplasmic microtubule organization	1	ENSG00000065613,ENSG00000075711,ENSG00000134709,ENSG00000168172
1	TRUE	0.0229	19	23	2	0.087	0.105	GO:2000781	BP	31	positive regulation of double-strand break repair	1	ENSG00000080345,ENSG00000133302
1	TRUE	0.0229	115	46	4	0.087	0.035	GO:0007623	BP	27	circadian rhythm	1	ENSG00000114062,ENSG00000134318,ENSG00000153187,ENSG00000162409
1	TRUE	0.0229	21	107	3	0.028	0.143	GO:2000144	BP	35	positive regulation of DNA-templated transcription, initiation	1	ENSG00000029363,ENSG00000100519,ENSG00000107290
1	TRUE	0.023	108	133	6	0.045	0.056	GO:0009411	BP	18	response to UV	1	ENSG00000095002,ENSG00000096717,ENSG00000100811,ENSG00000122008,ENSG00000165392,ENSG00000170242
1	TRUE	0.0234	4	133	2	0.015	0.5	GO:0071394	BP	86	cellular response to testosterone stimulus	1	ENSG00000096717,ENSG00000134318
1	TRUE	0.0241	131	210	8	0.038	0.061	GO:0000723	BP	101	telomere maintenance	1	ENSG00000080345,ENSG00000085224,ENSG00000104320,ENSG00000128513,ENSG00000138668,ENSG00000153187,ENSG00000165392,ENSG00000174953
1	TRUE	0.0241	5	108	2	0.019	0.4	GO:0042780	BP	70	tRNA 3'-end processing	1	ENSG00000138385,ENSG00000174173
1	TRUE	0.0241	298	71	7	0.099	0.023	GO:0005635	CC	30	nuclear envelope	1	ENSG00000080345,ENSG00000082898,ENSG00000122565,ENSG00000139496,ENSG00000139505,ENSG00000153201,ENSG00000174574
1	TRUE	0.0241	427	51	7	0.137	0.016	GO:0005813	CC	24	centrosome	1	ENSG00000133302,ENSG00000134318,ENSG00000134709,ENSG00000153187,ENSG00000153201,ENSG00000154429,ENSG00000168172
1	TRUE	0.0242	35	14	2	0.143	0.057	GO:0001570	BP	58	vasculogenesis	1	ENSG00000145715,ENSG00000166068
1	TRUE	0.0252	28	18	2	0.111	0.071	GO:0051959	MF	57	dynein light intermediate chain binding	1	ENSG00000134709,ENSG00000168172
1	TRUE	0.0255	486	46	7	0.152	0.014	GO:0006325	BP	29	chromatin organization	1	ENSG00000080345,ENSG00000085224,ENSG00000122565,ENSG00000143401,ENSG00000153187,ENSG00000162409,ENSG00000185658
1	TRUE	0.0263	4	163	2	0.012	0.5	GO:0097016	MF	17	L27 domain binding	1	ENSG00000075711,ENSG00000148943
1	TRUE	0.0276	4	174	2	0.011	0.5	GO:1904428	BP	12	negative regulation of tubulin deacetylation	1	ENSG00000132356,ENSG00000162409
1	TRUE	0.0276	4	174	2	0.011	0.5	GO:0035174	MF	91	histone serine kinase activity	1	ENSG00000132356,ENSG00000162409
1	TRUE	0.0277	78	36	3	0.083	0.038	GO:0007041	BP	22	lysosomal transport	1	ENSG00000134709,ENSG00000135968,ENSG00000168172
1	TRUE	0.0277	5	135	2	0.015	0.4	GO:0061734	BP	76	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization	1	ENSG00000123240,ENSG00000129003
1	TRUE	0.0277	333	51	6	0.118	0.018	GO:0051493	BP	64	regulation of cytoskeleton organization	1	ENSG00000134318,ENSG00000145715,ENSG00000153187,ENSG00000153201,ENSG00000154429,ENSG00000162409
1	TRUE	0.0277	15	191	3	0.016	0.2	GO:0034237	MF	1	protein kinase A regulatory subunit binding	1	ENSG00000066777,ENSG00000179841,ENSG00000182827
1	TRUE	0.0307	39	173	4	0.023	0.103	GO:1903293	CC	4	phosphatase complex	1	ENSG00000058272,ENSG00000078304,ENSG00000163605,ENSG00000196792
1	TRUE	0.0307	17	178	3	0.017	0.176	GO:0016780	MF	52	phosphotransferase activity, for other substituted phosphate groups	1	ENSG00000088766,ENSG00000134255,ENSG00000156671
1	TRUE	0.031	36	82	3	0.037	0.083	GO:0032784	BP	63	regulation of DNA-templated transcription, elongation	1	ENSG00000015171,ENSG00000102241,ENSG00000153187
1	TRUE	0.0312	134	51	4	0.078	0.03	GO:0070507	BP	40	regulation of microtubule cytoskeleton organization	1	ENSG00000153187,ENSG00000153201,ENSG00000154429,ENSG00000162409
1	TRUE	0.0321	91	8	2	0.25	0.022	GO:0008360	BP	55	regulation of cell shape	1	ENSG00000145715,ENSG00000185658
1	TRUE	0.0321	6	140	2	0.014	0.333	GO:0035507	BP	81	regulation of myosin-light-chain-phosphatase activity	1	ENSG00000058272,ENSG00000134318
1	TRUE	0.0321	65	49	3	0.061	0.046	GO:0034502	BP	21	protein localization to chromosome	1	ENSG00000085224,ENSG00000128513,ENSG00000133302
1	TRUE	0.0321	41	18	2	0.111	0.049	GO:0007040	BP	65	lysosome organization	1	ENSG00000134709,ENSG00000168172
1	TRUE	0.0321	5	163	2	0.012	0.4	GO:0097025	CC	15	MPP7-DLG1-LIN7 complex	1	ENSG00000075711,ENSG00000148943
1	TRUE	0.0321	8	103	2	0.019	0.25	GO:0032300	CC	61	mismatch repair complex	1	ENSG00000095002,ENSG00000165392
