query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00543	385	85	11	0.129	0.029	GO:0000904	BP	55	cell morphogenesis involved in differentiation	1	ENSG00000091136,ENSG00000111249,ENSG00000118257,ENSG00000120156,ENSG00000130402,ENSG00000145147,ENSG00000154229,ENSG00000173406,ENSG00000189056,ENSG00000197555,ENSG00000257923
1	TRUE	0.0137	43	17	3	0.176	0.07	GO:0048814	BP	7	regulation of dendrite morphogenesis	1	ENSG00000111249,ENSG00000197555,ENSG00000257923
1	TRUE	0.015	305	68	8	0.118	0.026	GO:0040017	BP	18	positive regulation of locomotion	1	ENSG00000091136,ENSG00000118257,ENSG00000120156,ENSG00000128512,ENSG00000130402,ENSG00000140538,ENSG00000145147,ENSG00000154229
1	TRUE	0.015	15	85	3	0.035	0.2	GO:0021795	BP	23	cerebral cortex cell migration	1	ENSG00000091136,ENSG00000145147,ENSG00000189056
1	TRUE	0.0168	20	9	2	0.222	0.1	GO:0061001	BP	28	regulation of dendritic spine morphogenesis	1	ENSG00000111249,ENSG00000197555
1	TRUE	0.0177	275	14	4	0.286	0.015	GO:0030335	BP	31	positive regulation of cell migration	1	ENSG00000091136,ENSG00000128512,ENSG00000140538,ENSG00000154229
1	TRUE	0.0177	307	108	9	0.083	0.029	GO:0007264	BP	75	small GTPase mediated signal transduction	1	ENSG00000071205,ENSG00000113319,ENSG00000119326,ENSG00000134909,ENSG00000137843,ENSG00000138640,ENSG00000145147,ENSG00000189056,ENSG00000275342
1	TRUE	0.0209	136	85	5	0.059	0.037	GO:0007411	BP	72	axon guidance	1	ENSG00000118257,ENSG00000145147,ENSG00000154229,ENSG00000173406,ENSG00000189056
1	TRUE	0.0209	17	138	3	0.022	0.176	GO:2000463	BP	53	positive regulation of excitatory postsynaptic potential	1	ENSG00000111249,ENSG00000176406,ENSG00000189056
1	TRUE	0.0209	136	85	5	0.059	0.037	GO:0097485	BP	67	neuron projection guidance	1	ENSG00000118257,ENSG00000145147,ENSG00000154229,ENSG00000173406,ENSG00000189056
1	TRUE	0.0209	50	9	2	0.222	0.04	GO:0043197	CC	14	dendritic spine	1	ENSG00000152578,ENSG00000197555
