query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	4.69e-10	57	110	11	0.1	0.193	KEGG:04721	keg	94	Synaptic vesicle cycle	1	ENSG00000033627,ENSG00000099365,ENSG00000104888,ENSG00000105402,ENSG00000105649,ENSG00000106976,ENSG00000136854,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205
1	TRUE	5.31e-07	140	150	14	0.093	0.1	GO:0098793	CC	105	presynapse	1	ENSG00000008056,ENSG00000054356,ENSG00000065000,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104888,ENSG00000105649,ENSG00000155093,ENSG00000159164,ENSG00000164061,ENSG00000184702,ENSG00000197106,ENSG00000220205
1	TRUE	1.45e-06	84	150	11	0.073	0.131	GO:0008021	CC	65	synaptic vesicle	1	ENSG00000008056,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104888,ENSG00000105649,ENSG00000155093,ENSG00000159164,ENSG00000184702,ENSG00000197106,ENSG00000220205
1	TRUE	4.64e-06	156	149	13	0.087	0.083	GO:0050804	BP	128	modulation of chemical synaptic transmission	1	ENSG00000008056,ENSG00000070808,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000105649,ENSG00000118160,ENSG00000136854,ENSG00000143761,ENSG00000160716,ENSG00000184702,ENSG00000196338,ENSG00000220205
1	TRUE	2.37e-05	82	137	9	0.066	0.11	GO:0099504	BP	164	synaptic vesicle cycle	1	ENSG00000008056,ENSG00000065000,ENSG00000099365,ENSG00000101152,ENSG00000105649,ENSG00000136854,ENSG00000184702,ENSG00000196338,ENSG00000220205
1	TRUE	2.37e-05	405	158	19	0.12	0.047	GO:0098655	BP	204	cation transmembrane transport	1	ENSG00000006116,ENSG00000033627,ENSG00000069424,ENSG00000071553,ENSG00000072062,ENSG00000100991,ENSG00000105409,ENSG00000118160,ENSG00000121905,ENSG00000125648,ENSG00000137726,ENSG00000154096,ENSG00000160014,ENSG00000171130,ENSG00000181754,ENSG00000185883,ENSG00000196338,ENSG00000220205,ENSG00000221946
1	TRUE	2.37e-05	462	138	19	0.138	0.041	GO:0043005	CC	212	neuron projection	1	ENSG00000020129,ENSG00000040608,ENSG00000054356,ENSG00000065000,ENSG00000069424,ENSG00000070808,ENSG00000102003,ENSG00000105409,ENSG00000105649,ENSG00000108797,ENSG00000113763,ENSG00000154096,ENSG00000159363,ENSG00000164061,ENSG00000166313,ENSG00000171450,ENSG00000198910,ENSG00000204843,ENSG00000220205
1	TRUE	2.37e-05	444	131	18	0.137	0.041	GO:0030659	CC	9	cytoplasmic vesicle membrane	1	ENSG00000006116,ENSG00000033627,ENSG00000069424,ENSG00000070808,ENSG00000100280,ENSG00000100321,ENSG00000101152,ENSG00000102003,ENSG00000104888,ENSG00000105649,ENSG00000143862,ENSG00000155093,ENSG00000159164,ENSG00000167972,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205
1	TRUE	2.62e-05	91	131	9	0.069	0.099	GO:0007269	BP	125	neurotransmitter secretion	1	ENSG00000008056,ENSG00000070808,ENSG00000099365,ENSG00000101152,ENSG00000105649,ENSG00000136854,ENSG00000155093,ENSG00000184702,ENSG00000220205
1	TRUE	2.62e-05	369	158	18	0.114	0.049	GO:0098662	BP	77	inorganic cation transmembrane transport	1	ENSG00000006116,ENSG00000033627,ENSG00000069424,ENSG00000071553,ENSG00000072062,ENSG00000100991,ENSG00000105409,ENSG00000118160,ENSG00000121905,ENSG00000125648,ENSG00000137726,ENSG00000154096,ENSG00000160014,ENSG00000171130,ENSG00000181754,ENSG00000185883,ENSG00000220205,ENSG00000221946
1	TRUE	2.76e-05	17	110	5	0.045	0.294	GO:2000300	BP	147	regulation of synaptic vesicle exocytosis	1	ENSG00000008056,ENSG00000099365,ENSG00000105649,ENSG00000136854,ENSG00000184702
1	TRUE	3.14e-05	479	158	20	0.127	0.042	GO:0030001	BP	54	metal ion transport	1	ENSG00000006116,ENSG00000033627,ENSG00000069424,ENSG00000070808,ENSG00000071553,ENSG00000072062,ENSG00000100991,ENSG00000105409,ENSG00000118160,ENSG00000121905,ENSG00000125648,ENSG00000137726,ENSG00000154096,ENSG00000160014,ENSG00000160716,ENSG00000171130,ENSG00000181754,ENSG00000185883,ENSG00000220205,ENSG00000221946
1	TRUE	3.14e-05	313	31	8	0.258	0.026	GO:0071417	BP	116	cellular response to organonitrogen compound	1	ENSG00000033627,ENSG00000072062,ENSG00000105290,ENSG00000105409,ENSG00000158856,ENSG00000171130,ENSG00000185883,ENSG00000220205
1	TRUE	3.14e-05	10	82	4	0.049	0.4	GO:0060198	CC	183	clathrin-sculpted vesicle	1	ENSG00000101152,ENSG00000104888,ENSG00000105649,ENSG00000220205
1	TRUE	4.18e-05	101	178	10	0.056	0.099	GO:0019884	BP	90	antigen processing and presentation of exogenous antigen	1	ENSG00000065000,ENSG00000084731,ENSG00000100280,ENSG00000117984,ENSG00000138107,ENSG00000143761,ENSG00000155980,ENSG00000174080,ENSG00000196961,ENSG00000204843
