query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00053	375	748	37	0.049	0.099	GO:0006397	BP	19	mRNA processing	1	ENSG00000021776,ENSG00000058673,ENSG00000060339,ENSG00000079134,ENSG00000100028,ENSG00000108406,ENSG00000108848,ENSG00000110768,ENSG00000111358,ENSG00000112739,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000122566,ENSG00000124193,ENSG00000125351,ENSG00000137574,ENSG00000137776,ENSG00000138035,ENSG00000139168,ENSG00000140830,ENSG00000145736,ENSG00000145833,ENSG00000146963,ENSG00000155827,ENSG00000163166,ENSG00000164167,ENSG00000164944,ENSG00000166477,ENSG00000172062,ENSG00000177613,ENSG00000180917,ENSG00000185246,ENSG00000196504,ENSG00000240344,ENSG00000272047
1	TRUE	0.00461	66	45	5	0.111	0.076	GO:0006275	BP	35	regulation of DNA replication	1	ENSG00000101972,ENSG00000108055,ENSG00000115355,ENSG00000121892,ENSG00000141446
1	TRUE	0.0205	135	67	6	0.09	0.044	GO:1902115	BP	36	regulation of organelle assembly	1	ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000115355,ENSG00000122417,ENSG00000188906
1	TRUE	0.0231	24	51	3	0.059	0.125	GO:0090169	BP	15	regulation of spindle assembly	1	ENSG00000101972,ENSG00000108055,ENSG00000112701
1	TRUE	0.0231	195	729	19	0.026	0.097	GO:0031503	BP	17	protein-containing complex localization	1	ENSG00000058673,ENSG00000078674,ENSG00000079134,ENSG00000079950,ENSG00000090989,ENSG00000096872,ENSG00000100815,ENSG00000114446,ENSG00000116350,ENSG00000116754,ENSG00000122566,ENSG00000124193,ENSG00000125351,ENSG00000149311,ENSG00000151461,ENSG00000163166,ENSG00000169251,ENSG00000181555,ENSG00000187240
1	TRUE	0.0231	74	42	4	0.095	0.054	GO:0048524	BP	7	positive regulation of viral process	1	ENSG00000048649,ENSG00000065243,ENSG00000108055,ENSG00000153922
1	TRUE	0.0231	15	11	2	0.182	0.133	GO:0051642	BP	49	centrosome localization	1	ENSG00000127914,ENSG00000170759
1	TRUE	0.0231	361	748	29	0.039	0.08	GO:0008380	BP	12	RNA splicing	1	ENSG00000013441,ENSG00000021776,ENSG00000060339,ENSG00000075292,ENSG00000100028,ENSG00000108406,ENSG00000108848,ENSG00000112739,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000122566,ENSG00000124193,ENSG00000124383,ENSG00000125351,ENSG00000137574,ENSG00000138398,ENSG00000139168,ENSG00000140830,ENSG00000145833,ENSG00000146963,ENSG00000162664,ENSG00000164167,ENSG00000172062,ENSG00000177613,ENSG00000185246,ENSG00000196504,ENSG00000240344
1	TRUE	0.0231	5	34	2	0.059	0.4	GO:0032876	BP	54	negative regulation of DNA endoreduplication	1	ENSG00000101972,ENSG00000108055
1	TRUE	0.0231	43	83	4	0.048	0.093	GO:0007062	BP	13	sister chromatid cohesion	1	ENSG00000101972,ENSG00000108055,ENSG00000121892,ENSG00000164190
1	TRUE	0.0231	116	729	14	0.019	0.121	GO:0031123	BP	47	RNA 3'-end processing	1	ENSG00000058673,ENSG00000079134,ENSG00000083223,ENSG00000116350,ENSG00000116754,ENSG00000123737,ENSG00000124193,ENSG00000125351,ENSG00000138035,ENSG00000155827,ENSG00000164944,ENSG00000166477,ENSG00000177613,ENSG00000223496
1	TRUE	0.0231	55	139	5	0.036	0.091	GO:0016363	CC	22	nuclear matrix	1	ENSG00000101972,ENSG00000108055,ENSG00000122566,ENSG00000162664,ENSG00000196504
1	TRUE	0.0231	24	8	2	0.25	0.083	GO:0034451	CC	46	centriolar satellite	1	ENSG00000122417,ENSG00000175455
1	TRUE	0.0231	4	549	3	0.005	0.75	GO:0000439	CC	50	transcription factor TFIIH core complex	1	ENSG00000110768,ENSG00000111358,ENSG00000145736
1	TRUE	0.0231	286	680	24	0.035	0.084	GO:0016607	CC	6	nuclear speck	1	ENSG00000079134,ENSG00000100815,ENSG00000101751,ENSG00000108848,ENSG00000112739,ENSG00000116350,ENSG00000116754,ENSG00000123200,ENSG00000124193,ENSG00000131051,ENSG00000138398,ENSG00000138433,ENSG00000143507,ENSG00000145736,ENSG00000145833,ENSG00000147082,ENSG00000147874,ENSG00000153914,ENSG00000164543,ENSG00000164944,ENSG00000176697,ENSG00000196504,ENSG00000197579,ENSG00000198887
1	TRUE	0.0231	102	34	4	0.118	0.039	GO:0000793	CC	11	condensed chromosome	1	ENSG00000101972,ENSG00000108055,ENSG00000113522,ENSG00000129534
1	TRUE	0.0231	28	42	3	0.071	0.107	GO:0004003	MF	1	ATP-dependent DNA helicase activity	1	ENSG00000112249,ENSG00000113522,ENSG00000153922
1	TRUE	0.0231	269	5	3	0.6	0.011	GO:0045296	MF	21	cadherin binding	1	ENSG00000065243,ENSG00000126777,ENSG00000170759
1	TRUE	0.0231	104	171	7	0.041	0.067	GO:0004386	MF	37	helicase activity	1	ENSG00000067248,ENSG00000102038,ENSG00000112249,ENSG00000113522,ENSG00000153922,ENSG00000165732,ENSG00000197275
1	TRUE	0.0269	23	11	2	0.182	0.087	GO:0043268	BP	27	positive regulation of potassium ion transport	1	ENSG00000127914,ENSG00000170759
1	TRUE	0.0269	78	591	10	0.017	0.128	GO:0016591	CC	16	RNA polymerase II, holoenzyme	1	ENSG00000110768,ENSG00000111358,ENSG00000137815,ENSG00000145736,ENSG00000148835,ENSG00000153767,ENSG00000166477,ENSG00000196284,ENSG00000196586,ENSG00000272047
1	TRUE	0.0271	30	549	6	0.011	0.2	GO:0006363	BP	29	termination of RNA polymerase I transcription	1	ENSG00000110768,ENSG00000111358,ENSG00000125482,ENSG00000145736,ENSG00000166012,ENSG00000272047
1	TRUE	0.0271	157	51	5	0.098	0.032	GO:0032886	BP	42	regulation of microtubule-based process	1	ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000127914,ENSG00000162959
