query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00352	320	164	13	0.079	0.041	GO:0016569	BP	1	covalent chromatin modification	1	ENSG00000076108,ENSG00000100393,ENSG00000100425,ENSG00000104885,ENSG00000118058,ENSG00000120071,ENSG00000127663,ENSG00000132510,ENSG00000136807,ENSG00000171456,ENSG00000174744,ENSG00000223443,ENSG00000272333
1	TRUE	0.00352	50	164	6	0.037	0.12	GO:0045652	BP	5	regulation of megakaryocyte differentiation	1	ENSG00000078687,ENSG00000100393,ENSG00000118058,ENSG00000155363,ENSG00000185513,ENSG00000272333
1	TRUE	0.011	216	16	4	0.25	0.019	GO:0040029	BP	3	regulation of gene expression, epigenetic	1	ENSG00000078687,ENSG00000100393,ENSG00000119772,ENSG00000266074
1	TRUE	0.0113	56	288	7	0.024	0.125	GO:0001578	BP	18	microtubule bundle formation	1	ENSG00000114841,ENSG00000136861,ENSG00000160188,ENSG00000160401,ENSG00000167566,ENSG00000171811,ENSG00000214021
1	TRUE	0.018	422	116	11	0.095	0.026	GO:0120031	BP	9	plasma membrane bounded cell projection assembly	1	ENSG00000079974,ENSG00000114841,ENSG00000116127,ENSG00000126870,ENSG00000131697,ENSG00000136861,ENSG00000160299,ENSG00000196924,ENSG00000214021,ENSG00000223443,ENSG00000225190
1	TRUE	0.0192	296	429	19	0.044	0.064	GO:0060271	BP	2	cilium assembly	1	ENSG00000058453,ENSG00000079974,ENSG00000110274,ENSG00000114841,ENSG00000116127,ENSG00000126870,ENSG00000131697,ENSG00000135931,ENSG00000136811,ENSG00000136861,ENSG00000138002,ENSG00000160188,ENSG00000160299,ENSG00000160401,ENSG00000168014,ENSG00000171811,ENSG00000187535,ENSG00000196924,ENSG00000214021
1	TRUE	0.0225	24	360	5	0.014	0.208	GO:0090568	CC	17	nuclear transcriptional repressor complex	1	ENSG00000076108,ENSG00000101945,ENSG00000136044,ENSG00000170004,ENSG00000266074
1	TRUE	0.024	21	95	3	0.032	0.143	GO:1903131	BP	11	mononuclear cell differentiation	1	ENSG00000010610,ENSG00000100345,ENSG00000100813
1	TRUE	0.024	3	122	2	0.016	0.667	GO:0060372	BP	13	regulation of atrial cardiac muscle cell membrane repolarization	1	ENSG00000157388,ENSG00000196924
1	TRUE	0.024	15	116	3	0.026	0.2	GO:0000242	CC	8	pericentriolar material	1	ENSG00000079974,ENSG00000126870,ENSG00000136861
1	TRUE	0.0312	2	269	2	0.007	1	GO:0086059	MF	7	voltage-gated calcium channel activity involved SA node cell action potential	1	ENSG00000006283,ENSG00000157388
1	TRUE	0.0356	89	122	5	0.041	0.056	GO:0030048	BP	16	actin filament-based movement	1	ENSG00000099331,ENSG00000100345,ENSG00000157388,ENSG00000196924,ENSG00000278259
1	TRUE	0.0367	22	275	4	0.015	0.182	GO:0086019	BP	4	cell-cell signaling involved in cardiac conduction	1	ENSG00000006283,ENSG00000157388,ENSG00000158286,ENSG00000196924
1	TRUE	0.0387	2	323	2	0.006	1	GO:0047635	MF	19	alanine-oxo-acid transaminase activity	1	ENSG00000166123,ENSG00000167701
1	TRUE	0.041	2	338	2	0.006	1	GO:1901074	BP	6	regulation of engulfment of apoptotic cell	1	ENSG00000064687,ENSG00000161905
1	TRUE	0.0435	337	439	19	0.043	0.056	GO:0005929	CC	15	cilium	1	ENSG00000058453,ENSG00000079974,ENSG00000088256,ENSG00000110274,ENSG00000114841,ENSG00000124587,ENSG00000126870,ENSG00000133256,ENSG00000135931,ENSG00000136811,ENSG00000138002,ENSG00000146221,ENSG00000160188,ENSG00000160401,ENSG00000171811,ENSG00000171962,ENSG00000187535,ENSG00000214021,ENSG00000225697
1	TRUE	0.0437	3	216	2	0.009	0.667	GO:0006287	BP	12	base-excision repair, gap-filling	1	ENSG00000166169,ENSG00000177084
1	TRUE	0.0482	20	357	4	0.011	0.2	GO:0070076	BP	14	histone lysine demethylation	1	ENSG00000120733,ENSG00000127663,ENSG00000132510,ENSG00000173120
1	TRUE	0.049	240	85	6	0.071	0.025	GO:0005524	MF	10	ATP binding	1	ENSG00000008128,ENSG00000064687,ENSG00000079277,ENSG00000099331,ENSG00000100345,ENSG00000174672
