query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000405	152	173	4	0.023	0.026	KEGG:03013	keg	29	RNA transport	1	ENSG00000075151,ENSG00000161960,ENSG00000206625,ENSG00000265185
1	TRUE	0.0309	19	190	2	0.011	0.105	GO:0006929	BP	16	substrate-dependent cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0309	28	178	2	0.011	0.071	GO:0021954	BP	43	central nervous system neuron development	1	ENSG00000147862,ENSG00000169855
1	TRUE	0.0309	5	231	2	0.009	0.4	GO:0045541	BP	25	negative regulation of cholesterol biosynthetic process	1	ENSG00000107566,ENSG00000130203
1	TRUE	0.0309	21	190	2	0.011	0.095	GO:0021885	BP	47	forebrain cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0309	431	205	6	0.029	0.014	GO:0051347	BP	6	positive regulation of transferase activity	1	ENSG00000019582,ENSG00000133119,ENSG00000167110,ENSG00000169313,ENSG00000169855,ENSG00000182578
1	TRUE	0.0309	23	178	2	0.011	0.087	GO:0061180	BP	21	mammary gland epithelium development	1	ENSG00000169855,ENSG00000182578
1	TRUE	0.0309	37	176	2	0.011	0.054	GO:0090329	BP	36	regulation of DNA-dependent DNA replication	1	ENSG00000132604,ENSG00000133119
1	TRUE	0.0309	37	176	2	0.011	0.054	GO:0033260	BP	53	nuclear DNA replication	1	ENSG00000132604,ENSG00000133119
1	TRUE	0.0309	5	231	2	0.009	0.4	GO:0106119	BP	37	negative reguation of sterol biosynthetic process	1	ENSG00000107566,ENSG00000130203
1	TRUE	0.0309	21	194	2	0.01	0.095	GO:1903131	BP	1	mononuclear cell differentiation	1	ENSG00000019582,ENSG00000182578
1	TRUE	0.0309	19	190	2	0.011	0.105	GO:0048678	BP	46	response to axon injury	1	ENSG00000116984,ENSG00000169313
1	TRUE	0.0309	10	233	2	0.009	0.2	GO:0042753	BP	44	positive regulation of circadian rhythm	1	ENSG00000054118,ENSG00000069667
1	TRUE	0.0309	9	173	2	0.012	0.222	GO:0016281	CC	23	eukaryotic translation initiation factor 4F complex	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0309	5	213	2	0.009	0.4	GO:0015277	MF	14	kainate selective glutamate receptor activity	1	ENSG00000164418,ENSG00000171189
1	TRUE	0.0309	33	233	3	0.013	0.091	GO:0032934	MF	35	sterol binding	1	ENSG00000069667,ENSG00000107566,ENSG00000130203
1	TRUE	0.0309	7	225	2	0.009	0.286	GO:0045028	MF	19	G-protein coupled purinergic nucleotide receptor activity	1	ENSG00000169313,ENSG00000181631
1	TRUE	0.0309	104	162	2	0.012	0.019	GO:0004386	MF	31	helicase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0309	66	162	2	0.012	0.03	GO:0003724	MF	17	RNA helicase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0309	15	173	2	0.012	0.133	GO:0000339	MF	7	RNA cap binding	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0309	66	162	2	0.012	0.03	GO:0008186	MF	45	RNA-dependent ATPase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0318	27	194	2	0.01	0.074	GO:0032722	BP	42	positive regulation of chemokine production	1	ENSG00000019582,ENSG00000182578
1	TRUE	0.0318	11	231	2	0.009	0.182	GO:0051000	BP	40	positive regulation of nitric-oxide synthase activity	1	ENSG00000130203,ENSG00000132604
1	TRUE	0.0318	298	172	3	0.017	0.01	GO:0000375	BP	48	RNA splicing, via transesterification reactions	1	ENSG00000054118,ENSG00000105705,ENSG00000140829
1	TRUE	0.0318	295	172	3	0.017	0.01	GO:0000398	BP	4	mRNA splicing, via spliceosome	1	ENSG00000054118,ENSG00000105705,ENSG00000140829
1	TRUE	0.0318	104	194	3	0.015	0.029	GO:0050920	BP	5	regulation of chemotaxis	1	ENSG00000019582,ENSG00000169313,ENSG00000169855
1	TRUE	0.0318	235	176	3	0.017	0.013	GO:0060249	BP	26	anatomical structure homeostasis	1	ENSG00000132604,ENSG00000133119,ENSG00000182578
1	TRUE	0.0318	30	190	2	0.011	0.067	GO:0031529	BP	33	ruffle organization	1	ENSG00000169313,ENSG00000182578
1	TRUE	0.0318	426	242	8	0.033	0.019	GO:0003712	MF	32	transcription coregulator activity	1	ENSG00000054118,ENSG00000089280,ENSG00000100207,ENSG00000136931,ENSG00000166164,ENSG00000174460,ENSG00000175550,ENSG00000196781
1	TRUE	0.0318	68	173	2	0.012	0.029	GO:0008135	MF	9	translation factor activity, RNA binding	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0373	134	191	3	0.016	0.022	GO:0070507	BP	12	regulation of microtubule cytoskeleton organization	1	ENSG00000105255,ENSG00000130559,ENSG00000222014
1	TRUE	0.0377	57	231	3	0.013	0.053	GO:0050806	BP	54	positive regulation of synaptic transmission	1	ENSG00000074621,ENSG00000130203,ENSG00000164418
