Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	0.046365129582948	0.0577522374142766	0.80282828265778	0.42765066240771	1	0	
blue	2	Autism	-0.0676386036456706	0.0574723085388981	-1.17689032101245	0.247412978053157	1	0	
brown	3	Autism	0.112835772172653	0.0549633030315276	2.05292924458941	0.0478386171394464	0.529429510694571	0	
yellow	4	Autism	0.0780772810793213	0.0559729555099288	1.39491081662592	0.172089417275557	1	0	
green	5	Autism	0.00125728939829928	0.0585557301523564	0.0214716714321201	0.982994919917608	1	0	
red	6	Autism	-0.115281957617827	0.0551448741347618	-2.09052898255064	0.0441191258912142	0.529429510694571	0	
black	7	Autism	0.0246293429172582	0.0586086161330258	0.420234165934856	0.676958452948975	1	0	
pink	8	Autism	-0.174857291973995	0.0476038732554711	-3.67317363096917	0.000817197469978959	0.0114407645797054	-1.94154495092312	-0.2
magenta	9	Autism	0.0316814183816456	0.0574737615503477	0.55123272824056	0.585078774539082	1	0	
purple	10	Autism	0.014924112333135	0.0574487697623027	0.259781234565758	0.796599201346767	1	0	
greenyellow	11	Autism	-0.00391916617718141	0.0575116896957928	-0.0681455578494003	0.946068954660716	1	0	
tan	12	Autism	0.135422724575427	0.0534646158391721	2.53294113218348	0.0160928540438879	0.209207102570542	0	
salmon	13	Autism	-0.0519053030182522	0.0576891004630041	-0.899741937413965	0.374586252120864	1	0	
cyan	14	Autism	-0.0928310545136106	0.0561256585680795	-1.65398601783903	0.107335129777481	1	0	
