query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0202	12	134	3	0.022	0.25	GO:0003081	BP	35	regulation of systemic arterial blood pressure by renin-angiotensin	1	ENSG00000138792,ENSG00000144891,ENSG00000167332
1	TRUE	0.0202	20	222	4	0.018	0.2	GO:0031343	BP	37	positive regulation of cell killing	1	ENSG00000109943,ENSG00000162594,ENSG00000162739,ENSG00000164520
1	TRUE	0.0223	20	16	2	0.125	0.1	GO:0010737	BP	14	protein kinase A signaling	1	ENSG00000136167,ENSG00000170820
1	TRUE	0.0223	8	39	2	0.051	0.25	GO:0051639	BP	11	actin filament network formation	1	ENSG00000082438,ENSG00000136167
1	TRUE	0.0273	162	217	8	0.037	0.049	GO:0044452	CC	2	nucleolar part	1	ENSG00000065183,ENSG00000105202,ENSG00000136718,ENSG00000138442,ENSG00000141076,ENSG00000147601,ENSG00000164649,ENSG00000164778
1	TRUE	0.0278	28	88	3	0.034	0.107	GO:0045670	BP	20	regulation of osteoclast differentiation	1	ENSG00000135898,ENSG00000162594,ENSG00000170820
1	TRUE	0.0278	421	90	8	0.089	0.019	GO:0045087	BP	8	innate immune response	1	ENSG00000027697,ENSG00000109943,ENSG00000155926,ENSG00000162594,ENSG00000162739,ENSG00000169550,ENSG00000204616,ENSG00000215182
1	TRUE	0.0278	12	222	3	0.014	0.25	GO:0045954	BP	29	positive regulation of natural killer cell mediated cytotoxicity	1	ENSG00000109943,ENSG00000162739,ENSG00000164520
1	TRUE	0.0335	39	80	3	0.037	0.077	GO:0007292	BP	1	female gamete generation	1	ENSG00000162782,ENSG00000163273,ENSG00000170820
1	TRUE	0.0335	3	215	2	0.009	0.667	GO:0042134	MF	19	rRNA primary transcript binding	1	ENSG00000136718,ENSG00000177469
1	TRUE	0.0351	5	139	2	0.014	0.4	GO:1902172	BP	26	regulation of keratinocyte apoptotic process	1	ENSG00000105229,ENSG00000197641
1	TRUE	0.0358	9	90	2	0.022	0.222	GO:0032740	BP	23	positive regulation of interleukin-17 production	1	ENSG00000162594,ENSG00000162739
1	TRUE	0.0358	44	21	2	0.095	0.045	GO:0007156	BP	32	homophilic cell adhesion via plasma membrane adhesion molecules	1	ENSG00000046604,ENSG00000109943
1	TRUE	0.0358	9	90	2	0.022	0.222	GO:0072540	BP	30	T-helper 17 cell lineage commitment	1	ENSG00000162594,ENSG00000162739
1	TRUE	0.0358	233	146	7	0.048	0.03	GO:0004930	MF	9	G-protein coupled receptor activity	1	ENSG00000111432,ENSG00000135898,ENSG00000144891,ENSG00000148680,ENSG00000170820,ENSG00000180264,ENSG00000186188
1	TRUE	0.0386	140	98	4	0.041	0.029	KEGG:04060	keg	6	Cytokine-cytokine receptor interaction	1	ENSG00000027697,ENSG00000090534,ENSG00000125726,ENSG00000162594
1	TRUE	0.0406	13	80	2	0.025	0.154	GO:0048599	BP	15	oocyte development	1	ENSG00000162782,ENSG00000163273
1	TRUE	0.0406	50	90	3	0.033	0.06	GO:0002286	BP	18	T cell activation involved in immune response	1	ENSG00000136167,ENSG00000162594,ENSG00000162739
1	TRUE	0.0406	105	98	4	0.041	0.038	GO:0070374	BP	12	positive regulation of ERK1 and ERK2 cascade	1	ENSG00000090534,ENSG00000135898,ENSG00000170820,ENSG00000186188
1	TRUE	0.042	232	211	8	0.038	0.034	GO:0042254	BP	25	ribosome biogenesis	1	ENSG00000065183,ENSG00000105202,ENSG00000136718,ENSG00000138442,ENSG00000141076,ENSG00000144736,ENSG00000182810,ENSG00000241127
1	TRUE	0.0451	30	168	3	0.018	0.1	GO:0030686	CC	31	90S preribosome	1	ENSG00000065183,ENSG00000136718,ENSG00000138442
1	TRUE	0.0455	70	75	3	0.04	0.043	GO:0030216	BP	27	keratinocyte differentiation	1	ENSG00000046604,ENSG00000175065,ENSG00000197641
1	TRUE	0.0458	10	136	2	0.015	0.2	GO:0031080	CC	21	nuclear pore outer ring	1	ENSG00000075188,ENSG00000120253
1	TRUE	0.0475	198	215	7	0.033	0.035	GO:0016072	BP	16	rRNA metabolic process	1	ENSG00000065183,ENSG00000105202,ENSG00000136718,ENSG00000138442,ENSG00000141076,ENSG00000144736,ENSG00000177469
1	TRUE	0.0475	89	23	2	0.087	0.022	GO:0030048	BP	7	actin filament-based movement	1	ENSG00000046604,ENSG00000137474
1	TRUE	0.0475	249	134	6	0.045	0.024	GO:0008015	BP	13	blood circulation	1	ENSG00000046604,ENSG00000138792,ENSG00000144891,ENSG00000148680,ENSG00000163273,ENSG00000167332
1	TRUE	0.0475	389	21	3	0.143	0.008	GO:0050839	MF	10	cell adhesion molecule binding	1	ENSG00000046604,ENSG00000109943,ENSG00000136167
1	TRUE	0.0493	418	21	3	0.143	0.007	GO:0070161	CC	22	anchoring junction	1	ENSG00000046604,ENSG00000109943,ENSG00000136167
1	TRUE	0.0496	426	108	7	0.065	0.016	GO:0070201	BP	28	regulation of establishment of protein localization	1	ENSG00000109943,ENSG00000135272,ENSG00000136167,ENSG00000136938,ENSG00000147601,ENSG00000167332,ENSG00000186188
1	TRUE	0.0497	14	134	2	0.015	0.143	GO:0098801	BP	33	regulation of renal system process	1	ENSG00000144891,ENSG00000167332
1	TRUE	0.0497	97	23	2	0.087	0.021	GO:0051015	MF	17	actin filament binding	1	ENSG00000136167,ENSG00000137474
