query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.95e-07	57	70	8	0.114	0.14	KEGG:04721	keg	99	Synaptic vesicle cycle	1	ENSG00000033627,ENSG00000105649,ENSG00000106976,ENSG00000136854,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205
1	TRUE	3.73e-05	395	52	12	0.231	0.03	GO:0098660	BP	38	inorganic ion transmembrane transport	1	ENSG00000006116,ENSG00000011021,ENSG00000033627,ENSG00000071553,ENSG00000072062,ENSG00000135390,ENSG00000137726,ENSG00000160014,ENSG00000171130,ENSG00000177301,ENSG00000185883,ENSG00000220205
1	TRUE	9.23e-05	43	52	5	0.096	0.116	KEGG:05110	keg	82	Vibrio cholerae infection	1	ENSG00000033627,ENSG00000071553,ENSG00000072062,ENSG00000171130,ENSG00000185883
1	TRUE	0.000166	932	81	20	0.247	0.021	GO:0044433	CC	17	cytoplasmic vesicle part	1	ENSG00000006116,ENSG00000011021,ENSG00000033627,ENSG00000065000,ENSG00000071553,ENSG00000105220,ENSG00000105270,ENSG00000105649,ENSG00000116260,ENSG00000117592,ENSG00000120885,ENSG00000123131,ENSG00000130985,ENSG00000143862,ENSG00000152291,ENSG00000162736,ENSG00000171130,ENSG00000185883,ENSG00000196961,ENSG00000220205
1	TRUE	0.000166	22	39	4	0.103	0.182	GO:0044769	MF	43	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	1	ENSG00000033627,ENSG00000135390,ENSG00000171130,ENSG00000185883
1	TRUE	0.000215	25	39	4	0.103	0.16	GO:0045851	BP	102	pH reduction	1	ENSG00000033627,ENSG00000071553,ENSG00000171130,ENSG00000185883
1	TRUE	0.000219	121	39	6	0.154	0.05	GO:0032869	BP	70	cellular response to insulin stimulus	1	ENSG00000033627,ENSG00000071553,ENSG00000166986,ENSG00000171130,ENSG00000185883,ENSG00000220205
1	TRUE	0.000349	610	81	15	0.185	0.025	GO:0099503	CC	69	secretory vesicle	1	ENSG00000008056,ENSG00000033627,ENSG00000072062,ENSG00000105220,ENSG00000105649,ENSG00000115194,ENSG00000116260,ENSG00000117592,ENSG00000120885,ENSG00000123131,ENSG00000136854,ENSG00000143862,ENSG00000162736,ENSG00000185883,ENSG00000220205
1	TRUE	0.000374	566	153	20	0.131	0.035	GO:0005768	CC	90	endosome	1	ENSG00000011021,ENSG00000033627,ENSG00000065000,ENSG00000071553,ENSG00000101337,ENSG00000104419,ENSG00000105270,ENSG00000112038,ENSG00000115194,ENSG00000116857,ENSG00000130985,ENSG00000134243,ENSG00000147164,ENSG00000152291,ENSG00000166887,ENSG00000169116,ENSG00000171130,ENSG00000175220,ENSG00000185883,ENSG00000196961
1	TRUE	0.000489	38	39	4	0.103	0.105	GO:0016469	CC	10	proton-transporting two-sector ATPase complex	1	ENSG00000033627,ENSG00000071553,ENSG00000135390,ENSG00000185883
