query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0423	85	99	4	0.04	0.047	GO:0009063	BP	9	cellular amino acid catabolic process	1	ENSG00000103507,ENSG00000110887,ENSG00000148090,ENSG00000160200
1	TRUE	0.0423	727	105	11	0.105	0.015	GO:0043436	BP	20	oxoacid metabolic process	1	ENSG00000103507,ENSG00000107789,ENSG00000110887,ENSG00000138109,ENSG00000140263,ENSG00000148090,ENSG00000148334,ENSG00000160200,ENSG00000162889,ENSG00000185624,ENSG00000188690
1	TRUE	0.0423	10	65	2	0.031	0.2	GO:0009071	BP	12	serine family amino acid catabolic process	1	ENSG00000110887,ENSG00000160200
1	TRUE	0.0463	42	89	3	0.034	0.071	GO:0016836	MF	15	hydro-lyase activity	1	ENSG00000148090,ENSG00000160200,ENSG00000188690
1	TRUE	0.0479	50	113	3	0.027	0.06	GO:0002286	BP	7	T cell activation involved in immune response	1	ENSG00000072694,ENSG00000137265,ENSG00000143365
1	TRUE	0.0479	17	113	2	0.018	0.118	GO:0072539	BP	17	T-helper 17 cell differentiation	1	ENSG00000137265,ENSG00000143365
1	TRUE	0.0479	24	61	2	0.033	0.083	GO:0021510	BP	6	spinal cord development	1	ENSG00000139352,ENSG00000168621
1	TRUE	0.0479	30	60	2	0.033	0.067	GO:0048255	BP	4	mRNA stabilization	1	ENSG00000162889,ENSG00000168621
1	TRUE	0.0479	21	61	2	0.033	0.095	GO:0048483	BP	13	autonomic nervous system development	1	ENSG00000139352,ENSG00000168621
1	TRUE	0.0479	124	47	3	0.064	0.024	GO:0005766	CC	14	primary lysosome	1	ENSG00000103381,ENSG00000148334,ENSG00000164713
1	TRUE	0.0479	11	91	2	0.022	0.182	GO:0042555	CC	18	MCM complex	1	ENSG00000073111,ENSG00000125885
1	TRUE	0.0479	534	29	4	0.138	0.007	GO:0097367	MF	5	carbohydrate derivative binding	1	ENSG00000049541,ENSG00000077782,ENSG00000100335,ENSG00000109832
1	TRUE	0.0479	502	29	4	0.138	0.008	GO:1901265	MF	3	nucleoside phosphate binding	1	ENSG00000049541,ENSG00000100335,ENSG00000109832,ENSG00000110887
1	TRUE	0.0479	878	29	5	0.172	0.006	GO:0043168	MF	1	anion binding	1	ENSG00000049541,ENSG00000077782,ENSG00000100335,ENSG00000109832,ENSG00000110887
1	TRUE	0.0479	209	113	5	0.044	0.024	GO:0000982	MF	2	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	1	ENSG00000137265,ENSG00000139352,ENSG00000143365,ENSG00000187098,ENSG00000198597
1	TRUE	0.0479	105	65	3	0.046	0.029	GO:1901681	MF	8	sulfur compound binding	1	ENSG00000077782,ENSG00000148334,ENSG00000160200
1	TRUE	0.0479	195	65	4	0.062	0.021	GO:0048037	MF	21	cofactor binding	1	ENSG00000110887,ENSG00000140263,ENSG00000148334,ENSG00000160200
1	TRUE	0.049	131	113	4	0.035	0.031	GO:0001227	MF	19	DNA-binding transcription repressor activity, RNA polymerase II-specific	1	ENSG00000139352,ENSG00000143365,ENSG00000187098,ENSG00000198597
1	TRUE	0.0497	21	104	2	0.019	0.095	GO:0032653	BP	16	regulation of interleukin-10 production	1	ENSG00000072694,ENSG00000137265
1	TRUE	0.0497	118	133	4	0.03	0.034	GO:0090575	CC	10	RNA polymerase II transcription factor complex	1	ENSG00000135801,ENSG00000139352,ENSG00000141384,ENSG00000197451
