query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.19e-06	19	94	6	0.064	0.316	GO:0061621	BP	107	canonical glycolysis	1	ENSG00000067225,ENSG00000074800,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000149925
1	TRUE	2.19e-06	19	94	6	0.064	0.316	GO:0061620	BP	84	glycolytic process through glucose-6-phosphate	1	ENSG00000067225,ENSG00000074800,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000149925
1	TRUE	2.19e-06	19	94	6	0.064	0.316	GO:0061615	BP	130	glycolytic process through fructose-6-phosphate	1	ENSG00000067225,ENSG00000074800,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000149925
1	TRUE	0.000206	309	164	15	0.091	0.049	GO:0045202	CC	29	synapse	1	ENSG00000055163,ENSG00000075624,ENSG00000089063,ENSG00000100678,ENSG00000102003,ENSG00000104888,ENSG00000105409,ENSG00000106089,ENSG00000143786,ENSG00000148660,ENSG00000158109,ENSG00000159164,ENSG00000163873,ENSG00000166111,ENSG00000198934
1	TRUE	0.000331	140	309	13	0.042	0.093	GO:0098793	CC	25	presynapse	1	ENSG00000075624,ENSG00000089063,ENSG00000101327,ENSG00000102003,ENSG00000104888,ENSG00000106089,ENSG00000111262,ENSG00000125848,ENSG00000127561,ENSG00000158109,ENSG00000159164,ENSG00000163873,ENSG00000166111
1	TRUE	0.000437	45	5	3	0.6	0.067	KEGG:05130	keg	74	Pathogenic Escherichia coli infection	1	ENSG00000075624,ENSG00000123416,ENSG00000127824
1	TRUE	0.000437	96	27	5	0.185	0.052	KEGG:01200	keg	17	Carbon metabolism	1	ENSG00000067225,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000146701
1	TRUE	0.00048	59	380	10	0.026	0.169	KEGG:01230	keg	35	Biosynthesis of amino acids	1	ENSG00000067225,ENSG00000074800,ENSG00000101911,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000111674,ENSG00000149925,ENSG00000163931,ENSG00000177156
1	TRUE	0.00048	51	27	4	0.148	0.078	KEGG:00010	keg	64	Glycolysis / Gluconeogenesis	1	ENSG00000067225,ENSG00000111640,ENSG00000111669,ENSG00000111674
1	TRUE	0.000781	209	250	14	0.056	0.067	GO:0030133	CC	90	transport vesicle	1	ENSG00000003056,ENSG00000089063,ENSG00000102003,ENSG00000104888,ENSG00000106089,ENSG00000127561,ENSG00000133935,ENSG00000143786,ENSG00000158109,ENSG00000159164,ENSG00000162236,ENSG00000162517,ENSG00000166111,ENSG00000181789
1	TRUE	0.000842	78	459	11	0.024	0.141	GO:0098803	CC	101	respiratory chain complex	1	ENSG00000073578,ENSG00000074582,ENSG00000090266,ENSG00000105819,ENSG00000111775,ENSG00000131143,ENSG00000140990,ENSG00000158864,ENSG00000170906,ENSG00000173660,ENSG00000213619
1	TRUE	0.000883	2	53	2	0.038	1	GO:0097433	CC	108	dense body	1	ENSG00000075624,ENSG00000184009
1	TRUE	0.000932	79	459	11	0.024	0.139	GO:0005746	CC	8	mitochondrial respiratory chain	1	ENSG00000073578,ENSG00000074582,ENSG00000090266,ENSG00000105819,ENSG00000111775,ENSG00000131143,ENSG00000140990,ENSG00000158864,ENSG00000170906,ENSG00000173660,ENSG00000213619
