query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00392	56	33	3	0.091	0.054	KEGG:04976	keg	24	Bile secretion	1	ENSG00000090020,ENSG00000138031,ENSG00000164742
1	TRUE	0.00392	67	33	3	0.091	0.045	KEGG:04972	keg	51	Pancreatic secretion	1	ENSG00000090020,ENSG00000138031,ENSG00000164742
1	TRUE	0.00392	80	53	4	0.075	0.05	KEGG:04540	keg	58	Gap junction	1	ENSG00000100311,ENSG00000113721,ENSG00000138031,ENSG00000164742
1	TRUE	0.00392	64	33	3	0.091	0.047	KEGG:04971	keg	36	Gastric acid secretion	1	ENSG00000090020,ENSG00000138031,ENSG00000164742
1	TRUE	0.00392	66	33	3	0.091	0.045	KEGG:04970	keg	16	Salivary secretion	1	ENSG00000090020,ENSG00000138031,ENSG00000164742
1	TRUE	0.00574	81	33	3	0.091	0.037	KEGG:04727	keg	22	GABAergic synapse	1	ENSG00000132164,ENSG00000138031,ENSG00000164742
1	TRUE	0.00587	86	33	3	0.091	0.035	KEGG:04713	keg	26	Circadian entrainment	1	ENSG00000108551,ENSG00000138031,ENSG00000164742
1	TRUE	0.00746	10	53	3	0.057	0.3	GO:0048407	MF	11	platelet-derived growth factor binding	1	ENSG00000100311,ENSG00000113721,ENSG00000130635
1	TRUE	0.00931	132	53	4	0.075	0.03	KEGG:04072	keg	63	Phospholipase D signaling pathway	1	ENSG00000100311,ENSG00000113721,ENSG00000138031,ENSG00000164742
1	TRUE	0.011	116	33	3	0.091	0.026	KEGG:04371	keg	74	Apelin signaling pathway	1	ENSG00000090020,ENSG00000138031,ENSG00000164742
1	TRUE	0.0115	122	33	3	0.091	0.025	KEGG:04261	keg	66	Adrenergic signaling in cardiomyocytes	1	ENSG00000090020,ENSG00000138031,ENSG00000164742
1	TRUE	0.0134	133	33	3	0.091	0.023	KEGG:04934	keg	77	Cushing syndrome	1	ENSG00000108551,ENSG00000138031,ENSG00000164742
1	TRUE	0.0149	3	53	2	0.038	0.667	GO:1900238	BP	62	regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0149	3	53	2	0.038	0.667	GO:2000591	BP	2	positive regulation of metanephric mesenchymal cell migration	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0165	8	33	2	0.061	0.25	GO:1904322	BP	49	cellular response to forskolin	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0165	5	53	2	0.038	0.4	GO:0072223	BP	82	metanephric glomerular mesangium development	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0165	8	33	2	0.061	0.25	GO:1904321	BP	64	response to forskolin	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0165	283	43	6	0.14	0.021	GO:0015077	MF	20	monovalent inorganic cation transmembrane transporter activity	1	ENSG00000090020,ENSG00000110719,ENSG00000124134,ENSG00000129159,ENSG00000132164,ENSG00000196517
1	TRUE	0.0168	28	47	2	0.043	0.071	KEGG:00860	keg	59	Porphyrin and chlorophyll metabolism	1	ENSG00000103356,ENSG00000139428
1	TRUE	0.0168	164	33	3	0.091	0.018	KEGG:04024	keg	50	cAMP signaling pathway	1	ENSG00000090020,ENSG00000138031,ENSG00000164742
1	TRUE	0.0168	183	53	4	0.075	0.022	KEGG:04810	keg	90	Regulation of actin cytoskeleton	1	ENSG00000090020,ENSG00000100311,ENSG00000113721,ENSG00000166908
1	TRUE	0.0168	176	53	4	0.075	0.023	KEGG:04015	keg	28	Rap1 signaling pathway	1	ENSG00000100311,ENSG00000113721,ENSG00000138031,ENSG00000164742
1	TRUE	0.0168	40	33	2	0.061	0.05	KEGG:04913	keg	70	Ovarian steroidogenesis	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0176	46	33	2	0.061	0.043	KEGG:04923	keg	13	Regulation of lipolysis in adipocytes	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0185	6	53	2	0.038	0.333	GO:0072110	BP	7	glomerular mesangial cell proliferation	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0185	6	53	2	0.038	0.333	GO:0090280	BP	60	positive regulation of calcium ion import	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0185	10	33	2	0.061	0.2	GO:0004016	MF	14	adenylate cyclase activity	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0195	30	59	3	0.051	0.1	GO:0048661	BP	71	positive regulation of smooth muscle cell proliferation	1	ENSG00000100311,ENSG00000113721,ENSG00000116688
1	TRUE	0.0202	11	33	2	0.061	0.182	GO:0006171	BP	84	cAMP biosynthetic process	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0205	54	33	2	0.061	0.037	KEGG:04927	keg	67	Cortisol synthesis and secretion	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0205	209	53	4	0.075	0.019	KEGG:05166	keg	81	Human T-cell leukemia virus 1 infection	1	ENSG00000100311,ENSG00000113721,ENSG00000138031,ENSG00000164742
1	TRUE	0.0205	43	36	2	0.056	0.047	KEGG:05110	keg	53	Vibrio cholerae infection	1	ENSG00000110719,ENSG00000138031
1	TRUE	0.0217	57	33	2	0.061	0.035	KEGG:04213	keg	83	Longevity regulating pathway - multiple species	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0239	13	33	2	0.061	0.154	GO:0008074	CC	12	guanylate cyclase complex, soluble	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0252	71	33	3	0.091	0.042	GO:0003014	BP	44	renal system process	1	ENSG00000100311,ENSG00000138031,ENSG00000164742
1	TRUE	0.026	64	33	2	0.061	0.031	KEGG:04918	keg	1	Thyroid hormone synthesis	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0262	11	53	2	0.038	0.182	GO:0014911	BP	54	positive regulation of smooth muscle cell migration	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0262	23	23	2	0.087	0.087	GO:0030212	BP	4	hyaluronan metabolic process	1	ENSG00000090020,ENSG00000100311
1	TRUE	0.0262	16	33	2	0.061	0.125	GO:0071377	BP	68	cellular response to glucagon stimulus	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0262	15	37	2	0.054	0.133	GO:0005251	MF	37	delayed rectifier potassium channel activity	1	ENSG00000124134,ENSG00000129159
1	TRUE	0.0285	121	53	4	0.075	0.033	GO:0046488	BP	45	phosphatidylinositol metabolic process	1	ENSG00000100311,ENSG00000113721,ENSG00000125505,ENSG00000166908
1	TRUE	0.0288	69	33	2	0.061	0.029	KEGG:05414	keg	32	Dilated cardiomyopathy (DCM)	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0289	15	43	2	0.047	0.133	GO:0005283	MF	48	amino acid:sodium symporter activity	1	ENSG00000132164,ENSG00000196517
1	TRUE	0.0292	13	53	2	0.038	0.154	GO:0005161	MF	21	platelet-derived growth factor receptor binding	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0292	71	33	2	0.061	0.028	KEGG:04911	keg	31	Insulin secretion	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	82	33	2	0.061	0.024	KEGG:04912	keg	92	GnRH signaling pathway	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	86	33	2	0.061	0.023	KEGG:05032	keg	30	Morphine addiction	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	88	33	2	0.061	0.023	KEGG:04750	keg	76	Inflammatory mediator regulation of TRP channels	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	83	33	2	0.061	0.024	KEGG:04914	keg	56	Progesterone-mediated oocyte maturation	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	84	33	2	0.061	0.024	KEGG:04925	keg	73	Aldosterone synthesis and secretion	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	84	33	2	0.061	0.024	KEGG:04211	keg	35	Longevity regulating pathway	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	87	33	2	0.061	0.023	KEGG:01522	keg	40	Endocrine resistance	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	84	33	2	0.061	0.024	KEGG:04916	keg	89	Melanogenesis	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0329	89	33	2	0.061	0.022	KEGG:04928	keg	78	Parathyroid hormone synthesis, secretion and action	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0355	100	33	2	0.061	0.02	KEGG:04725	keg	27	Cholinergic synapse	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0355	43	60	2	0.033	0.047	KEGG:00330	keg	85	Arginine and proline metabolism	1	ENSG00000100033,ENSG00000116649
1	TRUE	0.0355	99	33	2	0.061	0.02	KEGG:04915	keg	41	Estrogen signaling pathway	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0355	101	33	2	0.061	0.02	KEGG:04114	keg	72	Oocyte meiosis	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0355	100	33	2	0.061	0.02	KEGG:04270	keg	34	Vascular smooth muscle contraction	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0355	151	53	3	0.057	0.02	KEGG:04020	keg	87	Calcium signaling pathway	1	ENSG00000113721,ENSG00000138031,ENSG00000164742
1	TRUE	0.037	69	53	3	0.057	0.043	GO:0014066	BP	15	regulation of phosphatidylinositol 3-kinase signaling	1	ENSG00000100311,ENSG00000113721,ENSG00000166908
1	TRUE	0.0372	105	33	2	0.061	0.019	KEGG:04724	keg	9	Glutamatergic synapse	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0377	31	33	2	0.061	0.065	GO:0003091	BP	88	renal water homeostasis	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0377	327	3	2	0.667	0.006	GO:0060627	BP	52	regulation of vesicle-mediated transport	1	ENSG00000117016,ENSG00000167578
1	TRUE	0.0383	108	33	2	0.061	0.019	KEGG:04611	keg	91	Platelet activation	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0392	112	33	2	0.061	0.018	KEGG:04926	keg	10	Relaxin signaling pathway	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0392	61	53	2	0.038	0.033	KEGG:05218	keg	5	Melanoma	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.04	109	37	3	0.081	0.028	GO:0071804	BP	65	cellular potassium ion transport	1	ENSG00000090020,ENSG00000124134,ENSG00000129159
1	TRUE	0.04	109	37	3	0.081	0.028	GO:0071805	BP	23	potassium ion transmembrane transport	1	ENSG00000090020,ENSG00000124134,ENSG00000129159
1	TRUE	0.0417	64	53	2	0.038	0.031	KEGG:05214	keg	38	Glioma	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0432	22	53	2	0.038	0.091	GO:0043552	BP	61	positive regulation of phosphatidylinositol 3-kinase activity	1	ENSG00000100311,ENSG00000113721
1	TRUE	0.0432	236	6	2	0.333	0.008	GO:0042391	BP	79	regulation of membrane potential	1	ENSG00000090020,ENSG00000117016
1	TRUE	0.0477	225	48	4	0.083	0.018	GO:0030667	CC	42	secretory granule membrane	1	ENSG00000110719,ENSG00000148248,ENSG00000167578,ENSG00000204577
1	TRUE	0.0478	313	36	4	0.111	0.013	GO:0071417	BP	69	cellular response to organonitrogen compound	1	ENSG00000090020,ENSG00000110719,ENSG00000138031,ENSG00000164742
1	TRUE	0.0485	53	33	2	0.061	0.038	GO:0007189	BP	6	adenylate cyclase-activating G-protein coupled receptor signaling pathway	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0485	573	3	2	0.667	0.003	GO:0045055	BP	8	regulated exocytosis	1	ENSG00000117016,ENSG00000167578
1	TRUE	0.0485	53	33	2	0.061	0.038	GO:0007193	BP	86	adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	1	ENSG00000138031,ENSG00000164742
1	TRUE	0.0485	202	55	4	0.073	0.02	GO:1990351	CC	33	transporter complex	1	ENSG00000090020,ENSG00000124134,ENSG00000129159,ENSG00000142655
