query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00763	254	149	12	0.081	0.047	GO:0098852	CC	12	lytic vacuole membrane	1	ENSG00000101294,ENSG00000107331,ENSG00000123384,ENSG00000123643,ENSG00000127419,ENSG00000131748,ENSG00000141564,ENSG00000149577,ENSG00000162341,ENSG00000171298,ENSG00000185475,ENSG00000186815
1	TRUE	0.00998	2	40	2	0.05	1	GO:0072345	MF	25	NAADP-sensitive calcium-release channel activity	1	ENSG00000162341,ENSG00000186815
1	TRUE	0.0227	21	9	2	0.222	0.095	GO:0016242	BP	7	negative regulation of macroautophagy	1	ENSG00000103197,ENSG00000145016
1	TRUE	0.0227	49	430	8	0.019	0.163	GO:0031338	BP	18	regulation of vesicle fusion	1	ENSG00000100359,ENSG00000104142,ENSG00000104946,ENSG00000111490,ENSG00000141258,ENSG00000167291,ENSG00000167371,ENSG00000204634
1	TRUE	0.0227	76	433	9	0.021	0.118	GO:0008361	BP	13	regulation of cell size	1	ENSG00000040608,ENSG00000076356,ENSG00000085733,ENSG00000089041,ENSG00000141564,ENSG00000163462,ENSG00000171587,ENSG00000198910,ENSG00000240583
1	TRUE	0.0227	4	79	2	0.025	0.5	GO:1900402	BP	24	regulation of carbohydrate metabolic process by regulation of transcription from RNA polymerase II promoter	1	ENSG00000126368,ENSG00000175727
1	TRUE	0.0227	5	414	3	0.007	0.6	GO:0043190	CC	6	ATP-binding cassette (ABC) transporter complex	1	ENSG00000064687,ENSG00000107331,ENSG00000115657
1	TRUE	0.0227	3	81	2	0.025	0.667	GO:0000839	CC	1	Hrd1p ubiquitin ligase ERAD-L complex	1	ENSG00000115307,ENSG00000162298
1	TRUE	0.0227	195	151	9	0.06	0.046	GO:1902495	CC	27	transmembrane transporter complex	1	ENSG00000006071,ENSG00000055118,ENSG00000085733,ENSG00000105605,ENSG00000107331,ENSG00000108797,ENSG00000116396,ENSG00000131398,ENSG00000196218
1	TRUE	0.0227	122	146	7	0.048	0.057	GO:0005244	MF	20	voltage-gated ion channel activity	1	ENSG00000006071,ENSG00000055118,ENSG00000105605,ENSG00000116396,ENSG00000131398,ENSG00000162341,ENSG00000196218
1	TRUE	0.0253	6	56	2	0.036	0.333	GO:0090527	BP	14	actin filament reorganization	1	ENSG00000158856,ENSG00000186635
1	TRUE	0.0281	50	418	7	0.017	0.14	GO:0042383	CC	3	sarcolemma	1	ENSG00000006071,ENSG00000105605,ENSG00000135636,ENSG00000136717,ENSG00000154330,ENSG00000240583,ENSG00000266964
1	TRUE	0.039	4	123	2	0.016	0.5	GO:0032483	BP	11	regulation of Rab protein signal transduction	1	ENSG00000100359,ENSG00000198837
1	TRUE	0.0424	27	414	5	0.012	0.185	GO:0032371	BP	16	regulation of sterol transport	1	ENSG00000064687,ENSG00000107331,ENSG00000123384,ENSG00000132522,ENSG00000198911
1	TRUE	0.0424	463	81	9	0.111	0.019	GO:0010243	BP	19	response to organonitrogen compound	1	ENSG00000103197,ENSG00000104969,ENSG00000115307,ENSG00000141564,ENSG00000158856,ENSG00000162104,ENSG00000162298,ENSG00000174233,ENSG00000196218
1	TRUE	0.0424	748	149	17	0.114	0.023	GO:0022857	MF	22	transmembrane transporter activity	1	ENSG00000006071,ENSG00000055118,ENSG00000092068,ENSG00000105605,ENSG00000105726,ENSG00000107331,ENSG00000116396,ENSG00000123643,ENSG00000125648,ENSG00000127419,ENSG00000130304,ENSG00000131398,ENSG00000149577,ENSG00000162341,ENSG00000167972,ENSG00000186815,ENSG00000196218
1	TRUE	0.0439	40	433	6	0.014	0.15	GO:0030516	BP	23	regulation of axon extension	1	ENSG00000040608,ENSG00000076356,ENSG00000085733,ENSG00000163462,ENSG00000171587,ENSG00000198910
1	TRUE	0.0439	4	160	2	0.013	0.5	GO:0006685	BP	10	sphingomyelin catabolic process	1	ENSG00000103056,ENSG00000136699
1	TRUE	0.0439	6	104	2	0.019	0.333	GO:1903726	BP	5	negative regulation of phospholipid metabolic process	1	ENSG00000130304,ENSG00000145016
1	TRUE	0.0439	9	321	3	0.009	0.333	GO:0043996	MF	15	histone acetyltransferase activity (H4-K8 specific)	1	ENSG00000114982,ENSG00000172534,ENSG00000187778
1	TRUE	0.0439	10	57	2	0.035	0.2	GO:0004016	MF	21	adenylate cyclase activity	1	ENSG00000162104,ENSG00000174233
1	TRUE	0.0439	9	321	3	0.009	0.333	GO:0043995	MF	4	histone acetyltransferase activity (H4-K5 specific)	1	ENSG00000114982,ENSG00000172534,ENSG00000187778
1	TRUE	0.0439	9	321	3	0.009	0.333	GO:0046972	MF	8	histone acetyltransferase activity (H4-K16 specific)	1	ENSG00000114982,ENSG00000172534,ENSG00000187778
1	TRUE	0.0465	134	235	8	0.034	0.06	GO:0006813	BP	17	potassium ion transport	1	ENSG00000006071,ENSG00000055118,ENSG00000116396,ENSG00000127419,ENSG00000131398,ENSG00000136717,ENSG00000198373,ENSG00000240583
1	TRUE	0.0465	11	57	2	0.035	0.182	GO:0006171	BP	9	cAMP biosynthetic process	1	ENSG00000162104,ENSG00000174233
