query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000182	18	290	7	0.024	0.389	GO:0032508	BP	122	DNA duplex unwinding	1	ENSG00000079785,ENSG00000104320,ENSG00000112249,ENSG00000113522,ENSG00000128513,ENSG00000135829,ENSG00000165392
1	TRUE	0.000182	586	297	34	0.114	0.058	GO:0016604	CC	85	nuclear body	1	ENSG00000005812,ENSG00000029363,ENSG00000065243,ENSG00000068796,ENSG00000079785,ENSG00000080345,ENSG00000085224,ENSG00000092978,ENSG00000096717,ENSG00000100815,ENSG00000104320,ENSG00000104765,ENSG00000107290,ENSG00000115524,ENSG00000116030,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000120688,ENSG00000121741,ENSG00000123200,ENSG00000131051,ENSG00000135829,ENSG00000138398,ENSG00000153187,ENSG00000154654,ENSG00000162409,ENSG00000164151,ENSG00000165392,ENSG00000165516,ENSG00000173166,ENSG00000187555,ENSG00000196504,ENSG00000198791
1	TRUE	0.000771	520	229	25	0.109	0.048	GO:0007017	BP	26	microtubule-based process	1	ENSG00000068796,ENSG00000078018,ENSG00000078674,ENSG00000100815,ENSG00000108424,ENSG00000115355,ENSG00000117155,ENSG00000118200,ENSG00000126777,ENSG00000127914,ENSG00000127955,ENSG00000131437,ENSG00000134318,ENSG00000134709,ENSG00000145632,ENSG00000151914,ENSG00000153187,ENSG00000153201,ENSG00000160551,ENSG00000164114,ENSG00000166503,ENSG00000168172,ENSG00000168280,ENSG00000170759,ENSG00000198836
1	TRUE	0.000771	595	361	36	0.1	0.061	GO:0016818	MF	87	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	1	ENSG00000021574,ENSG00000068796,ENSG00000070961,ENSG00000077097,ENSG00000079785,ENSG00000085224,ENSG00000095002,ENSG00000100519,ENSG00000100852,ENSG00000102038,ENSG00000104320,ENSG00000107290,ENSG00000107937,ENSG00000108654,ENSG00000112249,ENSG00000112339,ENSG00000113522,ENSG00000113595,ENSG00000124406,ENSG00000127955,ENSG00000131437,ENSG00000133657,ENSG00000135829,ENSG00000137502,ENSG00000144566,ENSG00000145715,ENSG00000153147,ENSG00000154265,ENSG00000164347,ENSG00000165392,ENSG00000168280,ENSG00000170759,ENSG00000171109,ENSG00000187240,ENSG00000196368,ENSG00000198836
1	TRUE	0.00122	136	229	12	0.052	0.088	GO:0030705	BP	127	cytoskeleton-dependent intracellular transport	1	ENSG00000078018,ENSG00000078674,ENSG00000100815,ENSG00000115355,ENSG00000117155,ENSG00000131437,ENSG00000134709,ENSG00000151914,ENSG00000168172,ENSG00000168280,ENSG00000170759,ENSG00000198836
1	TRUE	0.00186	638	295	32	0.108	0.05	GO:0006974	BP	43	cellular response to DNA damage stimulus	1	ENSG00000029363,ENSG00000038219,ENSG00000069275,ENSG00000079785,ENSG00000080345,ENSG00000083642,ENSG00000085224,ENSG00000096717,ENSG00000104320,ENSG00000107290,ENSG00000108654,ENSG00000112249,ENSG00000113522,ENSG00000115233,ENSG00000115966,ENSG00000116030,ENSG00000116560,ENSG00000119048,ENSG00000124802,ENSG00000133302,ENSG00000135829,ENSG00000145632,ENSG00000146476,ENSG00000160551,ENSG00000165392,ENSG00000166068,ENSG00000166200,ENSG00000166266,ENSG00000170242,ENSG00000174405,ENSG00000187555,ENSG00000198791
1	TRUE	0.00283	367	229	19	0.083	0.052	GO:0000226	BP	47	microtubule cytoskeleton organization	1	ENSG00000068796,ENSG00000078018,ENSG00000078674,ENSG00000108424,ENSG00000115355,ENSG00000117155,ENSG00000118200,ENSG00000127914,ENSG00000127955,ENSG00000131437,ENSG00000134318,ENSG00000134709,ENSG00000145632,ENSG00000153187,ENSG00000153201,ENSG00000160551,ENSG00000164114,ENSG00000166503,ENSG00000168172
1	TRUE	0.00283	839	255	34	0.133	0.041	GO:0015630	CC	67	microtubule cytoskeleton	1	ENSG00000005249,ENSG00000008294,ENSG00000065243,ENSG00000068796,ENSG00000077254,ENSG00000078018,ENSG00000078674,ENSG00000080345,ENSG00000115355,ENSG00000117155,ENSG00000118200,ENSG00000122417,ENSG00000122565,ENSG00000127914,ENSG00000127955,ENSG00000131051,ENSG00000131437,ENSG00000133302,ENSG00000134318,ENSG00000134709,ENSG00000135829,ENSG00000143702,ENSG00000145632,ENSG00000151914,ENSG00000153187,ENSG00000153201,ENSG00000160551,ENSG00000164114,ENSG00000168172,ENSG00000168280,ENSG00000170759,ENSG00000175455,ENSG00000177565,ENSG00000187164
1	TRUE	0.00283	355	304	22	0.072	0.062	GO:0000785	CC	23	chromatin	1	ENSG00000048649,ENSG00000069275,ENSG00000077097,ENSG00000080345,ENSG00000083642,ENSG00000085224,ENSG00000096717,ENSG00000101972,ENSG00000102038,ENSG00000113522,ENSG00000116560,ENSG00000119048,ENSG00000122565,ENSG00000133302,ENSG00000135829,ENSG00000141446,ENSG00000143401,ENSG00000153147,ENSG00000157500,ENSG00000164151,ENSG00000164985,ENSG00000180530
1	TRUE	0.00298	278	307	19	0.062	0.068	GO:0051052	BP	128	regulation of DNA metabolic process	1	ENSG00000069275,ENSG00000080345,ENSG00000085224,ENSG00000096717,ENSG00000101972,ENSG00000104320,ENSG00000107854,ENSG00000107937,ENSG00000113522,ENSG00000115355,ENSG00000124486,ENSG00000128513,ENSG00000133302,ENSG00000135829,ENSG00000141446,ENSG00000153187,ENSG00000165392,ENSG00000167232,ENSG00000187555
1	TRUE	0.00298	204	245	14	0.057	0.069	GO:0030424	CC	46	axon	1	ENSG00000078018,ENSG00000107290,ENSG00000124486,ENSG00000136531,ENSG00000137766,ENSG00000144566,ENSG00000150471,ENSG00000150625,ENSG00000151835,ENSG00000164114,ENSG00000168280,ENSG00000170017,ENSG00000179915,ENSG00000187164
1	TRUE	0.00298	39	290	7	0.024	0.179	GO:0003678	MF	53	DNA helicase activity	1	ENSG00000085224,ENSG00000104320,ENSG00000107290,ENSG00000112249,ENSG00000113522,ENSG00000135829,ENSG00000165392
1	TRUE	0.0036	298	405	23	0.057	0.077	GO:0005635	CC	110	nuclear envelope	1	ENSG00000015479,ENSG00000021574,ENSG00000023287,ENSG00000047410,ENSG00000078674,ENSG00000080345,ENSG00000086200,ENSG00000096717,ENSG00000102753,ENSG00000104765,ENSG00000107854,ENSG00000107937,ENSG00000108424,ENSG00000109133,ENSG00000116030,ENSG00000122565,ENSG00000139496,ENSG00000139505,ENSG00000153201,ENSG00000165516,ENSG00000173611,ENSG00000174106,ENSG00000179915
1	TRUE	0.00419	33	142	5	0.035	0.152	GO:0031122	BP	99	cytoplasmic microtubule organization	1	ENSG00000078674,ENSG00000108424,ENSG00000115355,ENSG00000134709,ENSG00000168172
1	TRUE	0.00419	143	229	11	0.048	0.077	GO:0008017	MF	36	microtubule binding	1	ENSG00000068796,ENSG00000078018,ENSG00000115355,ENSG00000118200,ENSG00000134709,ENSG00000151914,ENSG00000164114,ENSG00000166503,ENSG00000168172,ENSG00000170759,ENSG00000198836
1	TRUE	0.00517	134	304	12	0.039	0.09	GO:0070507	BP	135	regulation of microtubule cytoskeleton organization	1	ENSG00000078018,ENSG00000101972,ENSG00000118200,ENSG00000127914,ENSG00000127955,ENSG00000145632,ENSG00000153187,ENSG00000153201,ENSG00000160551,ENSG00000162409,ENSG00000164114,ENSG00000166503
