Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	-0.155705236449102	0.0523336951341783	-2.97523872621434	0.00535714030296928	0.171428489695017	0	
blue	2	Autism	-0.123423383135081	0.0541671823285136	-2.27856384307646	0.0290947002155882	0.843746306252057	0	
brown	3	Autism	-0.185766658307797	0.0471782307563605	-3.93755033475376	0.000387155206354209	0.0131632770160431	-1.88063597904901	-0.2
yellow	4	Autism	0.0198954364119779	0.0567871211664803	0.350351206458439	0.728236442208928	1	0	
green	5	Autism	0.0700550289312078	0.0555700602422266	1.2606613817916	0.216013822349797	1	0	
red	6	Autism	0.165898763797015	0.0500537096581604	3.31441495405661	0.00218945860461245	0.0722521339522108	0	
black	7	Autism	-0.0816408497965372	0.0561955702326789	-1.45279867182594	0.155447198141103	1	0	
pink	8	Autism	-0.0595190650033663	0.0543101194042325	-1.0959111424588	0.280819884479127	1	0	
magenta	9	Autism	0.0855722540387733	0.0542889557664353	1.57623687600341	0.124231499374156	1	0	
purple	10	Autism	-0.0197804391356587	0.0584254719503554	-0.338558482719084	0.737024301946366	1	0	
greenyellow	11	Autism	-0.121783172453612	0.0530627971418795	-2.29507638144268	0.0280250866632616	0.840752599897849	0	
tan	12	Autism	0.0849331033732768	0.05671361698398	1.4975786749286	0.143469932617605	1	0	
salmon	13	Autism	0.113381373636619	0.0536800844020984	2.11216831902349	0.0420961028440303	1	0	
cyan	14	Autism	0.0703024126052468	0.0519486902995496	1.35330481288103	0.184888082447203	1	0	
midnightblue	15	Autism	0.108851792288969	0.0530389461099496	2.05229930593493	0.0479032103444258	1	0	
lightcyan	16	Autism	-0.126993277345854	0.0521421494932935	-2.43552056407242	0.0202656949290123	0.62823654279938	0	
grey60	17	Autism	-0.0221389917268987	0.0537154687369381	-0.412153002616815	0.682814418051038	1	0	
lightgreen	18	Autism	-0.0479535167798399	0.0539048476301955	-0.889595628000218	0.379934418200861	1	0	
lightyellow	19	Autism	-0.0815928112200873	0.0551536041944933	-1.47937405744798	0.148246881817653	1	0	
royalblue	20	Autism	-0.0896031555722306	0.0544448105815126	-1.64576117751535	0.109027634432446	1	0	
darkred	21	Autism	-0.0216455035530727	0.0550842370131856	-0.392952770642742	0.696807412438746	1	0	
darkgreen	22	Autism	0.0879251829979163	0.046728068527197	1.88163529478522	0.0684698078595969	1	0	
darkturquoise	23	Autism	0.0276931314102111	0.0564883155761369	0.490245303435989	0.627109202170462	1	0	
darkgrey	24	Autism	0.0141460263942287	0.0585838331401572	0.241466384768396	0.810644048091658	1	0	
orange	25	Autism	0.0642766552407682	0.0553659936327306	1.16094105828112	0.253752238597336	1	0	
darkorange	26	Autism	0.00160200476491279	0.0533006335434335	0.0300560173193317	0.976198117561785	1	0	
white	27	Autism	0.0390113037446123	0.0506430587268034	0.770318869463647	0.446430551920508	1	0	
skyblue	28	Autism	0.0738863388119596	0.0564425611077607	1.30905361772821	0.199294885553488	1	0	
saddlebrown	29	Autism	-0.0974137821070944	0.055661595526971	-1.75010761342427	0.0891207163634879	1	0	
steelblue	30	Autism	0.0187784047503253	0.0557334767645503	0.336932232483107	0.738239027712277	1	0	
paleturquoise	31	Autism	0.193657829560043	0.0476413287247484	4.06491243514464	0.000268736338867778	0.00940577186037223	2.02660555939634	0.2
violet	32	Autism	0.0350282314197307	0.0576446284411205	0.607658204536946	0.547451738950481	1	0	
darkolivegreen	33	Autism	-0.207382476921837	0.045346087202553	-4.57332682300672	6.09693359093332e-05	0.00225586542864533	-2.646686811311	-0.2
darkmagenta	34	Autism	0.201928019377376	0.0453832631631712	4.44939401231162	8.78097058306773e-05	0.00316114940990438	2.50015497699701	0.2
sienna3	35	Autism	0.0199595084315602	0.058510334279866	0.341127916584617	0.735106465480217	1	0	
yellowgreen	36	Autism	-0.0776182002626126	0.0548473632983234	-1.41516739538481	0.166113969018729	1	0	
skyblue3	37	Autism	0.0348550051003195	0.0528587625413221	0.659398809668912	0.514081534241293	1	0	
