Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	-0.135938764309232	0.0511413953939036	-2.65809650405896	0.0117652245389492	0.482374206096918	0	
blue	2	Autism	0.150482934945292	0.041967515997015	3.5857003058269	0.00101534378952834	0.0436597829497187	1.35991842767346	0.2
brown	3	Autism	0.211149936400717	0.0406367131286846	5.19603875766396	8.86500960081355e-06	0.000416655451238237	3.38022293178577	0.2
yellow	4	Autism	0.00901867923224896	0.0553436419214735	0.162957819889148	0.871488918409776	1	0	
green	5	Autism	-0.0143569104310554	0.0547162850675139	-0.262388252662631	0.794560402386184	1	0	
red	6	Autism	-0.0909172106494043	0.0536968673812501	-1.69315669765031	0.0993096612811065	1	0	
black	7	Autism	-0.0253854085406742	0.0556014272744595	-0.456560375966015	0.650807889112827	1	0	
pink	8	Autism	-0.0477687608026437	0.0535980170335972	-0.891241195970002	0.37888594566976	1	0	
magenta	9	Autism	0.0546842596495322	0.0531618202183034	1.02863783491568	0.310706470818067	1	0	
purple	10	Autism	-0.100802370621704	0.0506945474028682	-1.98842628617689	0.0546289896275933	1	0	
greenyellow	11	Autism	-0.108783302525314	0.0517960069491499	-2.10022565314949	0.0429844402484757	1	0	
tan	12	Autism	0.0946416496768366	0.0517068103138893	1.83035172934298	0.075723881700685	1	0	
salmon	13	Autism	0.142328747405779	0.0415221567581616	3.42777828798122	0.0015731828674221	0.0660736804317281	0	
cyan	14	Autism	0.0436050512556839	0.0537918246734898	0.810625992339199	0.423058466516431	1	0	
midnightblue	15	Autism	0.0762449544217335	0.0485361374321869	1.57089044278112	0.125205692774561	1	0	
lightcyan	16	Autism	-0.175624419472609	0.0449066731567059	-3.91087575914946	0.000403701841905365	0.0181665828857414	-1.74072675532435	-0.2
grey60	17	Autism	-0.111223904654297	0.0525341685394169	-2.117172646805	0.041424899786196	1	0	
lightgreen	18	Autism	0.174339212546334	0.0461150405334769	3.78052822960816	0.000586083841755195	0.0257876890372286	1.58858757540176	0.2
lightyellow	19	Autism	-0.0583158778117593	0.0542494267163366	-1.07495841599738	0.289748257168802	1	0	
royalblue	20	Autism	-0.0427768870702656	0.0529936026069753	-0.807208511327649	0.424998210589809	1	0	
darkred	21	Autism	0.0798480687877003	0.0524423879390657	1.52258644058081	0.136847070168008	1	0	
darkgreen	22	Autism	-0.0810313142388611	0.0504303818845067	-1.60679557066284	0.117084828348749	1	0	
darkturquoise	23	Autism	-0.0136042125219966	0.0546775299347917	-0.248808103405931	0.804963476555931	1	0	
darkgrey	24	Autism	0.201514033125624	0.0425899066962389	4.73149740765739	3.60043329425508e-05	0.00165619931535734	2.78088739922323	0.2
orange	25	Autism	0.0616803570397675	0.0529827384917194	1.16415947524886	0.252233857958095	1	0	
darkorange	26	Autism	0.108688957325341	0.0526638294199924	2.06382556153579	0.0465101331116385	1	0	
white	27	Autism	-0.0255695784569678	0.0552067584666331	-0.463160293543082	0.646116667862022	1	0	
skyblue	28	Autism	0.0627017591032184	0.0548930577102157	1.14225298641998	0.261103109749243	1	0	
saddlebrown	29	Autism	-0.127451715155952	0.0514375328073284	-2.47779604113893	0.0181920163658964	0.726982629923807	0	
steelblue	30	Autism	-0.02223815367939	0.0534186125882189	-0.416299724045893	0.67973257637544	1	0	
paleturquoise	31	Autism	-0.0931880117564778	0.0527897052145821	-1.76526865186465	0.0862430097153963	1	0	
violet	32	Autism	0.0660692128887131	0.0416212764853678	1.58739035579411	0.121418600323083	1	0	
darkolivegreen	33	Autism	-0.00670089573874116	0.0538336370673849	-0.124474141146241	0.901652035923279	1	0	
darkmagenta	34	Autism	-0.0410328638595879	0.0534476222055321	-0.767721035405403	0.447801647698265	1	0	
sienna3	35	Autism	0.0819636208895584	0.0513947196952666	1.59478680641792	0.119751551443885	1	0	
yellowgreen	36	Autism	0.0470205114330386	0.0533133588407897	0.881964904395847	0.383812987860806	1	0	
skyblue3	37	Autism	0.0563393763958864	0.0544984873900871	1.03377871742793	0.308330161717264	1	0	
plum1	38	Autism	0.0757843633288308	0.0486418658790004	1.55800691357829	0.128229063806446	1	0	
orangered4	39	Autism	-0.0873744431829208	0.0485087782482843	-1.80120890152518	0.0802910837553605	1	0	
mediumpurple3	40	Autism	0.198617409492563	0.0378858134740205	5.24252724911824	7.69982507659368e-06	0.000369591603676497	3.4322779035731	0.2
lightsteelblue1	41	Autism	0.0598529964608648	0.0497920430167759	1.20205946240646	0.237410612224809	1	0	
lightcyan1	42	Autism	0.103092073458197	0.0522556668802667	1.97284006908594	0.0564533910952517	1	0	
ivory	43	Autism	-0.0349544941464451	0.0538720145111224	-0.648843271662476	0.520674711910684	1	0	
floralwhite	44	Autism	0.0110875506160989	0.053412914570727	0.207581831195848	0.836758614923541	1	0	
darkorange2	45	Autism	-0.0713705894356284	0.0544957124900255	-1.30965513018463	0.198844484135626	1	0	
brown4	46	Autism	-0.121819737187583	0.0491565351439181	-2.47820023992588	0.0181745657480952	0.726982629923807	0	
bisque4	47	Autism	0.0773765830297145	0.050192094337456	1.54160897350665	0.132162501532285	1	0	
darkslateblue	48	Autism	0.0890712664852446	0.0530900949080036	1.67773794037457	0.102307777573734	1	0	
