query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00055	49	58	5	0.086	0.102	GO:0045580	BP	51	regulation of T cell differentiation	1	ENSG00000101096,ENSG00000101665,ENSG00000163513,ENSG00000198805,ENSG00000203710
1	TRUE	0.00055	92	58	6	0.103	0.065	GO:1902105	BP	25	regulation of leukocyte differentiation	1	ENSG00000072694,ENSG00000101096,ENSG00000101665,ENSG00000163513,ENSG00000198805,ENSG00000203710
1	TRUE	0.000788	16	5	2	0.4	0.125	GO:0010955	BP	17	negative regulation of protein processing	1	ENSG00000023445,ENSG00000203710
1	TRUE	0.000788	11	43	3	0.07	0.273	GO:0002823	BP	28	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1	ENSG00000072694,ENSG00000101665,ENSG00000203710
1	TRUE	0.00099	13	43	3	0.07	0.231	GO:0002707	BP	32	negative regulation of lymphocyte mediated immunity	1	ENSG00000072694,ENSG00000101665,ENSG00000203710
1	TRUE	0.00324	58	5	2	0.4	0.034	GO:0010951	BP	53	negative regulation of endopeptidase activity	1	ENSG00000023445,ENSG00000203710
1	TRUE	0.00324	62	5	2	0.4	0.032	GO:0010466	BP	18	negative regulation of peptidase activity	1	ENSG00000023445,ENSG00000203710
1	TRUE	0.00343	27	7	2	0.286	0.074	GO:0006956	BP	20	complement activation	1	ENSG00000127241,ENSG00000203710
1	TRUE	0.0039	64	58	4	0.069	0.062	GO:0050670	BP	70	regulation of lymphocyte proliferation	1	ENSG00000072694,ENSG00000101096,ENSG00000163513,ENSG00000198805
1	TRUE	0.00665	321	7	3	0.429	0.009	GO:0045087	BP	4	innate immune response	1	ENSG00000023445,ENSG00000127241,ENSG00000203710
1	TRUE	0.00674	114	5	2	0.4	0.018	GO:0050727	BP	15	regulation of inflammatory response	1	ENSG00000023445,ENSG00000203710
1	TRUE	0.00766	22	91	3	0.033	0.136	GO:0034656	BP	64	nucleobase-containing small molecule catabolic process	1	ENSG00000100024,ENSG00000165609,ENSG00000198805
