query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0037	299	99	13	0.131	0.043	GO:0008380	BP	32	RNA splicing	1	ENSG00000013441,ENSG00000065526,ENSG00000075292,ENSG00000090060,ENSG00000100201,ENSG00000100650,ENSG00000136527,ENSG00000136937,ENSG00000152601,ENSG00000153187,ENSG00000163714,ENSG00000164985,ENSG00000265241
1	TRUE	0.0144	242	99	10	0.101	0.041	GO:0000398	BP	8	mRNA splicing, via spliceosome	1	ENSG00000065526,ENSG00000090060,ENSG00000100201,ENSG00000100650,ENSG00000136527,ENSG00000136937,ENSG00000153187,ENSG00000163714,ENSG00000164985,ENSG00000265241
1	TRUE	0.0144	24	87	4	0.046	0.167	GO:0090311	BP	1	regulation of protein deacetylation	1	ENSG00000102409,ENSG00000132356,ENSG00000164190,ENSG00000198663
1	TRUE	0.0152	865	61	14	0.23	0.016	GO:0051254	BP	9	positive regulation of RNA metabolic process	1	ENSG00000085224,ENSG00000087191,ENSG00000095787,ENSG00000100201,ENSG00000102908,ENSG00000116731,ENSG00000118058,ENSG00000134852,ENSG00000136527,ENSG00000136937,ENSG00000147044,ENSG00000175104,ENSG00000177565,ENSG00000244687
1	TRUE	0.0195	103	126	7	0.056	0.068	GO:1902275	BP	29	regulation of chromatin organization	1	ENSG00000085224,ENSG00000118058,ENSG00000153187,ENSG00000160679,ENSG00000164190,ENSG00000177000,ENSG00000198663
1	TRUE	0.0195	9	135	3	0.022	0.333	GO:0071385	BP	37	cellular response to glucocorticoid stimulus	1	ENSG00000119138,ENSG00000152518,ENSG00000153187
1	TRUE	0.0208	92	69	5	0.072	0.054	GO:0071427	BP	11	mRNA-containing ribonucleoprotein complex export from nucleus	1	ENSG00000100650,ENSG00000136937,ENSG00000139496,ENSG00000160679,ENSG00000265241
1	TRUE	0.0208	92	69	5	0.072	0.054	GO:0006406	BP	27	mRNA export from nucleus	1	ENSG00000100650,ENSG00000136937,ENSG00000139496,ENSG00000160679,ENSG00000265241
1	TRUE	0.0208	109	125	7	0.056	0.064	GO:2001252	BP	31	positive regulation of chromosome organization	1	ENSG00000085224,ENSG00000118058,ENSG00000153187,ENSG00000160679,ENSG00000164190,ENSG00000188827,ENSG00000198663
1	TRUE	0.0208	238	99	9	0.091	0.038	GO:0016607	CC	13	nuclear speck	1	ENSG00000100201,ENSG00000100650,ENSG00000105197,ENSG00000109920,ENSG00000113712,ENSG00000132356,ENSG00000153187,ENSG00000160679,ENSG00000265241
1	TRUE	0.0256	39	95	4	0.042	0.103	GO:0021762	BP	26	substantia nigra development	1	ENSG00000075624,ENSG00000088986,ENSG00000163848,ENSG00000175455
1	TRUE	0.0256	213	120	9	0.075	0.042	GO:0016236	BP	17	macroautophagy	1	ENSG00000088986,ENSG00000095787,ENSG00000115020,ENSG00000117410,ENSG00000121879,ENSG00000129003,ENSG00000132356,ENSG00000155975,ENSG00000198382
1	TRUE	0.0256	50	137	5	0.036	0.1	GO:0000980	MF	22	RNA polymerase II distal enhancer sequence-specific DNA binding	1	ENSG00000075624,ENSG00000118058,ENSG00000118260,ENSG00000134852,ENSG00000162702
1	TRUE	0.0256	500	31	7	0.226	0.014	GO:0016462	MF	38	pyrophosphatase activity	1	ENSG00000085224,ENSG00000087191,ENSG00000100201,ENSG00000117410,ENSG00000154265,ENSG00000172795,ENSG00000175582
1	TRUE	0.0265	198	20	4	0.2	0.02	GO:0022804	MF	36	active transmembrane transporter activity	1	ENSG00000050438,ENSG00000111371,ENSG00000117410,ENSG00000154265
1	TRUE	0.0288	98	99	6	0.061	0.061	KEGG:03040	keg	30	Spliceosome	1	ENSG00000100650,ENSG00000136527,ENSG00000136937,ENSG00000153187,ENSG00000163714,ENSG00000265241
