query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0333	348	117	14	0.12	0.04	GO:0006897	BP	10	endocytosis	1	ENSG00000025434,ENSG00000039319,ENSG00000087053,ENSG00000110880,ENSG00000115234,ENSG00000116675,ENSG00000122705,ENSG00000129515,ENSG00000144566,ENSG00000147894,ENSG00000165527,ENSG00000166598,ENSG00000196586,ENSG00000197959
1	TRUE	0.034	12	12	2	0.167	0.167	GO:0007026	BP	9	negative regulation of microtubule depolymerization	1	ENSG00000160551,ENSG00000163539
1	TRUE	0.034	2	80	2	0.025	1	GO:0006556	BP	3	S-adenosylmethionine biosynthetic process	1	ENSG00000038274,ENSG00000168906
1	TRUE	0.034	12	12	2	0.167	0.167	GO:0031114	BP	2	regulation of microtubule depolymerization	1	ENSG00000160551,ENSG00000163539
1	TRUE	0.034	149	86	7	0.081	0.047	GO:0006470	BP	6	protein dephosphorylation	1	ENSG00000074590,ENSG00000087053,ENSG00000107758,ENSG00000128989,ENSG00000139505,ENSG00000143933,ENSG00000166598
1	TRUE	0.034	2	118	2	0.017	1	GO:0097498	BP	8	endothelial tube lumen extension	1	ENSG00000067560,ENSG00000133121
1	TRUE	0.034	2	80	2	0.025	1	GO:0048269	CC	7	methionine adenosyltransferase complex	1	ENSG00000038274,ENSG00000168906
1	TRUE	0.034	382	113	13	0.115	0.034	GO:0005912	CC	1	adherens junction	1	ENSG00000067560,ENSG00000110321,ENSG00000110880,ENSG00000134308,ENSG00000163539,ENSG00000165527,ENSG00000166225,ENSG00000166598,ENSG00000170017,ENSG00000173801,ENSG00000174444,ENSG00000181163,ENSG00000197756
1	TRUE	0.034	311	107	11	0.103	0.035	GO:0005925	CC	5	focal adhesion	1	ENSG00000067560,ENSG00000110880,ENSG00000134308,ENSG00000163539,ENSG00000165527,ENSG00000166598,ENSG00000170017,ENSG00000173801,ENSG00000174444,ENSG00000181163,ENSG00000197756
1	TRUE	0.0411	15	93	3	0.032	0.2	GO:0050750	MF	11	low-density lipoprotein particle receptor binding	1	ENSG00000115234,ENSG00000115365,ENSG00000166598
1	TRUE	0.0414	4	79	2	0.025	0.5	GO:0060699	BP	4	regulation of endoribonuclease activity	1	ENSG00000139644,ENSG00000181163
1	TRUE	0.0434	100	108	6	0.056	0.06	GO:0019902	MF	12	phosphatase binding	1	ENSG00000060237,ENSG00000107758,ENSG00000111276,ENSG00000128989,ENSG00000166598,ENSG00000173801
