query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00496	16	3	2	0.667	0.125	GO:0042743	BP	41	hydrogen peroxide metabolic process	1	ENSG00000136238,ENSG00000165672
1	TRUE	0.00496	13	30	3	0.1	0.231	GO:0051894	BP	16	positive regulation of focal adhesion assembly	1	ENSG00000084636,ENSG00000104332,ENSG00000136238
1	TRUE	0.016	3	49	2	0.041	0.667	GO:0033588	CC	33	Elongator holoenzyme complex	1	ENSG00000134014,ENSG00000134759
1	TRUE	0.0244	12	25	2	0.08	0.167	GO:0031641	BP	24	regulation of myelination	1	ENSG00000109917,ENSG00000153902
1	TRUE	0.029	6	60	2	0.033	0.333	GO:0046975	MF	23	histone methyltransferase activity (H3-K36 specific)	1	ENSG00000116539,ENSG00000183576
1	TRUE	0.0417	124	54	4	0.074	0.032	GO:0098542	BP	54	defense response to other organism	1	ENSG00000122643,ENSG00000123240,ENSG00000151694,ENSG00000179387
1	TRUE	0.0417	64	45	3	0.067	0.047	GO:1903844	BP	57	regulation of cellular response to transforming growth factor beta stimulus	1	ENSG00000151694,ENSG00000166147,ENSG00000183779
1	TRUE	0.0417	721	6	3	0.5	0.004	GO:0051704	BP	35	multi-organism process	1	ENSG00000084636,ENSG00000136238,ENSG00000165672
1	TRUE	0.0417	8	60	2	0.033	0.25	GO:0010452	BP	55	histone H3-K36 methylation	1	ENSG00000116539,ENSG00000183576
1	TRUE	0.0417	18	30	2	0.067	0.111	GO:0043627	BP	44	response to estrogen	1	ENSG00000104332,ENSG00000117222
1	TRUE	0.0417	36	81	3	0.037	0.083	GO:0030490	BP	10	maturation of SSU-rRNA	1	ENSG00000119616,ENSG00000124383,ENSG00000135372
1	TRUE	0.0417	373	44	6	0.136	0.016	GO:0043066	BP	29	negative regulation of apoptotic process	1	ENSG00000104332,ENSG00000109917,ENSG00000143384,ENSG00000165672,ENSG00000177082,ENSG00000181061
1	TRUE	0.0417	54	60	3	0.05	0.056	GO:0034968	BP	47	histone lysine methylation	1	ENSG00000116539,ENSG00000117222,ENSG00000183576
1	TRUE	0.0417	53	46	3	0.065	0.057	GO:0042058	BP	26	regulation of epidermal growth factor receptor signaling pathway	1	ENSG00000075785,ENSG00000116285,ENSG00000151694
1	TRUE	0.0417	8	92	2	0.022	0.25	GO:0016973	BP	51	poly(A)+ mRNA export from nucleus	1	ENSG00000100227,ENSG00000120533
1	TRUE	0.0417	9	53	2	0.038	0.222	GO:0002097	BP	14	tRNA wobble base modification	1	ENSG00000134014,ENSG00000135372
1	TRUE	0.0417	105	64	4	0.062	0.038	GO:0006399	BP	48	tRNA metabolic process	1	ENSG00000134014,ENSG00000135372,ENSG00000136628,ENSG00000137411
1	TRUE	0.0417	300	55	6	0.109	0.02	GO:0048534	BP	4	hematopoietic or lymphoid organ development	1	ENSG00000065883,ENSG00000104332,ENSG00000117222,ENSG00000151694,ENSG00000165672,ENSG00000166147
1	TRUE	0.0417	743	87	13	0.149	0.017	GO:0043067	BP	56	regulation of programmed cell death	1	ENSG00000104332,ENSG00000109917,ENSG00000113734,ENSG00000114790,ENSG00000133639,ENSG00000143384,ENSG00000151694,ENSG00000154358,ENSG00000165672,ENSG00000177082,ENSG00000179021,ENSG00000181061,ENSG00000198231
1	TRUE	0.0417	251	3	2	0.667	0.008	GO:0042060	BP	43	wound healing	1	ENSG00000076706,ENSG00000136238
1	TRUE	0.0417	17	45	2	0.044	0.118	GO:0007176	BP	37	regulation of epidermal growth factor-activated receptor activity	1	ENSG00000116285,ENSG00000151694
1	TRUE	0.0417	13	39	2	0.051	0.154	GO:0071392	BP	50	cellular response to estradiol stimulus	1	ENSG00000104332,ENSG00000183779
1	TRUE	0.0417	311	3	2	0.667	0.006	GO:0005924	CC	49	cell-substrate adherens junction	1	ENSG00000076706,ENSG00000136238
1	TRUE	0.0417	228	14	3	0.214	0.013	GO:0036477	CC	25	somatodendritic compartment	1	ENSG00000109917,ENSG00000111262,ENSG00000136238
1	TRUE	0.0417	722	17	5	0.294	0.007	GO:0044451	CC	39	nucleoplasm part	1	ENSG00000109917,ENSG00000117222,ENSG00000134014,ENSG00000151332,ENSG00000185721
1	TRUE	0.0417	992	27	8	0.296	0.008	GO:0005783	CC	13	endoplasmic reticulum	1	ENSG00000084636,ENSG00000111262,ENSG00000122643,ENSG00000132581,ENSG00000136238,ENSG00000165502,ENSG00000166147,ENSG00000170632
1	TRUE	0.0417	585	17	5	0.294	0.009	GO:0005730	CC	5	nucleolus	1	ENSG00000109917,ENSG00000117222,ENSG00000124383,ENSG00000134014,ENSG00000151332
1	TRUE	0.0417	561	13	4	0.308	0.007	GO:1990904	CC	19	ribonucleoprotein complex	1	ENSG00000124383,ENSG00000136238,ENSG00000165502,ENSG00000185721
