query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0269	283	74	8	0.108	0.028	GO:0042493	BP	39	response to drug	1	ENSG00000075223,ENSG00000097007,ENSG00000128272,ENSG00000130522,ENSG00000130821,ENSG00000142168,ENSG00000167972,ENSG00000243279
1	TRUE	0.0269	428	14	4	0.286	0.009	GO:0045859	BP	46	regulation of protein kinase activity	1	ENSG00000065559,ENSG00000142168,ENSG00000166886,ENSG00000168734
1	TRUE	0.0269	43	93	4	0.043	0.093	GO:0007272	BP	43	ensheathment of neurons	1	ENSG00000068903,ENSG00000115211,ENSG00000142168,ENSG00000163531
1	TRUE	0.0269	167	2	2	1	0.012	GO:0043087	BP	13	regulation of GTPase activity	1	ENSG00000138698,ENSG00000142168
1	TRUE	0.0269	422	71	10	0.141	0.024	GO:0007017	BP	17	microtubule-based process	1	ENSG00000072864,ENSG00000097007,ENSG00000104450,ENSG00000114841,ENSG00000116871,ENSG00000117533,ENSG00000125971,ENSG00000138002,ENSG00000142168,ENSG00000147144
1	TRUE	0.0269	175	3	2	0.667	0.011	GO:1903706	BP	33	regulation of hemopoiesis	1	ENSG00000100124,ENSG00000142168
1	TRUE	0.0269	55	3	2	0.667	0.036	GO:0002262	BP	6	myeloid cell homeostasis	1	ENSG00000100124,ENSG00000142168
1	TRUE	0.0269	25	92	3	0.033	0.12	GO:0000291	BP	1	nuclear-transcribed mRNA catabolic process, exonucleolytic	1	ENSG00000038358,ENSG00000130520,ENSG00000141698
1	TRUE	0.0269	22	93	3	0.032	0.136	GO:0071867	BP	15	response to monoamine	1	ENSG00000068903,ENSG00000097007,ENSG00000128272
1	TRUE	0.0269	96	22	3	0.136	0.031	GO:0008544	BP	31	epidermis development	1	ENSG00000072210,ENSG00000142168,ENSG00000189337
1	TRUE	0.0269	13	41	2	0.049	0.154	GO:0036499	BP	7	PERK-mediated unfolded protein response	1	ENSG00000128272,ENSG00000176720
1	TRUE	0.0269	24	93	4	0.043	0.167	GO:0007422	BP	11	peripheral nervous system development	1	ENSG00000068903,ENSG00000072210,ENSG00000142168,ENSG00000163531
