query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0225	2	65	2	0.031	1	GO:0001705	BP	3	ectoderm formation	1	ENSG00000155760,ENSG00000273706
1	TRUE	0.0287	6	35	2	0.057	0.333	GO:0021515	BP	17	cell differentiation in spinal cord	1	ENSG00000139915,ENSG00000273706
1	TRUE	0.0287	110	65	5	0.077	0.045	GO:0007517	BP	4	muscle organ development	1	ENSG00000105971,ENSG00000109063,ENSG00000126778,ENSG00000137809,ENSG00000155760
1	TRUE	0.0308	8	58	2	0.034	0.25	GO:0090190	BP	1	positive regulation of branching involved in ureteric bud morphogenesis	1	ENSG00000126778,ENSG00000273706
1	TRUE	0.0308	9	58	2	0.034	0.222	GO:0090189	BP	6	regulation of branching involved in ureteric bud morphogenesis	1	ENSG00000126778,ENSG00000273706
1	TRUE	0.0308	22	22	2	0.091	0.091	GO:2000177	BP	16	regulation of neural precursor cell proliferation	1	ENSG00000171241,ENSG00000273706
1	TRUE	0.0308	381	17	4	0.235	0.01	GO:0007186	BP	8	G-protein coupled receptor signaling pathway	1	ENSG00000076928,ENSG00000105971,ENSG00000169682,ENSG00000180758
1	TRUE	0.0318	11	58	2	0.034	0.182	GO:0048701	BP	18	embryonic cranial skeleton morphogenesis	1	ENSG00000126778,ENSG00000273706
1	TRUE	0.0364	48	18	2	0.111	0.042	GO:0055002	BP	10	striated muscle cell development	1	ENSG00000105971,ENSG00000109063
1	TRUE	0.0364	13	58	2	0.034	0.154	GO:0040019	BP	20	positive regulation of embryonic development	1	ENSG00000126778,ENSG00000273706
1	TRUE	0.0415	688	7	3	0.429	0.004	GO:0022008	BP	9	neurogenesis	1	ENSG00000101115,ENSG00000180758,ENSG00000273706
1	TRUE	0.0415	82	18	2	0.111	0.024	GO:0043292	CC	12	contractile fiber	1	ENSG00000109063,ENSG00000133028
1	TRUE	0.0465	53	35	2	0.057	0.038	GO:0021953	BP	19	central nervous system neuron differentiation	1	ENSG00000139915,ENSG00000273706
1	TRUE	0.0472	184	65	4	0.062	0.022	GO:0048598	BP	11	embryonic morphogenesis	1	ENSG00000109063,ENSG00000126778,ENSG00000155760,ENSG00000273706
