query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00108	820	246	39	0.159	0.048	GO:0048468	BP	38	cell development	1	ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000080815,ENSG00000081479,ENSG00000092421,ENSG00000092529,ENSG00000100146,ENSG00000100697,ENSG00000104067,ENSG00000105695,ENSG00000109458,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000124920,ENSG00000126803,ENSG00000135905,ENSG00000136861,ENSG00000137710,ENSG00000140262,ENSG00000140575,ENSG00000146122,ENSG00000147459,ENSG00000149557,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000154642,ENSG00000167191,ENSG00000169398,ENSG00000184014,ENSG00000184144,ENSG00000187164,ENSG00000187764,ENSG00000189058,ENSG00000198121,ENSG00000244274,ENSG00000277363
1	TRUE	0.00108	452	205	25	0.122	0.055	GO:0031175	BP	8	neuron projection development	1	ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000080815,ENSG00000081479,ENSG00000092421,ENSG00000100697,ENSG00000105695,ENSG00000109458,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000135905,ENSG00000140575,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000154642,ENSG00000169398,ENSG00000184014,ENSG00000187164,ENSG00000189058,ENSG00000198121,ENSG00000244274,ENSG00000277363
1	TRUE	0.00108	688	211	32	0.152	0.047	GO:0022008	BP	1	neurogenesis	1	ENSG00000065361,ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000080815,ENSG00000081479,ENSG00000092421,ENSG00000100146,ENSG00000100697,ENSG00000105695,ENSG00000109458,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000124920,ENSG00000135905,ENSG00000140262,ENSG00000140575,ENSG00000146122,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000154642,ENSG00000167191,ENSG00000169398,ENSG00000184014,ENSG00000184144,ENSG00000187164,ENSG00000189058,ENSG00000198121,ENSG00000244274,ENSG00000277363
1	TRUE	0.00115	39	8	3	0.375	0.077	GO:0021762	BP	50	substantia nigra development	1	ENSG00000123560,ENSG00000173786,ENSG00000197971
1	TRUE	0.00115	42	8	3	0.375	0.071	GO:0048857	BP	27	neural nucleus development	1	ENSG00000123560,ENSG00000173786,ENSG00000197971
1	TRUE	0.00115	10	116	4	0.034	0.4	GO:0043209	CC	39	myelin sheath	1	ENSG00000105695,ENSG00000176658,ENSG00000184144,ENSG00000197971
1	TRUE	0.00115	183	197	14	0.071	0.077	GO:0030424	CC	26	axon	1	ENSG00000080815,ENSG00000081479,ENSG00000092421,ENSG00000135525,ENSG00000136541,ENSG00000140575,ENSG00000151150,ENSG00000152377,ENSG00000163697,ENSG00000176658,ENSG00000184144,ENSG00000187164,ENSG00000197971,ENSG00000277363
1	TRUE	0.00115	19	262	6	0.023	0.316	GO:0045178	CC	6	basal part of cell	1	ENSG00000019144,ENSG00000091513,ENSG00000112851,ENSG00000151150,ENSG00000151914,ENSG00000158352
1	TRUE	0.00132	12	262	5	0.019	0.417	GO:0009925	CC	49	basal plasma membrane	1	ENSG00000091513,ENSG00000112851,ENSG00000151150,ENSG00000151914,ENSG00000158352
1	TRUE	0.00134	3	15	2	0.133	0.667	GO:0033269	CC	48	internode region of axon	1	ENSG00000136541,ENSG00000197971
1	TRUE	0.00146	542	252	29	0.115	0.054	GO:0032989	BP	23	cellular component morphogenesis	1	ENSG00000019144,ENSG00000028528,ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000081479,ENSG00000092421,ENSG00000092529,ENSG00000100697,ENSG00000105695,ENSG00000109458,ENSG00000116574,ENSG00000118515,ENSG00000135905,ENSG00000136541,ENSG00000136960,ENSG00000137710,ENSG00000140575,ENSG00000145555,ENSG00000147459,ENSG00000149557,ENSG00000151150,ENSG00000153707,ENSG00000157827,ENSG00000169398,ENSG00000187164,ENSG00000187764,ENSG00000198121,ENSG00000277363
1	TRUE	0.00233	468	333	31	0.093	0.066	GO:0008092	MF	67	cytoskeletal protein binding	1	ENSG00000001631,ENSG00000008294,ENSG00000011426,ENSG00000064042,ENSG00000092529,ENSG00000104419,ENSG00000115355,ENSG00000122367,ENSG00000126878,ENSG00000127946,ENSG00000130429,ENSG00000136861,ENSG00000137710,ENSG00000137941,ENSG00000145555,ENSG00000148180,ENSG00000150764,ENSG00000151150,ENSG00000151914,ENSG00000154493,ENSG00000158195,ENSG00000158352,ENSG00000160993,ENSG00000165410,ENSG00000168314,ENSG00000169398,ENSG00000173039,ENSG00000176658,ENSG00000187164,ENSG00000262246,ENSG00000264364
1	TRUE	0.00324	43	2	2	1	0.047	GO:0008366	BP	47	axon ensheathment	1	ENSG00000123560,ENSG00000197971
1	TRUE	0.0116	121	298	12	0.04	0.099	GO:0005938	CC	20	cell cortex	1	ENSG00000011426,ENSG00000019144,ENSG00000066468,ENSG00000075539,ENSG00000080815,ENSG00000108387,ENSG00000136541,ENSG00000137710,ENSG00000143951,ENSG00000148180,ENSG00000158352,ENSG00000168314
