query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000341	151	56	8	0.143	0.053	GO:1904062	BP	30	regulation of cation transmembrane transport	1	ENSG00000069424,ENSG00000092051,ENSG00000120049,ENSG00000128245,ENSG00000145362,ENSG00000165238,ENSG00000166257,ENSG00000179915
1	TRUE	0.000341	35	47	5	0.106	0.143	GO:0060359	BP	65	response to ammonium ion	1	ENSG00000078369,ENSG00000102882,ENSG00000133019,ENSG00000135824,ENSG00000183044
1	TRUE	0.000341	208	56	9	0.161	0.043	GO:0015672	BP	20	monovalent inorganic cation transport	1	ENSG00000047249,ENSG00000069424,ENSG00000118160,ENSG00000120049,ENSG00000128245,ENSG00000144285,ENSG00000145362,ENSG00000165238,ENSG00000166257
1	TRUE	0.000341	59	4	3	0.75	0.051	GO:0099106	MF	26	ion channel regulator activity	1	ENSG00000069424,ENSG00000120049,ENSG00000179915
1	TRUE	0.000495	125	56	7	0.125	0.056	GO:0032412	BP	76	regulation of ion transmembrane transporter activity	1	ENSG00000092051,ENSG00000120049,ENSG00000128245,ENSG00000145362,ENSG00000165238,ENSG00000166257,ENSG00000179915
1	TRUE	0.000599	160	3	3	1	0.019	GO:0005509	MF	92	calcium ion binding	1	ENSG00000116983,ENSG00000120049,ENSG00000179915
1	TRUE	0.00115	2	34	2	0.059	1	GO:0097118	BP	68	neuroligin clustering involved in postsynaptic membrane assembly	1	ENSG00000110076,ENSG00000179915
1	TRUE	0.0015	12	47	3	0.064	0.25	GO:0007213	BP	99	G-protein coupled acetylcholine receptor signaling pathway	1	ENSG00000078369,ENSG00000133019,ENSG00000135824
1	TRUE	0.00217	37	56	4	0.071	0.108	GO:0086010	BP	94	membrane depolarization during action potential	1	ENSG00000128245,ENSG00000144285,ENSG00000145362,ENSG00000166257
1	TRUE	0.00217	3	34	2	0.059	0.667	GO:0097116	BP	23	gephyrin clustering involved in postsynaptic density assembly	1	ENSG00000110076,ENSG00000179915
1	TRUE	0.00324	121	20	4	0.2	0.033	GO:0070372	BP	74	regulation of ERK1 and ERK2 cascade	1	ENSG00000102882,ENSG00000103154,ENSG00000165238,ENSG00000179915
1	TRUE	0.00324	118	39	5	0.128	0.042	GO:0097485	BP	15	neuron projection guidance	1	ENSG00000102882,ENSG00000155980,ENSG00000169855,ENSG00000173406,ENSG00000179915
1	TRUE	0.00324	118	39	5	0.128	0.042	GO:0007411	BP	14	axon guidance	1	ENSG00000102882,ENSG00000155980,ENSG00000169855,ENSG00000173406,ENSG00000179915
1	TRUE	0.00324	4	34	2	0.059	0.5	GO:0097109	MF	59	neuroligin family protein binding	1	ENSG00000110076,ENSG00000179915
1	TRUE	0.00336	5	34	2	0.059	0.4	GO:0042297	BP	80	vocal learning	1	ENSG00000110076,ENSG00000179915
1	TRUE	0.00336	5	34	2	0.059	0.4	GO:0097119	BP	41	postsynaptic density protein 95 clustering	1	ENSG00000110076,ENSG00000179915
1	TRUE	0.00336	4	45	2	0.044	0.5	GO:0010739	BP	47	positive regulation of protein kinase A signaling	1	ENSG00000179915,ENSG00000240972
1	TRUE	0.00404	71	3	2	0.667	0.028	GO:0021700	BP	97	developmental maturation	1	ENSG00000120049,ENSG00000179915
1	TRUE	0.00415	73	3	2	0.667	0.027	GO:0051592	BP	4	response to calcium ion	1	ENSG00000120049,ENSG00000179915
1	TRUE	0.00492	5	51	2	0.039	0.4	GO:0031931	CC	35	TORC1 complex	1	ENSG00000155506,ENSG00000198793
1	TRUE	0.00492	58	4	2	0.5	0.034	GO:0008076	CC	78	voltage-gated potassium channel complex	1	ENSG00000069424,ENSG00000120049
1	TRUE	0.00492	60	4	2	0.5	0.033	GO:0034705	CC	75	potassium channel complex	1	ENSG00000069424,ENSG00000120049
1	TRUE	0.005	117	54	5	0.093	0.043	GO:0060047	BP	46	heart contraction	1	ENSG00000118160,ENSG00000120049,ENSG00000144285,ENSG00000145362,ENSG00000166257
1	TRUE	0.00574	80	45	4	0.089	0.05	GO:0070374	BP	87	positive regulation of ERK1 and ERK2 cascade	1	ENSG00000102882,ENSG00000103154,ENSG00000179915,ENSG00000240972
1	TRUE	0.00778	7	52	2	0.038	0.286	GO:0086018	BP	11	SA node cell to atrial cardiac muscle cell signaling	1	ENSG00000145362,ENSG00000166257
1	TRUE	0.00778	7	52	2	0.038	0.286	GO:0086015	BP	25	SA node cell action potential	1	ENSG00000145362,ENSG00000166257
1	TRUE	0.00778	468	34	7	0.206	0.015	GO:0038023	MF	32	signaling receptor activity	1	ENSG00000110076,ENSG00000133019,ENSG00000169855,ENSG00000170382,ENSG00000174136,ENSG00000179915,ENSG00000198785
1	TRUE	0.0078	74	56	4	0.071	0.054	GO:0044325	MF	105	ion channel binding	1	ENSG00000120049,ENSG00000128245,ENSG00000145362,ENSG00000166257
1	TRUE	0.00787	11	34	2	0.059	0.182	GO:0007158	BP	22	neuron cell-cell adhesion	1	ENSG00000110076,ENSG00000179915
1	TRUE	0.00902	22	19	2	0.105	0.091	GO:0071869	BP	17	response to catecholamine	1	ENSG00000078369,ENSG00000102882
1	TRUE	0.00928	111	4	2	0.5	0.018	GO:0033267	CC	44	axon part	1	ENSG00000069424,ENSG00000179915
1	TRUE	0.0093	37	54	3	0.056	0.081	GO:0086002	BP	1	cardiac muscle cell action potential involved in contraction	1	ENSG00000144285,ENSG00000145362,ENSG00000166257
1	TRUE	0.0101	452	19	5	0.263	0.011	GO:0060341	BP	34	regulation of cellular localization	1	ENSG00000069424,ENSG00000092051,ENSG00000102882,ENSG00000103154,ENSG00000179915
1	TRUE	0.0101	29	16	2	0.125	0.069	GO:1900449	BP	3	regulation of glutamate receptor signaling pathway	1	ENSG00000103154,ENSG00000179915
1	TRUE	0.0118	20	27	2	0.074	0.1	GO:0042165	MF	29	neurotransmitter binding	1	ENSG00000133019,ENSG00000198785
1	TRUE	0.0125	348	2	2	1	0.006	GO:0007417	BP	98	central nervous system development	1	ENSG00000116983,ENSG00000179915
