query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0194	108	8	3	0.375	0.028	GO:0031300	CC	49	intrinsic component of organelle membrane	1	ENSG00000115657,ENSG00000117298,ENSG00000133424
1	TRUE	0.0221	3	36	2	0.056	0.667	GO:2000466	BP	20	negative regulation of glycogen (starch) synthase activity	1	ENSG00000105723,ENSG00000132376
1	TRUE	0.0245	6	36	2	0.056	0.333	GO:0045719	BP	40	negative regulation of glycogen biosynthetic process	1	ENSG00000105723,ENSG00000132376
1	TRUE	0.0245	6	36	2	0.056	0.333	GO:0070874	BP	18	negative regulation of glycogen metabolic process	1	ENSG00000105723,ENSG00000132376
1	TRUE	0.0274	9	36	2	0.056	0.222	GO:0010829	BP	24	negative regulation of glucose transmembrane transport	1	ENSG00000105723,ENSG00000132376
1	TRUE	0.029	142	32	4	0.125	0.028	GO:0034599	BP	27	cellular response to oxidative stress	1	ENSG00000124177,ENSG00000133612,ENSG00000143799,ENSG00000184304
1	TRUE	0.0294	28	18	2	0.111	0.071	GO:0003073	BP	2	regulation of systemic arterial blood pressure	1	ENSG00000105723,ENSG00000117298
1	TRUE	0.0294	195	43	5	0.116	0.026	GO:0018209	BP	38	peptidyl-serine modification	1	ENSG00000067992,ENSG00000126934,ENSG00000132376,ENSG00000143799,ENSG00000184304
1	TRUE	0.0294	737	41	9	0.22	0.012	GO:1901565	BP	3	organonitrogen compound catabolic process	1	ENSG00000002746,ENSG00000103316,ENSG00000103876,ENSG00000105723,ENSG00000117298,ENSG00000133612,ENSG00000166855,ENSG00000177239,ENSG00000213614
1	TRUE	0.0306	102	24	3	0.125	0.029	GO:1901136	BP	48	carbohydrate derivative catabolic process	1	ENSG00000105723,ENSG00000177239,ENSG00000213614
1	TRUE	0.0306	217	41	5	0.122	0.023	GO:0044282	BP	25	small molecule catabolic process	1	ENSG00000103316,ENSG00000103876,ENSG00000105723,ENSG00000132376,ENSG00000213614
1	TRUE	0.0306	455	43	7	0.163	0.015	GO:1901701	BP	19	cellular response to oxygen-containing compound	1	ENSG00000064932,ENSG00000067992,ENSG00000105723,ENSG00000132376,ENSG00000133612,ENSG00000143799,ENSG00000184304
1	TRUE	0.0306	865	39	9	0.231	0.01	GO:0051254	BP	47	positive regulation of RNA metabolic process	1	ENSG00000119669,ENSG00000124177,ENSG00000124784,ENSG00000126934,ENSG00000132376,ENSG00000143799,ENSG00000144712,ENSG00000171148,ENSG00000184304
1	TRUE	0.0306	173	32	4	0.125	0.023	GO:0016757	MF	6	transferase activity, transferring glycosyl groups	1	ENSG00000100994,ENSG00000133424,ENSG00000143799,ENSG00000213614
1	TRUE	0.0306	521	8	3	0.375	0.006	GO:0046872	MF	41	metal ion binding	1	ENSG00000117298,ENSG00000133424,ENSG00000177239
1	TRUE	0.0313	95	31	3	0.097	0.032	GO:0006665	BP	10	sphingolipid metabolic process	1	ENSG00000133424,ENSG00000184304,ENSG00000213614
1	TRUE	0.0313	20	36	2	0.056	0.1	GO:0046627	BP	45	negative regulation of insulin receptor signaling pathway	1	ENSG00000105723,ENSG00000132376
1	TRUE	0.0326	195	18	3	0.167	0.015	GO:0034976	BP	43	response to endoplasmic reticulum stress	1	ENSG00000070669,ENSG00000105723,ENSG00000177239
1	TRUE	0.0332	276	25	4	0.16	0.014	GO:0043161	BP	46	proteasome-mediated ubiquitin-dependent protein catabolic process	1	ENSG00000002746,ENSG00000105723,ENSG00000133612,ENSG00000177239
1	TRUE	0.0346	26	32	2	0.062	0.077	GO:0010611	BP	8	regulation of cardiac muscle hypertrophy	1	ENSG00000105723,ENSG00000143799
1	TRUE	0.0346	810	37	8	0.216	0.01	GO:1903508	BP	29	positive regulation of nucleic acid-templated transcription	1	ENSG00000119669,ENSG00000124177,ENSG00000126934,ENSG00000132376,ENSG00000143799,ENSG00000144712,ENSG00000171148,ENSG00000184304
1	TRUE	0.0346	839	7	3	0.429	0.004	GO:0005794	CC	11	Golgi apparatus	1	ENSG00000115657,ENSG00000133424,ENSG00000177239
1	TRUE	0.0348	149	44	4	0.091	0.027	GO:0048037	MF	37	cofactor binding	1	ENSG00000100994,ENSG00000103316,ENSG00000115657,ENSG00000149809
1	TRUE	0.0367	39	24	2	0.083	0.051	GO:0006687	BP	12	glycosphingolipid metabolic process	1	ENSG00000133424,ENSG00000213614
1	TRUE	0.0367	630	22	5	0.227	0.008	GO:0043603	BP	17	cellular amide metabolic process	1	ENSG00000070669,ENSG00000088038,ENSG00000105723,ENSG00000117298,ENSG00000172053
1	TRUE	0.0367	233	7	2	0.286	0.009	GO:0009100	BP	21	glycoprotein metabolic process	1	ENSG00000133424,ENSG00000177239
1	TRUE	0.0367	62	18	2	0.111	0.032	GO:0006626	BP	28	protein targeting to mitochondrion	1	ENSG00000105723,ENSG00000154174
1	TRUE	0.0367	884	30	7	0.233	0.008	GO:0009057	BP	7	macromolecule catabolic process	1	ENSG00000002746,ENSG00000088038,ENSG00000100994,ENSG00000105723,ENSG00000133612,ENSG00000177239,ENSG00000213614
1	TRUE	0.0367	212	36	4	0.111	0.019	GO:0044057	BP	33	regulation of system process	1	ENSG00000105723,ENSG00000117298,ENSG00000132376,ENSG00000143799
1	TRUE	0.0367	21	44	2	0.045	0.095	GO:0050661	MF	50	NADP binding	1	ENSG00000103316,ENSG00000149809
1	TRUE	0.0367	111	32	3	0.094	0.027	GO:0016874	MF	5	ligase activity	1	ENSG00000070669,ENSG00000143799,ENSG00000172053
1	TRUE	0.0367	74	47	3	0.064	0.041	GO:0140101	MF	39	catalytic activity, acting on a tRNA	1	ENSG00000148688,ENSG00000169718,ENSG00000172053
1	TRUE	0.0388	34	33	2	0.061	0.059	GO:0009066	BP	22	aspartate family amino acid metabolic process	1	ENSG00000070669,ENSG00000103316
1	TRUE	0.0389	49	24	2	0.083	0.041	GO:0004553	MF	36	hydrolase activity, hydrolyzing O-glycosyl compounds	1	ENSG00000177239,ENSG00000213614
1	TRUE	0.039	89	16	2	0.125	0.022	GO:0005741	CC	30	mitochondrial outer membrane	1	ENSG00000115657,ENSG00000154174
1	TRUE	0.0413	748	36	7	0.194	0.009	GO:0045934	BP	15	negative regulation of nucleobase-containing compound metabolic process	1	ENSG00000064932,ENSG00000103316,ENSG00000105723,ENSG00000119669,ENSG00000132376,ENSG00000143799,ENSG00000172053
1	TRUE	0.0427	85	18	2	0.111	0.024	GO:0030968	BP	16	endoplasmic reticulum unfolded protein response	1	ENSG00000070669,ENSG00000105723
1	TRUE	0.0427	493	11	3	0.273	0.006	GO:0005768	CC	34	endosome	1	ENSG00000115657,ENSG00000117298,ENSG00000126934
1	TRUE	0.0427	271	52	5	0.096	0.018	GO:0042623	MF	4	ATPase activity, coupled	1	ENSG00000101452,ENSG00000115657,ENSG00000124177,ENSG00000136271,ENSG00000166855
1	TRUE	0.0451	44	33	2	0.061	0.045	GO:0042562	MF	23	hormone binding	1	ENSG00000103316,ENSG00000117298
1	TRUE	0.0461	338	7	2	0.286	0.006	GO:0000139	CC	26	Golgi membrane	1	ENSG00000133424,ENSG00000177239
1	TRUE	0.0495	37	43	2	0.047	0.054	GO:1900371	BP	13	regulation of purine nucleotide biosynthetic process	1	ENSG00000067992,ENSG00000143799
1	TRUE	0.0495	305	51	5	0.098	0.016	GO:1903827	BP	31	regulation of cellular protein localization	1	ENSG00000058453,ENSG00000104660,ENSG00000105723,ENSG00000132376,ENSG00000143799
1	TRUE	0.0495	34	47	2	0.043	0.059	GO:0016627	MF	32	oxidoreductase activity, acting on the CH-CH group of donors	1	ENSG00000149809,ENSG00000169718
