query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00572	306	6	4	0.667	0.013	GO:0043068	BP	17	positive regulation of programmed cell death	1	ENSG00000088808,ENSG00000132382,ENSG00000169031,ENSG00000204628
1	TRUE	0.00572	39	14	3	0.214	0.077	GO:0098876	BP	6	vesicle-mediated transport to the plasma membrane	1	ENSG00000125124,ENSG00000125633,ENSG00000204628
1	TRUE	0.00572	29	14	3	0.214	0.103	GO:0006893	BP	38	Golgi to plasma membrane transport	1	ENSG00000125124,ENSG00000125633,ENSG00000204628
1	TRUE	0.00572	303	6	4	0.667	0.013	GO:0043065	BP	45	positive regulation of apoptotic process	1	ENSG00000088808,ENSG00000132382,ENSG00000169031,ENSG00000204628
1	TRUE	0.00883	19	5	2	0.4	0.105	GO:0043001	BP	23	Golgi to plasma membrane protein transport	1	ENSG00000125124,ENSG00000204628
1	TRUE	0.0107	147	6	3	0.5	0.02	GO:0072331	BP	21	signal transduction by p53 class mediator	1	ENSG00000088808,ENSG00000132382,ENSG00000156983
1	TRUE	0.0122	36	5	2	0.4	0.056	GO:0006919	BP	36	activation of cysteine-type endopeptidase activity involved in apoptotic process	1	ENSG00000169031,ENSG00000204628
1	TRUE	0.0122	7	25	2	0.08	0.286	GO:0015556	MF	2	C4-dicarboxylate transmembrane transporter activity	1	ENSG00000115840,ENSG00000141485
1	TRUE	0.0127	345	9	4	0.444	0.012	GO:0050839	MF	4	cell adhesion molecule binding	1	ENSG00000169031,ENSG00000169710,ENSG00000180104,ENSG00000204628
1	TRUE	0.0134	46	25	3	0.12	0.065	GO:1905039	BP	41	carboxylic acid transmembrane transport	1	ENSG00000115840,ENSG00000141485,ENSG00000157637
1	TRUE	0.0174	87	3	2	0.667	0.023	GO:1901796	BP	44	regulation of signal transduction by p53 class mediator	1	ENSG00000088808,ENSG00000156983
1	TRUE	0.0186	26	10	2	0.2	0.077	GO:1901028	BP	24	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	1	ENSG00000088808,ENSG00000156968
1	TRUE	0.0186	382	29	6	0.207	0.016	GO:0005912	CC	19	adherens junction	1	ENSG00000134982,ENSG00000136205,ENSG00000152661,ENSG00000162407,ENSG00000170889,ENSG00000182985
1	TRUE	0.0217	69	5	2	0.4	0.029	GO:1905477	BP	11	positive regulation of protein localization to membrane	1	ENSG00000088808,ENSG00000204628
1	TRUE	0.0217	73	5	2	0.4	0.027	GO:0061134	MF	7	peptidase regulator activity	1	ENSG00000169031,ENSG00000204628
1	TRUE	0.0225	228	39	5	0.128	0.022	GO:0030335	BP	49	positive regulation of cell migration	1	ENSG00000095203,ENSG00000111913,ENSG00000134982,ENSG00000162407,ENSG00000204628
1	TRUE	0.0225	17	32	2	0.062	0.118	GO:2000114	BP	3	regulation of establishment of cell polarity	1	ENSG00000111913,ENSG00000204628
1	TRUE	0.0225	104	5	2	0.4	0.019	GO:0045926	BP	16	negative regulation of growth	1	ENSG00000125124,ENSG00000204628
1	TRUE	0.0241	143	4	2	0.5	0.014	GO:0007600	BP	31	sensory perception	1	ENSG00000125124,ENSG00000169031
1	TRUE	0.0261	50	12	2	0.167	0.04	GO:0099023	CC	20	tethering complex	1	ENSG00000168434,ENSG00000180104
1	TRUE	0.0303	136	6	2	0.333	0.015	GO:0031667	BP	43	response to nutrient levels	1	ENSG00000125124,ENSG00000132382
1	TRUE	0.0309	181	5	2	0.4	0.011	GO:0004857	MF	46	enzyme inhibitor activity	1	ENSG00000169031,ENSG00000204628
1	TRUE	0.0319	98	9	2	0.222	0.02	GO:0001649	BP	22	osteoblast differentiation	1	ENSG00000132382,ENSG00000169710
1	TRUE	0.032	99	9	2	0.222	0.02	GO:0046890	BP	18	regulation of lipid biosynthetic process	1	ENSG00000169710,ENSG00000204628
1	TRUE	0.0326	171	43	4	0.093	0.023	GO:0034330	BP	8	cell junction organization	1	ENSG00000134982,ENSG00000149930,ENSG00000152661,ENSG00000182985
1	TRUE	0.0377	763	17	5	0.294	0.007	GO:0048585	BP	15	negative regulation of response to stimulus	1	ENSG00000000003,ENSG00000125124,ENSG00000134982,ENSG00000156968,ENSG00000204628
1	TRUE	0.039	698	6	3	0.5	0.004	GO:0051726	BP	28	regulation of cell cycle	1	ENSG00000088808,ENSG00000132382,ENSG00000204628
1	TRUE	0.039	580	22	5	0.227	0.009	GO:0033365	BP	12	protein localization to organelle	1	ENSG00000088808,ENSG00000125124,ENSG00000134982,ENSG00000168434,ENSG00000170889
1	TRUE	0.0401	41	32	2	0.062	0.049	GO:0098862	CC	33	cluster of actin-based cell projections	1	ENSG00000092841,ENSG00000111913
1	TRUE	0.0401	48	25	2	0.08	0.042	GO:0015238	MF	40	drug transmembrane transporter activity	1	ENSG00000115840,ENSG00000141485
1	TRUE	0.0405	59	22	2	0.091	0.034	GO:0015935	CC	51	small ribosomal subunit	1	ENSG00000170889,ENSG00000204628
1	TRUE	0.0405	138	9	2	0.222	0.014	GO:0016747	MF	29	transferase activity, transferring acyl groups other than amino-acyl groups	1	ENSG00000156983,ENSG00000169710
1	TRUE	0.0423	391	22	4	0.182	0.01	GO:0005198	MF	25	structural molecule activity	1	ENSG00000092841,ENSG00000169031,ENSG00000170889,ENSG00000204628
1	TRUE	0.0427	55	25	2	0.08	0.036	GO:0015893	BP	1	drug transport	1	ENSG00000115840,ENSG00000141485
1	TRUE	0.0436	371	4	2	0.5	0.005	GO:0051093	BP	53	negative regulation of developmental process	1	ENSG00000125124,ENSG00000169031
1	TRUE	0.0439	50	30	2	0.067	0.04	GO:0043244	BP	26	regulation of protein complex disassembly	1	ENSG00000119392,ENSG00000134982
1	TRUE	0.0445	92	16	2	0.125	0.022	GO:0030178	BP	30	negative regulation of Wnt signaling pathway	1	ENSG00000134982,ENSG00000204628
1	TRUE	0.0457	143	10	2	0.2	0.014	GO:0051188	BP	39	cofactor biosynthetic process	1	ENSG00000156968,ENSG00000169710
1	TRUE	0.0459	64	23	2	0.087	0.031	GO:0070252	BP	13	actin-mediated cell contraction	1	ENSG00000092841,ENSG00000152661
1	TRUE	0.0473	165	9	2	0.222	0.012	GO:0006066	BP	5	alcohol metabolic process	1	ENSG00000149527,ENSG00000169710
1	TRUE	0.0473	41	38	2	0.053	0.049	GO:0015370	MF	14	solute:sodium symporter activity	1	ENSG00000141485,ENSG00000188687
1	TRUE	0.0491	53	32	2	0.062	0.038	GO:0007605	BP	48	sensory perception of sound	1	ENSG00000111913,ENSG00000169031
