query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0161	246	5	2	0.4	0.008	GO:0001933	BP	2	negative regulation of protein phosphorylation	1	ENSG00000144771,ENSG00000166923
1	TRUE	0.0161	155	35	4	0.114	0.026	GO:0060070	BP	17	canonical Wnt signaling pathway	1	ENSG00000104517,ENSG00000166923,ENSG00000172819,ENSG00000198561
1	TRUE	0.0161	592	34	7	0.206	0.012	GO:0006396	BP	20	RNA processing	1	ENSG00000111196,ENSG00000112081,ENSG00000116350,ENSG00000139168,ENSG00000186666,ENSG00000188846,ENSG00000250305
1	TRUE	0.0161	117	5	2	0.4	0.017	GO:0019887	MF	6	protein kinase regulator activity	1	ENSG00000144771,ENSG00000166923
1	TRUE	0.017	74	34	3	0.088	0.041	GO:0031124	BP	14	mRNA 3'-end processing	1	ENSG00000111196,ENSG00000112081,ENSG00000116350
1	TRUE	0.0184	653	37	7	0.189	0.011	GO:0006886	BP	23	intracellular protein transport	1	ENSG00000100347,ENSG00000104517,ENSG00000111196,ENSG00000112081,ENSG00000116350,ENSG00000182606,ENSG00000188846
1	TRUE	0.0192	33	24	2	0.083	0.061	GO:0008173	MF	28	RNA methyltransferase activity	1	ENSG00000186666,ENSG00000250305
1	TRUE	0.0204	92	34	3	0.088	0.033	GO:0006406	BP	3	mRNA export from nucleus	1	ENSG00000111196,ENSG00000112081,ENSG00000116350
1	TRUE	0.0204	92	34	3	0.088	0.033	GO:0071427	BP	18	mRNA-containing ribonucleoprotein complex export from nucleus	1	ENSG00000111196,ENSG00000112081,ENSG00000116350
1	TRUE	0.0211	21	40	2	0.05	0.095	GO:0042407	BP	12	cristae formation	1	ENSG00000100347,ENSG00000152234
1	TRUE	0.0234	540	5	2	0.4	0.004	GO:0051338	BP	26	regulation of transferase activity	1	ENSG00000144771,ENSG00000166923
1	TRUE	0.0258	763	23	5	0.217	0.007	GO:0048585	BP	4	negative regulation of response to stimulus	1	ENSG00000104517,ENSG00000144771,ENSG00000166923,ENSG00000186666,ENSG00000198561
1	TRUE	0.0264	620	5	2	0.4	0.003	GO:0009968	BP	19	negative regulation of signal transduction	1	ENSG00000144771,ENSG00000166923
1	TRUE	0.0264	649	5	2	0.4	0.003	GO:0023057	BP	1	negative regulation of signaling	1	ENSG00000144771,ENSG00000166923
1	TRUE	0.0305	77	24	2	0.083	0.026	GO:0009451	BP	16	RNA modification	1	ENSG00000186666,ENSG00000250305
1	TRUE	0.0306	89	21	2	0.095	0.022	GO:0005741	CC	24	mitochondrial outer membrane	1	ENSG00000100347,ENSG00000103018
1	TRUE	0.0318	231	11	2	0.182	0.009	GO:0051052	BP	10	regulation of DNA metabolic process	1	ENSG00000104517,ENSG00000166923
1	TRUE	0.033	179	13	2	0.154	0.011	GO:0007507	BP	11	heart development	1	ENSG00000138193,ENSG00000166923
1	TRUE	0.0416	55	41	2	0.049	0.036	GO:0004620	MF	27	phospholipase activity	1	ENSG00000129219,ENSG00000138193
1	TRUE	0.043	57	41	2	0.049	0.035	GO:0008081	MF	22	phosphoric diester hydrolase activity	1	ENSG00000129219,ENSG00000138193
1	TRUE	0.0479	98	34	3	0.088	0.031	KEGG:03040	keg	13	Spliceosome	1	ENSG00000111196,ENSG00000112081,ENSG00000116350
