Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	-0.096700897848867	0.113814876278219	-0.849633202714931	0.408062926636684	1	0	
blue	2	Autism	-0.00756031062531892	0.117936488955317	-0.0641049321739881	0.949680753768459	1	0	
brown	3	Autism	0.0798663094179183	0.105189330997435	0.759262452385648	0.458736417565255	1	0	
yellow	4	Autism	0.192803868574632	0.106088394169966	1.81738888672156	0.0879332568741762	1	0	
green	5	Autism	0.0645610067116268	0.106810676774333	0.604443382079018	0.554024305295818	1	0	
red	6	Autism	0.00126248919636613	0.111816467674235	0.0112907268725771	0.991131080654219	1	0	
black	7	Autism	-0.0120491117875919	0.109319954865715	-0.110218777554314	0.913606525255616	1	0	
pink	8	Autism	-0.196113473872801	0.102194833219537	-1.91901554799258	0.0730004019849881	1	0	
magenta	9	Autism	-0.113053252945987	0.110506367072336	-1.02304741293309	0.3215055168252	1	0	
purple	10	Autism	-0.0246992093107327	0.113602340116003	-0.217418138442497	0.830630849435082	1	0	
greenyellow	11	Autism	-0.116153582090784	0.109995171134412	-1.05598801195415	0.306658541308544	1	0	
tan	12	Autism	0.0190825229052853	0.114124217146481	0.167208357545992	0.869301149766564	1	0	
salmon	13	Autism	0.0696620662184984	0.116786137264307	0.596492596213207	0.559192073399528	1	0	
cyan	14	Autism	-0.0606889010143245	0.103115121781336	-0.588554811029759	0.564376865556542	1	0	
midnightblue	15	Autism	0.0232101700279785	0.10400720983491	0.22315924121818	0.826235694843501	1	0	
lightcyan	16	Autism	-0.0948628513679459	0.105254446441519	-0.9012716761629	0.380810625048446	1	0	
grey60	17	Autism	0.0853446654105689	0.112704298269795	0.757244104446382	0.459910857954789	1	0	
lightgreen	18	Autism	0.136991938010718	0.0779602316736024	1.75720280801967	0.0979981997148135	1	0	
lightyellow	19	Autism	-0.0802527640439673	0.10745161443483	-0.746873506424988	0.465974342756096	1	0	
royalblue	20	Autism	0.0874332503186558	0.102663763496531	0.851646650588747	0.406976955290266	1	0	
darkred	21	Autism	0.13613207054315	0.101900001430067	1.33593786685642	0.200261813848179	1	0	
darkgreen	22	Autism	0.0397244745613999	0.0944032700715958	0.420795535274071	0.679502110959501	1	0	
darkturquoise	23	Autism	0.0610728510400208	0.107674122829851	0.567200822583245	0.578449598941161	1	0	
darkgrey	24	Autism	-0.102183586317224	0.104197857472705	-0.980668785286598	0.341353018217793	1	0	
orange	25	Autism	0.0959063867562442	0.109551762896085	0.875443573164733	0.394285327959081	1	0	
darkorange	26	Autism	-0.0294588198791146	0.089045432692034	-0.330829094637551	0.74506649160803	1	0	
white	27	Autism	-0.0657882460502965	0.10802430329536	-0.609013379798602	0.551065580526927	1	0	
skyblue	28	Autism	0.085306281093684	0.0988084114901286	0.863350395044115	0.400701903883339	1	0	
saddlebrown	29	Autism	-0.0637276164543766	0.109597974615458	-0.581467099898291	0.569027754047028	1	0	
steelblue	30	Autism	0.0406501545891922	0.10657692259042	0.381416103985405	0.707912035220585	1	0	
paleturquoise	31	Autism	-0.0372677270482852	0.114235879185048	-0.326234868713324	0.748474902722786	1	0	
violet	32	Autism	0.0348614359766485	0.110522770640194	0.315423109416428	0.756517214205275	1	0	
darkolivegreen	33	Autism	0.0034723431230208	0.109580514431132	0.0316875964768633	0.975113106369273	1	0	
darkmagenta	34	Autism	-0.0256272699850853	0.113691125653117	-0.225411348844207	0.824513192574229	1	0	
sienna3	35	Autism	-0.0284594767302385	0.115701065527639	-0.24597419738922	0.808829806759566	1	0	
yellowgreen	36	Autism	0.0809995874605947	0.107106233101797	0.756254655913537	0.460487273446038	1	0	
skyblue3	37	Autism	0.0280805046616807	0.115368352778802	0.243398678973254	0.810789713701864	1	0	
plum1	38	Autism	-0.100885243374589	0.11601991196393	-0.869551111243336	0.397403286745194	1	0	
orangered4	39	Autism	0.0557588571718213	0.0998597058089583	0.558371935107576	0.584320466337585	1	0	
mediumpurple3	40	Autism	0.0496845947895184	0.112478477672875	0.441725348862011	0.66459976822499	1	0	
lightsteelblue1	41	Autism	-0.169037050158616	0.0947775397032069	-1.7835138017715	0.093480080736756	1	0	
lightcyan1	42	Autism	0.0992786912875431	0.113630171963437	0.873700088383995	0.395206188155047	1	0	
ivory	43	Autism	-0.0130622394054034	0.114425198182933	-0.114155270105109	0.910534922293621	1	0	
floralwhite	44	Autism	-0.0581098978835703	0.114158677665265	-0.509027426315849	0.617680610552453	1	0	
darkorange2	45	Autism	-0.041624520014371	0.11045170438402	-0.376857199682951	0.711230996927816	1	0	
brown4	46	Autism	0.149799057542003	0.108064592889758	1.38619924932138	0.184701736783046	1	0	
bisque4	47	Autism	0.106731984358688	0.106698510973925	1.00031371932427	0.332047809067698	1	0	
darkslateblue	48	Autism	-0.0161389854550459	0.114642128021261	-0.140777092449408	0.889803155961095	1	0	
plum2	49	Autism	-0.0853512572089379	0.112198718090384	-0.760715083573248	0.45789229884134	1	0	
thistle2	50	Autism	-0.0178097145795668	0.118152766509704	-0.150734638770427	0.882069038440392	1	0	
thistle1	51	Autism	0.116193457253323	0.107833231783337	1.07752921183688	0.297222388470365	1	0	
salmon4	52	Autism	0.140835017928068	0.101907666686026	1.38198648352902	0.185967219607795	1	0	
palevioletred3	53	Autism	0.0310859164110356	0.114944027945901	0.270443945340652	0.790276256385617	1	0	
navajowhite2	54	Autism	0.160543965833618	0.108058619128242	1.4857118028048	0.156792355489292	1	0	
maroon	55	Autism	-0.0848157255144821	0.114496901144337	-0.740768742793848	0.469566330120222	1	0	
lightpink4	56	Autism	0.209929505518928	0.103537807800795	2.02756374678927	0.0595980233383853	1	0	
lavenderblush3	57	Autism	-0.0691622758826562	0.106773069879107	-0.647750186081235	0.526332932370259	1	0	
honeydew1	58	Autism	0.0576864140369517	0.105962997319054	0.544401493884304	0.593671930310088	1	0	
darkseagreen4	59	Autism	0.0741865040436668	0.114678071940588	0.646910981221423	0.526862097449544	1	0	
coral1	60	Autism	0.0984622063423674	0.115188098598212	0.854794961811234	0.40528267576079	1	0	
antiquewhite4	61	Autism	-0.053822859850074	0.112081415061696	-0.480212172735745	0.637575975862409	1	0	
coral2	62	Autism	0.192933635981916	0.094499060633578	2.04164607233526	0.0580333403742739	1	0	
mediumorchid	63	Autism	0.010757642573489	0.107880940447207	0.0997177307585063	0.921807167137921	1	0	
skyblue2	64	Autism	-0.0216551899800873	0.114422157422979	-0.189256962705532	0.852271379244005	1	0	
yellow4	65	Autism	-0.0276881602975063	0.11131078699216	-0.248746424723927	0.806721677633557	1	0	
skyblue1	66	Autism	-0.0112451094221326	0.116366531558094	-0.0966352547555188	0.924216157086393	1	0	
plum	67	Autism	0.0571764151451468	0.107467165186664	0.532036134440087	0.602011174834791	1	0	
orangered3	68	Autism	0.0871968533033634	0.113626595428569	0.767398274800722	0.454021046270835	1	0	
