query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000452	26	290	5	0.017	0.192	KEGG:00982	keg	14	Drug metabolism - cytochrome P450	1	ENSG00000065621,ENSG00000138109,ENSG00000173610,ENSG00000213366,ENSG00000241635
1	TRUE	0.000452	24	290	5	0.017	0.208	KEGG:00980	keg	1	Metabolism of xenobiotics by cytochrome P450	1	ENSG00000065621,ENSG00000138109,ENSG00000173610,ENSG00000213366,ENSG00000241635
1	TRUE	0.000885	32	290	5	0.017	0.156	KEGG:05204	keg	11	Chemical carcinogenesis	1	ENSG00000065621,ENSG00000138109,ENSG00000173610,ENSG00000213366,ENSG00000241635
1	TRUE	0.0053	33	861	7	0.008	0.212	KEGG:04610	keg	3	Complement and coagulation cascades	1	ENSG00000003436,ENSG00000104368,ENSG00000127533,ENSG00000140678,ENSG00000160255,ENSG00000169896,ENSG00000196352
1	TRUE	0.00897	541	637	33	0.052	0.061	GO:0006952	BP	2	defense response	1	ENSG00000049249,ENSG00000064012,ENSG00000067066,ENSG00000069431,ENSG00000074356,ENSG00000081237,ENSG00000101695,ENSG00000102962,ENSG00000111816,ENSG00000115919,ENSG00000124731,ENSG00000125999,ENSG00000126550,ENSG00000132256,ENSG00000134539,ENSG00000134830,ENSG00000135828,ENSG00000144642,ENSG00000162654,ENSG00000162924,ENSG00000166523,ENSG00000169894,ENSG00000169896,ENSG00000173198,ENSG00000173702,ENSG00000174123,ENSG00000181092,ENSG00000181143,ENSG00000196352,ENSG00000196664,ENSG00000205277,ENSG00000205649,ENSG00000213928
1	TRUE	0.0124	33	290	4	0.014	0.121	KEGG:00983	keg	27	Drug metabolism - other enzymes	1	ENSG00000065621,ENSG00000173610,ENSG00000213366,ENSG00000241635
1	TRUE	0.0157	22	220	3	0.014	0.136	KEGG:00830	keg	13	Retinol metabolism	1	ENSG00000138109,ENSG00000173610,ENSG00000241635
1	TRUE	0.0161	8	157	2	0.013	0.25	KEGG:00053	keg	4	Ascorbate and aldarate metabolism	1	ENSG00000173610,ENSG00000241635
1	TRUE	0.0186	48	290	6	0.021	0.125	GO:0006805	BP	24	xenobiotic metabolic process	1	ENSG00000036530,ENSG00000065621,ENSG00000138109,ENSG00000173597,ENSG00000213366,ENSG00000241635
1	TRUE	0.0186	321	719	24	0.033	0.075	GO:0045087	BP	7	innate immune response	1	ENSG00000064012,ENSG00000067066,ENSG00000101695,ENSG00000102962,ENSG00000111816,ENSG00000115919,ENSG00000124731,ENSG00000125999,ENSG00000132256,ENSG00000134539,ENSG00000135828,ENSG00000162654,ENSG00000162924,ENSG00000166523,ENSG00000168310,ENSG00000169894,ENSG00000169896,ENSG00000173702,ENSG00000174123,ENSG00000181143,ENSG00000184979,ENSG00000196664,ENSG00000205277,ENSG00000213928
1	TRUE	0.0266	19	98	3	0.031	0.158	GO:0003044	BP	21	regulation of systemic arterial blood pressure mediated by a chemical signal	1	ENSG00000099139,ENSG00000112096,ENSG00000180914
1	TRUE	0.0266	17	290	4	0.014	0.235	GO:0098754	BP	5	detoxification	1	ENSG00000065621,ENSG00000112096,ENSG00000198198,ENSG00000213366
1	TRUE	0.0329	12	157	2	0.013	0.167	KEGG:00040	keg	15	Pentose and glucuronate interconversions	1	ENSG00000173610,ENSG00000241635
1	TRUE	0.0406	656	453	25	0.055	0.038	GO:0002682	BP	8	regulation of immune system process	1	ENSG00000006747,ENSG00000035664,ENSG00000064012,ENSG00000076944,ENSG00000081237,ENSG00000082074,ENSG00000112175,ENSG00000115935,ENSG00000120068,ENSG00000124731,ENSG00000125999,ENSG00000133710,ENSG00000134539,ENSG00000134830,ENSG00000135828,ENSG00000147065,ENSG00000166523,ENSG00000169894,ENSG00000173702,ENSG00000174123,ENSG00000181092,ENSG00000181143,ENSG00000186818,ENSG00000196352,ENSG00000205277
1	TRUE	0.0406	4	798	3	0.004	0.75	GO:0090735	BP	18	DNA repair complex assembly	1	ENSG00000108384,ENSG00000182185,ENSG00000196584
1	TRUE	0.0406	34	558	6	0.011	0.176	GO:0016266	BP	20	O-glycan processing	1	ENSG00000139629,ENSG00000151233,ENSG00000169894,ENSG00000173702,ENSG00000181143,ENSG00000205277
1	TRUE	0.0406	8	888	4	0.005	0.5	GO:0007398	BP	23	ectoderm development	1	ENSG00000131080,ENSG00000155760,ENSG00000169896,ENSG00000273706
1	TRUE	0.0406	4	798	3	0.004	0.75	GO:0000730	BP	25	DNA recombinase assembly	1	ENSG00000108384,ENSG00000182185,ENSG00000196584
1	TRUE	0.0406	49	145	4	0.028	0.082	GO:0005796	CC	12	Golgi lumen	1	ENSG00000099139,ENSG00000169894,ENSG00000181143,ENSG00000205277
1	TRUE	0.0406	4	798	3	0.004	0.75	GO:0033061	CC	17	DNA recombinase mediator complex	1	ENSG00000108384,ENSG00000182185,ENSG00000196584
1	TRUE	0.0418	4	825	3	0.004	0.75	GO:0031957	MF	9	very long-chain fatty acid-CoA ligase activity	1	ENSG00000083807,ENSG00000103740,ENSG00000176715
1	TRUE	0.0435	41	854	6	0.007	0.146	KEGG:04640	keg	6	Hematopoietic cell lineage	1	ENSG00000012124,ENSG00000090554,ENSG00000115590,ENSG00000169896,ENSG00000196352,ENSG00000213949
1	TRUE	0.0435	90	927	10	0.011	0.111	KEGG:04060	keg	10	Cytokine-cytokine receptor interaction	1	ENSG00000049249,ENSG00000102962,ENSG00000112175,ENSG00000115590,ENSG00000122641,ENSG00000131080,ENSG00000163701,ENSG00000169429,ENSG00000177663,ENSG00000181634
1	TRUE	0.0435	16	157	2	0.013	0.125	KEGG:00860	keg	22	Porphyrin and chlorophyll metabolism	1	ENSG00000173610,ENSG00000241635
1	TRUE	0.0447	28	96	2	0.021	0.071	KEGG:00380	keg	19	Tryptophan metabolism	1	ENSG00000115919,ENSG00000139287
1	TRUE	0.0452	139	637	12	0.019	0.086	GO:0002218	BP	26	activation of innate immune response	1	ENSG00000064012,ENSG00000101695,ENSG00000125999,ENSG00000132256,ENSG00000166523,ENSG00000169894,ENSG00000169896,ENSG00000173702,ENSG00000174123,ENSG00000181143,ENSG00000196664,ENSG00000205277
1	TRUE	0.0454	4	157	2	0.013	0.5	GO:0009812	BP	16	flavonoid metabolic process	1	ENSG00000173597,ENSG00000241635
