query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00082	452	249	28	0.112	0.062	GO:0031175	BP	3	neuron projection development	1	ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000080815,ENSG00000081479,ENSG00000092421,ENSG00000100697,ENSG00000105695,ENSG00000109458,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000135905,ENSG00000140575,ENSG00000143418,ENSG00000149557,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000154642,ENSG00000169398,ENSG00000184014,ENSG00000187164,ENSG00000187764,ENSG00000189058,ENSG00000198121,ENSG00000244274,ENSG00000277363
1	TRUE	0.00082	804	286	44	0.154	0.055	GO:0030030	BP	67	cell projection organization	1	ENSG00000011426,ENSG00000012171,ENSG00000028528,ENSG00000066468,ENSG00000068885,ENSG00000071054,ENSG00000075539,ENSG00000075651,ENSG00000080815,ENSG00000081479,ENSG00000089041,ENSG00000092421,ENSG00000100697,ENSG00000103540,ENSG00000104833,ENSG00000105695,ENSG00000109099,ENSG00000109458,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000135905,ENSG00000136541,ENSG00000136861,ENSG00000136960,ENSG00000137710,ENSG00000140575,ENSG00000143418,ENSG00000145555,ENSG00000148180,ENSG00000149557,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000154642,ENSG00000167552,ENSG00000169398,ENSG00000184014,ENSG00000187164,ENSG00000187764,ENSG00000189058,ENSG00000198121,ENSG00000244274,ENSG00000277363
1	TRUE	0.00114	10	107	4	0.037	0.4	GO:0043209	CC	72	myelin sheath	1	ENSG00000105695,ENSG00000176658,ENSG00000184144,ENSG00000197971
1	TRUE	0.00195	39	10	3	0.3	0.077	GO:0021762	BP	75	substantia nigra development	1	ENSG00000123560,ENSG00000173786,ENSG00000197971
1	TRUE	0.00195	542	184	24	0.13	0.044	GO:0032989	BP	62	cellular component morphogenesis	1	ENSG00000019144,ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000081479,ENSG00000092421,ENSG00000092529,ENSG00000100697,ENSG00000105695,ENSG00000109458,ENSG00000116574,ENSG00000118515,ENSG00000135905,ENSG00000136541,ENSG00000136960,ENSG00000137710,ENSG00000140575,ENSG00000145555,ENSG00000151150,ENSG00000153707,ENSG00000157827,ENSG00000169398,ENSG00000187164,ENSG00000198121
1	TRUE	0.00195	19	276	6	0.022	0.316	GO:0045178	CC	19	basal part of cell	1	ENSG00000019144,ENSG00000091513,ENSG00000112851,ENSG00000151150,ENSG00000151914,ENSG00000158352
1	TRUE	0.00195	3	16	2	0.125	0.667	GO:0033269	CC	63	internode region of axon	1	ENSG00000136541,ENSG00000197971
1	TRUE	0.00195	12	276	5	0.018	0.417	GO:0009925	CC	74	basal plasma membrane	1	ENSG00000091513,ENSG00000112851,ENSG00000151150,ENSG00000151914,ENSG00000158352
1	TRUE	0.00231	692	279	36	0.129	0.052	GO:0007010	BP	76	cytoskeleton organization	1	ENSG00000011426,ENSG00000019144,ENSG00000046653,ENSG00000064042,ENSG00000075539,ENSG00000089041,ENSG00000092421,ENSG00000092529,ENSG00000092964,ENSG00000102760,ENSG00000103540,ENSG00000104833,ENSG00000109458,ENSG00000112851,ENSG00000115355,ENSG00000116574,ENSG00000124126,ENSG00000128585,ENSG00000130429,ENSG00000135525,ENSG00000135720,ENSG00000136541,ENSG00000136861,ENSG00000137710,ENSG00000148180,ENSG00000151150,ENSG00000151914,ENSG00000155849,ENSG00000157827,ENSG00000158352,ENSG00000160993,ENSG00000165410,ENSG00000169398,ENSG00000169504,ENSG00000187164,ENSG00000198121
1	TRUE	0.00242	468	362	33	0.091	0.071	GO:0008092	MF	26	cytoskeletal protein binding	1	ENSG00000001631,ENSG00000008294,ENSG00000011426,ENSG00000064042,ENSG00000092529,ENSG00000104419,ENSG00000115355,ENSG00000122367,ENSG00000126878,ENSG00000127946,ENSG00000130429,ENSG00000136861,ENSG00000137710,ENSG00000137941,ENSG00000145555,ENSG00000148180,ENSG00000150764,ENSG00000151150,ENSG00000151914,ENSG00000154493,ENSG00000158195,ENSG00000158352,ENSG00000160993,ENSG00000165410,ENSG00000166747,ENSG00000168172,ENSG00000168314,ENSG00000169398,ENSG00000173039,ENSG00000176658,ENSG00000187164,ENSG00000262246,ENSG00000264364
