query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	6.89e-06	6	51	4	0.078	0.667	GO:0005314	MF	19	high-affinity glutamate transmembrane transporter activity	1	ENSG00000079215,ENSG00000106688,ENSG00000110436,ENSG00000182902
1	TRUE	6.89e-06	6	51	4	0.078	0.667	GO:0015501	MF	42	glutamate:sodium symporter activity	1	ENSG00000079215,ENSG00000106688,ENSG00000110436,ENSG00000182902
1	TRUE	3.24e-05	3	51	3	0.059	1	GO:0070777	BP	38	D-aspartate transport	1	ENSG00000079215,ENSG00000106688,ENSG00000110436
1	TRUE	3.24e-05	3	51	3	0.059	1	GO:0070779	BP	66	D-aspartate import across plasma membrane	1	ENSG00000079215,ENSG00000106688,ENSG00000110436
1	TRUE	3.24e-05	159	74	10	0.135	0.063	GO:0030198	BP	40	extracellular matrix organization	1	ENSG00000080573,ENSG00000082781,ENSG00000101439,ENSG00000116147,ENSG00000123384,ENSG00000130287,ENSG00000132692,ENSG00000138685,ENSG00000172037,ENSG00000196562
1	TRUE	6.44e-05	8	98	4	0.041	0.5	GO:0051938	BP	6	L-glutamate import	1	ENSG00000079215,ENSG00000106688,ENSG00000110436,ENSG00000132326
1	TRUE	6.44e-05	8	98	4	0.041	0.5	GO:0098712	BP	12	L-glutamate import across plasma membrane	1	ENSG00000079215,ENSG00000106688,ENSG00000110436,ENSG00000132326
1	TRUE	0.000137	37	104	6	0.058	0.162	GO:0010517	BP	65	regulation of phospholipase activity	1	ENSG00000120907,ENSG00000123384,ENSG00000124181,ENSG00000134853,ENSG00000138685,ENSG00000148053
1	TRUE	0.000626	13	117	4	0.034	0.308	GO:0050655	BP	26	dermatan sulfate proteoglycan metabolic process	1	ENSG00000130287,ENSG00000132692,ENSG00000147408,ENSG00000173546
1	TRUE	0.000906	879	122	24	0.197	0.027	GO:0031226	CC	41	intrinsic component of plasma membrane	1	ENSG00000079215,ENSG00000080493,ENSG00000082781,ENSG00000105088,ENSG00000106278,ENSG00000106688,ENSG00000110436,ENSG00000117525,ENSG00000120907,ENSG00000123384,ENSG00000125675,ENSG00000129244,ENSG00000131323,ENSG00000134250,ENSG00000134853,ENSG00000135052,ENSG00000136160,ENSG00000136235,ENSG00000139155,ENSG00000148053,ENSG00000163406,ENSG00000173546,ENSG00000189184,ENSG00000240184
1	TRUE	0.00144	17	117	4	0.034	0.235	GO:0030206	BP	71	chondroitin sulfate biosynthetic process	1	ENSG00000130287,ENSG00000132692,ENSG00000147408,ENSG00000173546
1	TRUE	0.00146	13	51	3	0.059	0.231	GO:0014047	BP	68	glutamate secretion	1	ENSG00000079215,ENSG00000106688,ENSG00000110436
1	TRUE	0.0018	201	23	5	0.217	0.025	GO:0043235	CC	30	receptor complex	1	ENSG00000082781,ENSG00000105088,ENSG00000123384,ENSG00000148053,ENSG00000164199
1	TRUE	0.00355	95	129	8	0.062	0.084	KEGG:04724	keg	58	Glutamatergic synapse	1	ENSG00000069966,ENSG00000079215,ENSG00000106688,ENSG00000110436,ENSG00000125675,ENSG00000135821,ENSG00000162188,ENSG00000173020
1	TRUE	0.00377	61	137	6	0.044	0.098	GO:0005539	MF	8	glycosaminoglycan binding	1	ENSG00000105894,ENSG00000115414,ENSG00000130287,ENSG00000132692,ENSG00000135919,ENSG00000136235
