Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	-0.0871222256562816	0.116163995879544	-0.74999336065043	0.464145123123202	1	0	
blue	2	Autism	-0.0185140056872891	0.106682304650261	-0.173543360803687	0.864400953441627	1	0	
brown	3	Autism	-0.00756031062531892	0.117936488955317	-0.0641049321739881	0.949680753768459	1	0	
yellow	4	Autism	0.0943753549918345	0.104961696858313	0.899140903935944	0.381910411499484	1	0	
green	5	Autism	-0.0175098864242734	0.115997265524152	-0.150950855135699	0.881901234858515	1	0	
red	6	Autism	-0.0120491117875919	0.109319954865715	-0.110218777554314	0.913606525255616	1	0	
black	7	Autism	-0.0948628513679459	0.105254446441519	-0.9012716761629	0.380810625048446	1	0	
pink	8	Autism	0.0853446654105689	0.112704298269795	0.757244104446382	0.459910857954789	1	0	
magenta	9	Autism	0.136991938010718	0.0779602316736024	1.75720280801967	0.0979981997148135	1	0	
purple	10	Autism	0.140835017928068	0.101907666686026	1.38198648352902	0.185967219607795	1	0	
greenyellow	11	Autism	0.038411106362614	0.112263855774688	0.34215025038606	0.736690889668699	1	0	
tan	12	Autism	0.10007167701487	0.112159528275847	0.892226265152895	0.385494055156819	1	0	
