query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00863	147	81	8	0.099	0.054	GO:0071375	BP	6	cellular response to peptide hormone stimulus	1	ENSG00000033627,ENSG00000078295,ENSG00000106070,ENSG00000111731,ENSG00000132334,ENSG00000134318,ENSG00000159720,ENSG00000197535
1	TRUE	0.00863	172	20	5	0.25	0.029	GO:0030425	CC	24	dendrite	1	ENSG00000075413,ENSG00000078295,ENSG00000100505,ENSG00000132535,ENSG00000196712
1	TRUE	0.00863	10	5	2	0.4	0.2	GO:0004385	MF	13	guanylate kinase activity	1	ENSG00000132535,ENSG00000147044
1	TRUE	0.027	104	3	2	0.667	0.019	GO:0007163	BP	2	establishment or maintenance of cell polarity	1	ENSG00000107862,ENSG00000132535
1	TRUE	0.027	11	141	3	0.021	0.273	GO:0097028	BP	25	dendritic cell differentiation	1	ENSG00000123685,ENSG00000168961,ENSG00000234745
1	TRUE	0.027	77	19	3	0.158	0.039	GO:0016323	CC	7	basolateral plasma membrane	1	ENSG00000132535,ENSG00000147044,ENSG00000182985
1	TRUE	0.0279	12	137	3	0.022	0.25	GO:0042269	BP	22	regulation of natural killer cell mediated cytotoxicity	1	ENSG00000168961,ENSG00000182985,ENSG00000234745
1	TRUE	0.0279	12	137	3	0.022	0.25	GO:0002715	BP	5	regulation of natural killer cell mediated immunity	1	ENSG00000168961,ENSG00000182985,ENSG00000234745
1	TRUE	0.032	67	5	2	0.4	0.03	GO:0097060	CC	9	synaptic membrane	1	ENSG00000132535,ENSG00000147044
1	TRUE	0.0342	56	32	3	0.094	0.054	GO:0050680	BP	19	negative regulation of epithelial cell proliferation	1	ENSG00000147044,ENSG00000179222,ENSG00000196712
1	TRUE	0.0383	8	53	2	0.038	0.25	GO:0016471	CC	16	vacuolar proton-transporting V-type ATPase complex	1	ENSG00000033627,ENSG00000159720
1	TRUE	0.0435	41	51	3	0.059	0.073	GO:0007612	BP	26	learning	1	ENSG00000132535,ENSG00000196712,ENSG00000197386
1	TRUE	0.0462	167	142	8	0.056	0.048	GO:0043087	BP	27	regulation of GTPase activity	1	ENSG00000044524,ENSG00000091409,ENSG00000111490,ENSG00000128656,ENSG00000130147,ENSG00000188559,ENSG00000196712,ENSG00000204634
1	TRUE	0.047	36	63	3	0.048	0.083	GO:0099518	BP	21	vesicle cytoskeletal trafficking	1	ENSG00000101350,ENSG00000197386,ENSG00000197535
1	TRUE	0.047	9	65	2	0.031	0.222	GO:0046184	BP	28	aldehyde biosynthetic process	1	ENSG00000160209,ENSG00000163931
1	TRUE	0.047	7	82	2	0.024	0.286	GO:0036289	BP	23	peptidyl-serine autophosphorylation	1	ENSG00000075413,ENSG00000157540
1	TRUE	0.047	121	44	4	0.091	0.033	GO:0005938	CC	14	cell cortex	1	ENSG00000111731,ENSG00000132535,ENSG00000159023,ENSG00000180104
1	TRUE	0.049	55	46	3	0.065	0.055	GO:0032092	BP	12	positive regulation of protein binding	1	ENSG00000075340,ENSG00000075413,ENSG00000159023
1	TRUE	0.049	88	105	5	0.048	0.057	GO:0043492	MF	15	ATPase activity, coupled to movement of substances	1	ENSG00000006071,ENSG00000033627,ENSG00000104043,ENSG00000154265,ENSG00000159720
1	TRUE	0.049	23	26	2	0.077	0.087	GO:0004683	MF	10	calmodulin-dependent protein kinase activity	1	ENSG00000079277,ENSG00000183049
1	TRUE	0.049	219	44	5	0.114	0.023	GO:0005543	MF	18	phospholipid binding	1	ENSG00000107862,ENSG00000111731,ENSG00000145819,ENSG00000159023,ENSG00000196712
1	TRUE	0.049	224	3	2	0.667	0.009	GO:0005085	MF	4	guanyl-nucleotide exchange factor activity	1	ENSG00000107862,ENSG00000132535
1	TRUE	0.0499	13	53	2	0.038	0.154	GO:0036442	MF	3	proton-exporting ATPase activity	1	ENSG00000033627,ENSG00000159720
1	TRUE	0.0499	181	14	3	0.214	0.017	GO:0046982	MF	20	protein heterodimerization activity	1	ENSG00000077097,ENSG00000078295,ENSG00000188559
