query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	7.53e-05	76	178	10	0.056	0.132	GO:0030217	BP	11	T cell differentiation	1	ENSG00000010610,ENSG00000100219,ENSG00000101096,ENSG00000101665,ENSG00000116678,ENSG00000157404,ENSG00000163513,ENSG00000172175,ENSG00000198805,ENSG00000203710
1	TRUE	0.00773	127	62	6	0.097	0.047	GO:0045732	BP	31	positive regulation of protein catabolic process	1	ENSG00000101665,ENSG00000104904,ENSG00000138376,ENSG00000138686,ENSG00000145632,ENSG00000164197
1	TRUE	0.00773	381	265	20	0.075	0.052	GO:0043069	BP	44	negative regulation of programmed cell death	1	ENSG00000023445,ENSG00000064115,ENSG00000086666,ENSG00000100219,ENSG00000104312,ENSG00000104365,ENSG00000113494,ENSG00000121858,ENSG00000130816,ENSG00000137764,ENSG00000138376,ENSG00000145632,ENSG00000161638,ENSG00000166181,ENSG00000167815,ENSG00000172175,ENSG00000176697,ENSG00000198836,ENSG00000221983,ENSG00000239264
1	TRUE	0.00773	580	23	7	0.304	0.012	GO:0033365	BP	39	protein localization to organelle	1	ENSG00000086300,ENSG00000086666,ENSG00000108107,ENSG00000115204,ENSG00000169100,ENSG00000197498,ENSG00000198060
1	TRUE	0.0132	347	262	18	0.069	0.052	GO:0035295	BP	3	tube development	1	ENSG00000007062,ENSG00000075275,ENSG00000090539,ENSG00000099250,ENSG00000100219,ENSG00000101665,ENSG00000112406,ENSG00000115415,ENSG00000116678,ENSG00000134871,ENSG00000137764,ENSG00000138686,ENSG00000140105,ENSG00000152270,ENSG00000157404,ENSG00000161638,ENSG00000163513,ENSG00000171863
1	TRUE	0.0194	281	25	5	0.2	0.018	GO:0006605	BP	20	protein targeting	1	ENSG00000086666,ENSG00000108107,ENSG00000115204,ENSG00000152056,ENSG00000169100
1	TRUE	0.021	277	262	15	0.057	0.054	GO:0001944	BP	12	vasculature development	1	ENSG00000099250,ENSG00000100219,ENSG00000101096,ENSG00000101665,ENSG00000104903,ENSG00000115415,ENSG00000116678,ENSG00000130816,ENSG00000134871,ENSG00000137764,ENSG00000140105,ENSG00000152270,ENSG00000157404,ENSG00000161638,ENSG00000163513
1	TRUE	0.021	23	171	4	0.023	0.174	GO:0051148	BP	61	negative regulation of muscle cell differentiation	1	ENSG00000100219,ENSG00000101096,ENSG00000130816,ENSG00000176697
1	TRUE	0.021	132	268	10	0.037	0.076	GO:0043122	BP	22	regulation of I-kappaB kinase/NF-kappaB signaling	1	ENSG00000010610,ENSG00000023445,ENSG00000086666,ENSG00000104312,ENSG00000104365,ENSG00000115415,ENSG00000121858,ENSG00000145632,ENSG00000157593,ENSG00000172175
1	TRUE	0.021	15	268	4	0.015	0.267	GO:0015605	MF	65	organophosphate ester transmembrane transporter activity	1	ENSG00000134955,ENSG00000148339,ENSG00000157593,ENSG00000169100
