query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000177	804	288	45	0.156	0.056	GO:0030030	BP	47	cell projection organization	1	ENSG00000010810,ENSG00000011426,ENSG00000012171,ENSG00000028528,ENSG00000066468,ENSG00000071054,ENSG00000075223,ENSG00000075539,ENSG00000077380,ENSG00000080815,ENSG00000081377,ENSG00000081479,ENSG00000088986,ENSG00000104833,ENSG00000105695,ENSG00000107679,ENSG00000109099,ENSG00000109458,ENSG00000110880,ENSG00000115310,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000122545,ENSG00000127328,ENSG00000135905,ENSG00000136541,ENSG00000136960,ENSG00000137710,ENSG00000140575,ENSG00000148180,ENSG00000149557,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000167552,ENSG00000169398,ENSG00000170017,ENSG00000184014,ENSG00000187164,ENSG00000187764,ENSG00000189058,ENSG00000197959,ENSG00000198121,ENSG00000244274
1	TRUE	0.000177	452	193	25	0.13	0.055	GO:0031175	BP	45	neuron projection development	1	ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000080815,ENSG00000081479,ENSG00000105695,ENSG00000109458,ENSG00000115310,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000135905,ENSG00000140575,ENSG00000149557,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000169398,ENSG00000170017,ENSG00000184014,ENSG00000187164,ENSG00000187764,ENSG00000189058,ENSG00000198121,ENSG00000244274
1	TRUE	0.000177	505	193	26	0.135	0.051	GO:0048666	BP	80	neuron development	1	ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000080815,ENSG00000081479,ENSG00000105695,ENSG00000109458,ENSG00000115310,ENSG00000115355,ENSG00000115808,ENSG00000118515,ENSG00000135905,ENSG00000140575,ENSG00000149557,ENSG00000151150,ENSG00000152377,ENSG00000153707,ENSG00000169398,ENSG00000170017,ENSG00000184014,ENSG00000184144,ENSG00000187164,ENSG00000187764,ENSG00000189058,ENSG00000198121,ENSG00000244274
1	TRUE	0.000177	542	199	28	0.141	0.052	GO:0032989	BP	83	cellular component morphogenesis	1	ENSG00000019144,ENSG00000066468,ENSG00000071054,ENSG00000075539,ENSG00000081479,ENSG00000092529,ENSG00000105695,ENSG00000109458,ENSG00000115310,ENSG00000116574,ENSG00000118515,ENSG00000122545,ENSG00000135905,ENSG00000136541,ENSG00000136960,ENSG00000137710,ENSG00000140575,ENSG00000149557,ENSG00000151150,ENSG00000153707,ENSG00000157827,ENSG00000161813,ENSG00000163539,ENSG00000169398,ENSG00000170017,ENSG00000187164,ENSG00000187764,ENSG00000198121
1	TRUE	0.000342	10	95	4	0.042	0.4	GO:0043209	CC	8	myelin sheath	1	ENSG00000105695,ENSG00000176658,ENSG00000184144,ENSG00000197971
1	TRUE	0.000342	19	111	5	0.045	0.263	GO:0045178	CC	54	basal part of cell	1	ENSG00000019144,ENSG00000091513,ENSG00000112851,ENSG00000151150,ENSG00000163539
1	TRUE	0.00131	31	42	4	0.095	0.129	GO:0044304	CC	56	main axon	1	ENSG00000136541,ENSG00000151150,ENSG00000184144,ENSG00000197971
1	TRUE	0.00225	121	199	11	0.055	0.091	GO:0005938	CC	41	cell cortex	1	ENSG00000011426,ENSG00000019144,ENSG00000066468,ENSG00000075539,ENSG00000080815,ENSG00000108387,ENSG00000122545,ENSG00000136541,ENSG00000137710,ENSG00000163539,ENSG00000168314
1	TRUE	0.00431	44	218	7	0.032	0.159	GO:1903391	BP	68	regulation of adherens junction organization	1	ENSG00000046653,ENSG00000064042,ENSG00000110880,ENSG00000137710,ENSG00000163539,ENSG00000169398,ENSG00000189058
1	TRUE	0.00454	507	243	26	0.107	0.051	GO:0022603	BP	29	regulation of anatomical structure morphogenesis	1	ENSG00000005513,ENSG00000019144,ENSG00000064393,ENSG00000066468,ENSG00000075223,ENSG00000102760,ENSG00000105695,ENSG00000109458,ENSG00000110880,ENSG00000115310,ENSG00000116574,ENSG00000122545,ENSG00000136541,ENSG00000136960,ENSG00000137710,ENSG00000147459,ENSG00000153707,ENSG00000157827,ENSG00000161813,ENSG00000163539,ENSG00000169398,ENSG00000187164,ENSG00000187764,ENSG00000197971,ENSG00000198121,ENSG00000263001
1	TRUE	0.00682	692	254	32	0.126	0.046	GO:0007010	BP	40	cytoskeleton organization	1	ENSG00000011426,ENSG00000019144,ENSG00000046653,ENSG00000064042,ENSG00000066777,ENSG00000075539,ENSG00000081377,ENSG00000092529,ENSG00000092964,ENSG00000102760,ENSG00000104833,ENSG00000109458,ENSG00000110880,ENSG00000112851,ENSG00000115355,ENSG00000116574,ENSG00000124126,ENSG00000130429,ENSG00000136541,ENSG00000137710,ENSG00000148180,ENSG00000151150,ENSG00000155849,ENSG00000157827,ENSG00000161813,ENSG00000163539,ENSG00000166598,ENSG00000169398,ENSG00000169504,ENSG00000173273,ENSG00000187164,ENSG00000198121
1	TRUE	0.00726	39	19	3	0.158	0.077	GO:0021762	BP	43	substantia nigra development	1	ENSG00000123560,ENSG00000173786,ENSG00000197971
1	TRUE	0.00776	342	254	20	0.079	0.058	GO:0030036	BP	55	actin cytoskeleton organization	1	ENSG00000046653,ENSG00000064042,ENSG00000066777,ENSG00000075539,ENSG00000092529,ENSG00000102760,ENSG00000109458,ENSG00000110880,ENSG00000115355,ENSG00000124126,ENSG00000130429,ENSG00000136541,ENSG00000137710,ENSG00000148180,ENSG00000155849,ENSG00000157827,ENSG00000163539,ENSG00000166598,ENSG00000187164,ENSG00000198121
1	TRUE	0.00776	43	3	2	0.667	0.047	GO:0007272	BP	22	ensheathment of neurons	1	ENSG00000123560,ENSG00000197971
1	TRUE	0.00776	521	252	26	0.103	0.05	GO:0046872	MF	21	metal ion binding	1	ENSG00000065911,ENSG00000081479,ENSG00000091513,ENSG00000092529,ENSG00000099194,ENSG00000104267,ENSG00000104833,ENSG00000108387,ENSG00000109654,ENSG00000115365,ENSG00000136960,ENSG00000140575,ENSG00000143933,ENSG00000148180,ENSG00000152377,ENSG00000155886,ENSG00000159176,ENSG00000160584,ENSG00000164161,ENSG00000164576,ENSG00000166598,ENSG00000167996,ENSG00000168283,ENSG00000172466,ENSG00000173273,ENSG00000180776
1	TRUE	0.0113	57	218	7	0.032	0.123	GO:1901888	BP	79	regulation of cell junction assembly	1	ENSG00000046653,ENSG00000064042,ENSG00000104067,ENSG00000110880,ENSG00000163539,ENSG00000169398,ENSG00000189058
1	TRUE	0.0113	612	288	31	0.108	0.051	GO:0043085	BP	65	positive regulation of catalytic activity	1	ENSG00000008294,ENSG00000010810,ENSG00000012983,ENSG00000065361,ENSG00000066468,ENSG00000077232,ENSG00000077380,ENSG00000080815,ENSG00000081377,ENSG00000088986,ENSG00000101265,ENSG00000102760,ENSG00000107863,ENSG00000110880,ENSG00000115355,ENSG00000122566,ENSG00000135905,ENSG00000140575,ENSG00000143933,ENSG00000147488,ENSG00000148180,ENSG00000164300,ENSG00000167191,ENSG00000168283,ENSG00000169398,ENSG00000173273,ENSG00000187764,ENSG00000197971,ENSG00000198121,ENSG00000198663,ENSG00000275832
1	TRUE	0.0119	123	218	10	0.046	0.081	GO:0007162	BP	9	negative regulation of cell adhesion	1	ENSG00000065361,ENSG00000102760,ENSG00000110880,ENSG00000137710,ENSG00000152377,ENSG00000163539,ENSG00000169398,ENSG00000187764,ENSG00000189058,ENSG00000197971
1	TRUE	0.0149	15	218	4	0.018	0.267	GO:1903392	BP	46	negative regulation of adherens junction organization	1	ENSG00000110880,ENSG00000137710,ENSG00000163539,ENSG00000189058
