query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	3.96e-09	297	178	24	0.135	0.081	GO:0098916	BP	160	anterograde trans-synaptic signaling	1	ENSG00000008056,ENSG00000011347,ENSG00000067191,ENSG00000070808,ENSG00000081189,ENSG00000100321,ENSG00000105649,ENSG00000106089,ENSG00000117016,ENSG00000118160,ENSG00000128245,ENSG00000128564,ENSG00000128683,ENSG00000136854,ENSG00000136928,ENSG00000164061,ENSG00000176884,ENSG00000181790,ENSG00000184156,ENSG00000184702,ENSG00000186472,ENSG00000198216,ENSG00000272674,ENSG00000273079
1	TRUE	3.96e-09	219	92	16	0.174	0.073	GO:0044456	CC	53	synapse part	1	ENSG00000008056,ENSG00000104888,ENSG00000105649,ENSG00000106089,ENSG00000117016,ENSG00000124198,ENSG00000151067,ENSG00000159164,ENSG00000163630,ENSG00000164061,ENSG00000176884,ENSG00000181790,ENSG00000186472,ENSG00000186642,ENSG00000186716,ENSG00000273079
1	TRUE	2.06e-07	126	182	15	0.082	0.119	GO:0098793	CC	153	presynapse	1	ENSG00000008056,ENSG00000011347,ENSG00000100321,ENSG00000104888,ENSG00000105649,ENSG00000106089,ENSG00000117016,ENSG00000159164,ENSG00000163630,ENSG00000164061,ENSG00000176884,ENSG00000184702,ENSG00000186472,ENSG00000186642,ENSG00000197106
1	TRUE	3.81e-07	92	91	10	0.11	0.109	GO:0015085	MF	107	calcium ion transmembrane transporter activity	1	ENSG00000067191,ENSG00000107130,ENSG00000118160,ENSG00000151067,ENSG00000157388,ENSG00000176884,ENSG00000183087,ENSG00000186642,ENSG00000198216,ENSG00000273079
1	TRUE	1.86e-06	49	52	7	0.135	0.143	KEGG:05031	keg	152	Amphetamine addiction	1	ENSG00000070808,ENSG00000106089,ENSG00000151067,ENSG00000157388,ENSG00000160014,ENSG00000176884,ENSG00000273079
1	TRUE	2.3e-06	75	182	11	0.06	0.147	GO:0008021	CC	29	synaptic vesicle	1	ENSG00000008056,ENSG00000011347,ENSG00000100321,ENSG00000104888,ENSG00000105649,ENSG00000106089,ENSG00000159164,ENSG00000163630,ENSG00000176884,ENSG00000184702,ENSG00000197106
1	TRUE	3.46e-06	29	137	7	0.051	0.241	GO:0046928	BP	38	regulation of neurotransmitter secretion	1	ENSG00000008056,ENSG00000070808,ENSG00000081189,ENSG00000105649,ENSG00000117016,ENSG00000136854,ENSG00000184702
1	TRUE	3.84e-06	125	91	10	0.11	0.08	GO:0034703	CC	145	cation channel complex	1	ENSG00000067191,ENSG00000106089,ENSG00000151067,ENSG00000157388,ENSG00000160014,ENSG00000162687,ENSG00000166257,ENSG00000176884,ENSG00000198216,ENSG00000273079
1	TRUE	6.33e-06	906	142	30	0.211	0.033	GO:0098772	MF	37	molecular function regulator	1	ENSG00000038382,ENSG00000059915,ENSG00000069849,ENSG00000070182,ENSG00000070808,ENSG00000100359,ENSG00000105568,ENSG00000106089,ENSG00000107742,ENSG00000108352,ENSG00000110237,ENSG00000124198,ENSG00000124313,ENSG00000128245,ENSG00000129946,ENSG00000134909,ENSG00000141258,ENSG00000148082,ENSG00000160014,ENSG00000162951,ENSG00000163956,ENSG00000166257,ENSG00000166501,ENSG00000173898,ENSG00000176884,ENSG00000182732,ENSG00000183087,ENSG00000186716,ENSG00000196914,ENSG00000273079
1	TRUE	2.25e-05	224	142	14	0.099	0.062	GO:0005085	MF	162	guanyl-nucleotide exchange factor activity	1	ENSG00000038382,ENSG00000059915,ENSG00000070182,ENSG00000070808,ENSG00000108352,ENSG00000110237,ENSG00000124198,ENSG00000124313,ENSG00000129946,ENSG00000148082,ENSG00000173898,ENSG00000176884,ENSG00000196914,ENSG00000273079
