Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	0.0219911408389379	0.105025880859692	0.209387825733322	0.836788253975022	1	0	
blue	2	Autism	-0.0927777815421703	0.104627275165024	-0.886745653997353	0.388350434523034	1	0	
brown	3	Autism	0.125927038980535	0.112684837863854	1.11751537622727	0.280274002989751	1	0	
yellow	4	Autism	0.117604213009744	0.0947688881214283	1.24095803317917	0.232509000263151	1	0	
green	5	Autism	-0.10773255885547	0.102461842758545	-1.05144077009572	0.308677994404366	1	0	
red	6	Autism	-0.253537847107675	0.0812178834656785	-3.12169975735475	0.00657404598915954	0.230091609620584	0	
black	7	Autism	0.140894695020315	0.0993068532378534	1.41878118605625	0.175148797592613	1	0	
pink	8	Autism	-0.0889744729659453	0.112683241317514	-0.789598097513338	0.441307720617723	1	0	
magenta	9	Autism	-0.194676691122557	0.0699360030241635	-2.78364050995729	0.0132818732695189	0.451583691163644	0	
purple	10	Autism	0.0352320565743792	0.0977261492640174	0.360518211755138	0.723175007643313	1	0	
greenyellow	11	Autism	0.0703481853183256	0.115561516819399	0.608750968787184	0.551235240906208	1	0	
tan	12	Autism	0.000536358347370987	0.113759108281501	0.00471486068652848	0.996296385609992	1	0	
salmon	13	Autism	-0.133431058609078	0.112085914075978	-1.19043556640517	0.251238564577908	1	0	
cyan	14	Autism	-0.0530185139187256	0.111833242622086	-0.474085456843	0.641844011440621	1	0	
midnightblue	15	Autism	-0.297091164488769	0.0721420971046954	-4.11813873469216	0.000805338310842109	0.029797517501158	-1.52581991647603	-0.3
lightcyan	16	Autism	-0.0611191627049327	0.116780230912848	-0.523369085907576	0.607890578254733	1	0	
grey60	17	Autism	0.12860454963932	0.108366375631176	1.18675695196289	0.252646192634006	1	0	
lightgreen	18	Autism	0.215535264274544	0.0902789484087469	2.387436584869	0.0296509447384198	0.948830231629434	0	
lightyellow	19	Autism	0.239807888784064	0.0950715691181223	2.52239329810695	0.022630168122602	0.746795548045867	0	
royalblue	20	Autism	0.239108509169041	0.0679462186265983	3.5190848586155	0.00284646087200991	0.102472591392357	0	
darkred	21	Autism	-0.0056144379447227	0.0988187209809526	-0.0568155293752981	0.955395622470768	1	0	
darkgreen	22	Autism	-0.229993754234692	0.100403233152389	-2.29070067779207	0.0358954064848081	1	0	
darkturquoise	23	Autism	-0.152224930461116	0.0959638552627019	-1.58627360316443	0.132240523911997	1	0	
darkgrey	24	Autism	-0.204043213287617	0.0888366119587009	-2.29683695481852	0.0354653169106525	1	0	
orange	25	Autism	0.162948174071428	0.107656308366995	1.51359615189428	0.149630391633752	1	0	
darkorange	26	Autism	0.0285038606313313	0.110113839707238	0.258858111815145	0.799045440893712	1	0	
white	27	Autism	-0.205255672550833	0.0964524338295997	-2.12805073341595	0.049225258348508	1	0	
skyblue	28	Autism	0.106794380281314	0.106322032754031	1.00444261189377	0.330115118434678	1	0	
saddlebrown	29	Autism	-0.15983452875314	0.0994935208489198	-1.60648178282732	0.12772084705797	1	0	
steelblue	30	Autism	-0.175382388182677	0.105297802414062	-1.66558450567679	0.115251241149155	1	0	
paleturquoise	31	Autism	-0.0477125031182317	0.11163186675269	-0.427409345612166	0.67477774612354	1	0	
violet	32	Autism	-0.0609372967683347	0.113655340824403	-0.536158673462452	0.599224488476915	1	0	
darkolivegreen	33	Autism	-0.179147023881654	0.0969863622944045	-1.84713623280198	0.0833041197171974	1	0	
darkmagenta	34	Autism	0.177853379652168	0.10080157353602	1.76439090594767	0.0967452542367739	1	0	
sienna3	35	Autism	-0.127678548646053	0.102685640639855	-1.24339243394171	0.231634645034178	1	0	
yellowgreen	36	Autism	0.0229093792631744	0.114982010158696	0.199243161878587	0.844582526995271	1	0	
skyblue3	37	Autism	0.205721423189155	0.0874175082755305	2.35332060187238	0.0317265802368259	0.983523987341602	0	
