Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	-0.142505821183595	0.104850822668313	-1.35912926152616	0.195598306795084	1	0	
blue	2	Autism	0.130791666671633	0.0904660654331124	1.44575389728136	0.170259290926882	1	0	
brown	3	Autism	0.197458155291511	0.101694927964405	1.94167161768996	0.0725766564756688	1	0	
yellow	4	Autism	-0.360058211095635	0.0757234053066106	-4.75491308978682	0.00030758855163066	0.00768971379076649	-2.11408982423029	-0.4
green	5	Autism	0.184847769851845	0.103331884178324	1.78887447298305	0.0952862901941927	1	0	
red	6	Autism	-0.154848934619636	0.0867795313755616	-1.78439468576392	0.0960386918065137	1	0	
black	7	Autism	0.0304816173687989	0.127574488467172	0.238931919187295	0.814620574117376	1	0	
pink	8	Autism	0.229865463507067	0.100427304432876	2.2888741742611	0.0381460985450379	0.801068069445795	0	
magenta	9	Autism	0.215006372719815	0.103666326577031	2.07402326116042	0.0570030707453255	1	0	
purple	10	Autism	0.0666744988250506	0.0837935971795695	0.795699206971236	0.439490547324984	1	0	
greenyellow	11	Autism	0.15263861128893	0.0958281918813715	1.59283618204845	0.13351745957693	1	0	
tan	12	Autism	-0.183753829696123	0.105044837223837	-1.74928948963544	0.102119433146049	1	0	
salmon	13	Autism	0.0557953884025631	0.0953480108069167	0.585176218469317	0.567741989616404	1	0	
cyan	14	Autism	-0.186959468549955	0.0785755056871452	-2.37936067881445	0.0321123716250242	0.706472175750533	0	
midnightblue	15	Autism	0.317298612221774	0.0898413086728091	3.53176747878124	0.00331896686335179	0.079655204720443	0	
lightcyan	16	Autism	0.173882732344431	0.11936823086592	1.45669187758798	0.167262379989613	1	0	
grey60	17	Autism	0.0737229545234548	0.124224277642522	0.593466558409833	0.562335107243229	1	0	
lightgreen	18	Autism	-0.202293954876132	0.107456443432242	-1.88256700496225	0.0807083121196815	1	0	
lightyellow	19	Autism	-0.102707327058374	0.115864193809442	-0.886445792108076	0.390350650224078	1	0	
royalblue	20	Autism	0.0271855377323976	0.115788453859115	0.234786257405901	0.817773823946686	1	0	
darkred	21	Autism	0.272672892846569	0.107004150988659	2.54824593557561	0.0231961612377137	0.533511708467416	0	
darkgreen	22	Autism	-0.182419037655779	0.114239671509437	-1.5968098931439	0.132626925306845	1	0	
darkturquoise	23	Autism	-0.171359048285908	0.102598321174921	-1.67019349170204	0.117077609261423	1	0	
darkgrey	24	Autism	0.135706160918196	0.119410421569689	1.13646831770874	0.27484025533834	1	0	
orange	25	Autism	0.100700940781751	0.125853477436508	0.800144285504969	0.436994735543561	1	0	
