ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
21	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70280862	70280924	70282787	70283042	70278334	70278437	70286774	70286812
49	"ENSG00000204149.10_2"	"AGAP6"	chr10	+	51751435	51751504	51754154	51754189	51749067	51749136	51761755	51761856
90	"ENSG00000183117.18_2"	"CSMD1"	chr8	-	4277474	4277587	4494863	4495080	3889426	3889621	4851853	4852223
98	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891634	130891717	130892621	130892704	130883620	130883742	130908917	130909100
99	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891634	130891717	130892621	130892704	130883620	130883742	130915557	130915596
154	"ENSG00000118482.11_1"	"PHF3"	chr6	+	64389900	64390062	64394029	64395812	64356430	64356700	64401626	64401933
167	"ENSG00000059691.11_2"	"GATB"	chr4	-	152593913	152594048	152600964	152601043	152591655	152592454	152609781	152609915
266	"ENSG00000157388.14_2"	"CACNA1D"	chr3	+	53796024	53796108	53796577	53796661	53787598	53787709	53804450	53804579
284	"ENSG00000275131.2_2"	"CH17-472G23.4"	chr1	-	144857611	144857728	144859758	144859998	144856815	144857042	144863317	144863442
301	"ENSG00000183023.18_2"	"SLC8A1"	chr2	-	40404891	40404995	40405526	40405633	40401964	40401982	40655612	40657420
436	"ENSG00000206562.11_2"	"METTL6"	chr3	-	15455527	15455669	15457004	15457090	15452836	15452944	15457278	15457449
465	"ENSG00000055332.16_2"	"EIF2AK2"	chr2	-	37349648	37349807	37353431	37353554	37347101	37347282	37362626	37362689
489	"ENSG00000118473.21_1"	"SGIP1"	chr1	+	67126195	67126207	67133212	67133224	67109226	67109402	67136677	67136702
504	"ENSG00000169398.19_2"	"PTK2"	chr8	-	141754750	141754866	141756858	141756959	141753328	141753429	141762330	141762415
506	"ENSG00000089123.15_2"	"TASP1"	chr20	-	13539654	13539761	13550153	13550233	13514668	13514788	13561543	13561628
529	"ENSG00000101019.21_1"	"UQCC1"	chr20	-	33902490	33902568	33934966	33935075	33894468	33894582	33969720	33969828
530	"ENSG00000101019.21_1"	"UQCC1"	chr20	-	33954359	33954417	33969720	33969828	33934966	33935075	33981894	33981999
589	"ENSG00000172995.16_2"	"ARPP21"	chr3	+	35748465	35748574	35750460	35750562	35732356	35732497	35756930	35756968
646	"ENSG00000075151.20_2"	"EIF4G3"	chr1	-	21329205	21329301	21377358	21377487	21307540	21307720	21415630	21415706
685	"ENSG00000114786.16_2"	"ABHD14A-ACY1"	chr3	+	52012274	52012390	52014408	52014644	52011899	52012098	52018062	52018174
736	"ENSG00000198707.14_2"	"CEP290"	chr12	-	88524321	88524342	88524941	88524995	88524044	88524197	88530419	88530563
785	"ENSG00000224078.12_2"	"SNHG14"	chr15	+	25446798	25446842	25448698	25448743	25446282	25446413	25449316	25449447
796	"ENSG00000179889.18_2"	"PDXDC1"	chr16	+	15092196	15092262	15098043	15098190	15091609	15091683	15100250	15100440
819	"ENSG00000162994.15_2"	"CLHC1"	chr2	-	55407645	55407848	55408705	55408880	55404737	55404917	55433405	55433512
910	"ENSG00000037474.14_1"	"NSUN2"	chr5	-	6625676	6625782	6631985	6632090	6623326	6623398	6632711	6632869
921	"ENSG00000124788.17_2"	"ATXN1"	chr6	-	16658006	16658132	16753463	16753578	16586010	16586138	16761528	16761691
924	"ENSG00000135976.16_1"	"ANKRD36"	chr2	+	97854823	97854852	97856714	97856743	97853065	97853138	97856845	97856918
928	"ENSG00000126822.16_2"	"PLEKHG3"	chr14	+	65195713	65195811	65196960	65197030	65194310	65194700	65197359	65197406
933	"ENSG00000165568.17_1"	"AKR1E2"	chr10	+	4879650	4879773	4883976	4884049	4877866	4878001	4884612	4884696
994	"ENSG00000139220.16_2"	"PPFIA2"	chr12	-	81676788	81676818	81678019	81678082	81675035	81675229	81688613	81688814
1010	"ENSG00000100239.15_2"	"PPP6R2"	chr22	+	50827414	50827540	50830295	50830444	50810500	50810579	50832321	50832564
1011	"ENSG00000100325.14_2"	"ASCC2"	chr22	-	30221075	30221246	30228233	30228331	30218323	30218453	30234166	30234263
1017	"ENSG00000257379.1_2"	"RP11-793H13.8"	chr12	+	53858543	53858636	53859715	53859757	53856276	53856351	53861004	53861312
1057	"ENSG00000130244.12_2"	"FAM98C"	chr19	+	38895547	38895753	38895983	38896061	38894199	38894334	38896158	38896275
1084	"ENSG00000177879.14_1"	"AP3S1"	chr5	+	115202366	115202458	115205713	115205825	115177177	115177803	115230783	115230855
1171	"ENSG00000074657.13_2"	"ZNF532"	chr18	+	56606676	56606853	56615298	56615461	56601664	56601846	56620749	56621031
1227	"ENSG00000183780.12_2"	"SLC35F3"	chr1	+	234367162	234367487	234444846	234445066	234041274	234041504	234452347	234452473
1307	"ENSG00000124831.18_2"	"LRRFIP1"	chr2	+	238636518	238636578	238647874	238647952	238629414	238629465	238657006	238657042
1439	"ENSG00000136404.15_2"	"TM6SF1"	chr15	+	83790672	83790755	83795506	83795599	83788329	83788486	83796109	83796229
1449	"ENSG00000140367.11_2"	"UBE2Q2"	chr15	+	76165768	76165909	76171438	76171529	76161291	76161351	76175706	76175765
1484	"ENSG00000114757.18_2"	"PEX5L"	chr3	-	179605460	179605572	179615929	179616034	179597716	179597911	179689381	179689453
1511	"ENSG00000143776.18_2"	"CDC42BPA"	chr1	-	227239581	227239686	227256354	227256402	227235627	227235711	227257477	227257554
1513	"ENSG00000143776.18_2"	"CDC42BPA"	chr1	-	227247073	227247112	227256354	227256402	227235627	227235711	227257477	227257554
1595	"ENSG00000107518.16_2"	"ATRNL1"	chr10	+	116975454	116975638	117001359	117001514	116930794	116931050	117024669	117024754
1596	"ENSG00000107518.16_2"	"ATRNL1"	chr10	+	117075027	117075246	117093791	117093929	117061364	117061553	117154168	117154262
1626	"ENSG00000138069.16_1"	"RAB1A"	chr2	-	65318116	65318212	65325104	65325200	65316072	65316204	65331867	65331940
1627	"ENSG00000174501.10"	"ANKRD36C"	chr2	-	96551963	96551992	96553839	96553868	96551795	96551868	96555546	96555619
1629	"ENSG00000174501.10"	"ANKRD36C"	chr2	-	96624504	96624533	96626386	96626415	96624338	96624411	96628099	96628172
1630	"ENSG00000174501.10"	"ANKRD36C"	chr2	-	96624504	96624533	96628266	96628295	96624338	96624411	96643869	96643937
1631	"ENSG00000174501.10"	"ANKRD36C"	chr2	-	96626220	96626293	96628099	96628172	96624504	96624533	96628266	96628295
1639	"ENSG00000153982.10_2"	"GDPD1"	chr17	+	57335111	57335201	57344401	57344535	57326100	57326146	57348296	57348356
1640	"ENSG00000144674.16_2"	"GOLGA4"	chr3	+	37292885	37292975	37315026	37315092	37284742	37285113	37323448	37323763
1661	"ENSG00000100722.18_1"	"ZC3H14"	chr14	+	89044328	89044484	89063077	89063152	89042183	89042284	89068267	89068427
1662	"ENSG00000100722.18_1"	"ZC3H14"	chr14	+	89044328	89044484	89063077	89063152	89042183	89042284	89073586	89073707
1675	"ENSG00000126432.13_1"	"PRDX5"	chr11	+	64087205	64087340	64088132	64088264	64085559	64085858	64088336	64088375
1681	"ENSG00000162687.16_1"	"KCNT2"	chr1	-	196342269	196342378	196367692	196367801	196311208	196311358	196392179	196392243
1682	"ENSG00000273025.1_2"	"RP11-106M3.5"	chr15	-	72580878	72580959	72581208	72581271	72580648	72580792	72581478	72581628
1756	"ENSG00000116793.15_2"	"PHTF1"	chr1	-	114255900	114256060	114267380	114267515	114254561	114254735	114269039	114269196
1784	"ENSG00000112320.11_1"	"SOBP"	chr6	+	107854662	107854814	107908283	107908379	107827445	107827631	107954717	107956673
1801	"ENSG00000197555.9_2"	"SIPA1L1"	chr14	+	71867510	71867635	71880664	71880731	71846211	71846315	71979459	71979562
1857	"ENSG00000258704.6_2"	"SRP54-AS1"	chr14	-	35403222	35403337	35433134	35433246	35390815	35390919	35438375	35438513
1861	"ENSG00000109107.13_2"	"ALDOC"	chr17	-	26901084	26901259	26901511	26901595	26900752	26900952	26901713	26901874
1887	"ENSG00000099917.17_2"	"MED15"	chr22	+	20907431	20907461	20909222	20909435	20905693	20905774	20918736	20918975
2002	"ENSG00000166575.16_2"	"TMEM135"	chr11	+	86778735	86778863	86782564	86782657	86748885	86749228	86802403	86802437
2009	"ENSG00000101746.15_2"	"NOL4"	chr18	-	31463207	31463388	31523028	31523142	31432413	31432999	31538202	31538382
2034	"ENSG00000138658.15_2"	"ZGRF1"	chr4	-	113524679	113524853	113527163	113527247	113510785	113511030	113530534	113530585
2035	"ENSG00000138658.15_2"	"ZGRF1"	chr4	-	113527163	113527247	113530534	113530585	113524679	113524853	113533679	113533744
2050	"ENSG00000229425.2_1"	"AJ006998.2"	chr21	-	16772816	16772868	16839606	16839699	16767781	16767816	16850106	16850175
2083	"ENSG00000143850.13_2"	"PLEKHA6"	chr1	-	204224753	204224807	204225929	204226016	204220658	204220739	204226480	204226997
2115	"ENSG00000111879.18_2"	"FAM184A"	chr6	-	119282925	119283128	119285831	119285936	119280993	119281349	119287999	119288117
2178	"ENSG00000119661.14_1"	"DNAL1"	chr14	+	74128689	74128745	74138244	74138300	74121549	74121588	74153961	74154088
2257	"ENSG00000197548.12_1"	"ATG7"	chr3	+	11340835	11340890	11348416	11348534	11340159	11340329	11350457	11350535
2297	"ENSG00000138380.17_2"	"CARF"	chr2	+	203846277	203846408	203846794	203847164	203841991	203842055	203848228	203848365
