ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
25	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20425494	20426330	20425494	20425588	20425828	20426330
26	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67163382	67163646	67163382	67163492	67163581	67163646
31	"ENSG00000096080.11_2"	"MRPS18A"	chr6	-	43642938	43643354	43642938	43643008	43643230	43643354
43	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52752733	52753410	52752733	52752804	52753288	52753410
79	"ENSG00000261052.5_2"	"SULT1A3"	chr16	+	30214010	30214327	30214010	30214137	30214232	30214327
81	"ENSG00000090857.13_1"	"PDPR"	chr16	+	70162686	70163025	70162686	70162768	70162861	70163025
93	"ENSG00000149100.12_2"	"EIF3M"	chr11	+	32615411	32616559	32615411	32615495	32616459	32616559
152	"ENSG00000001631.15_2"	"KRIT1"	chr7	-	91864716	91865856	91864716	91864960	91865726	91865856
158	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1012064	1012572	1012064	1012187	1012461	1012572
162	"ENSG00000217128.11_2"	"FNIP1"	chr5	-	131007197	131008617	131007197	131008354	131008378	131008617
180	"ENSG00000214946.13_2"	"TBC1D26"	chr17	+	15640797	15641701	15640797	15640837	15641593	15641701
266	"ENSG00000163913.11_2"	"IFT122"	chr3	+	129233231	129234442	129233231	129233397	129234330	129234442
275	"ENSG00000110011.13_2"	"DNAJC4"	chr11	+	64001365	64001753	64001365	64001452	64001544	64001753
306	"ENSG00000213339.8_2"	"QTRT1"	chr19	+	10822836	10823304	10822836	10822975	10823228	10823304
330	"ENSG00000141644.17_1"	"MBD1"	chr18	-	47803031	47803368	47803031	47803114	47803201	47803368
384	"ENSG00000102786.14_2"	"INTS6"	chr13	-	51957464	51957877	51957464	51957597	51957724	51957877
391	"ENSG00000168894.9_1"	"RNF181"	chr2	+	85824226	85824704	85824226	85824301	85824567	85824704
419	"ENSG00000109171.14_1"	"SLAIN2"	chr4	+	48384584	48384944	48384584	48384656	48384744	48384944
445	"ENSG00000118495.18_1"	"PLAGL1"	chr6	-	144285923	144287367	144285923	144285955	144287294	144287367
526	"ENSG00000244045.11_2"	"TMEM199"	chr17	+	26687551	26687870	26687551	26687594	26687757	26687870
527	"ENSG00000244045.11_2"	"TMEM199"	chr17	+	26687551	26687870	26687551	26687599	26687757	26687870
531	"ENSG00000115042.9_2"	"FAHD2A"	chr2	+	96076274	96076774	96076274	96076334	96076611	96076774
541	"ENSG00000148444.15_2"	"COMMD3"	chr10	+	22607200	22607642	22607200	22607235	22607581	22607642
542	"ENSG00000148444.15_2"	"COMMD3"	chr10	+	22607200	22607947	22607200	22607235	22607887	22607947
549	"ENSG00000122557.9_2"	"HERPUD2"	chr7	-	35733793	35734745	35733793	35734237	35734410	35734745
551	"ENSG00000063015.19_2"	"SEZ6"	chr17	-	27283736	27283775	27283736	27283763	27283764	27283775
604	"ENSG00000105650.21_1"	"PDE4C"	chr19	-	18331212	18331988	18331212	18331325	18331914	18331988
688	"ENSG00000213930.11_2"	"GALT"	chr9	+	34647488	34647702	34647488	34647564	34647653	34647702
720	"ENSG00000131051.21_2"	"RBM39"	chr20	-	34326889	34328809	34326889	34326939	34328745	34328809
777	"ENSG00000163214.20_2"	"DHX57"	chr2	-	39081195	39082394	39081195	39081320	39082198	39082394
812	"ENSG00000156475.18_2"	"PPP2R2B"	chr5	-	146257564	146258348	146257564	146257758	146258263	146258348
856	"ENSG00000088387.18_2"	"DOCK9"	chr13	-	99508151	99512776	99508151	99508285	99512658	99512776
875	"ENSG00000198919.12_2"	"DZIP3"	chr3	+	108366789	108367809	108366789	108366959	108367764	108367809
890	"ENSG00000143416.20_2"	"SELENBP1"	chr1	-	151337664	151338160	151337664	151337757	151338038	151338160
891	"ENSG00000143416.20_2"	"SELENBP1"	chr1	-	151337664	151338160	151337664	151337714	151338081	151338160
892	"ENSG00000143416.20_2"	"SELENBP1"	chr1	-	151338243	151338929	151338243	151338322	151338750	151338929
982	"ENSG00000110888.17_2"	"CAPRIN2"	chr12	-	30867892	30869610	30867892	30868015	30869441	30869610
983	"ENSG00000110888.17_2"	"CAPRIN2"	chr12	-	30867892	30869610	30867892	30868075	30869441	30869610
984	"ENSG00000110888.17_2"	"CAPRIN2"	chr12	-	30867892	30869610	30867892	30868078	30869441	30869610
1002	"ENSG00000107404.18_2"	"DVL1"	chr1	-	1274666	1275029	1274666	1274819	1274961	1275029
1027	"ENSG00000109572.13_2"	"CLCN3"	chr4	+	170618339	170618885	170618339	170618430	170618511	170618885
1040	"ENSG00000161813.21_2"	"LARP4"	chr12	+	50835372	50835426	50835372	50835378	50835380	50835426
1068	"ENSG00000117410.13_2"	"ATP6V0B"	chr1	+	44442697	44443967	44442697	44442888	44443652	44443967
1165	"ENSG00000104783.11_1"	"KCNN4"	chr19	-	44278343	44278771	44278343	44278501	44278712	44278771
1209	"ENSG00000197381.15_2"	"ADARB1"	chr21	+	46641932	46646475	46641932	46642022	46645461	46646475
1210	"ENSG00000197381.15_2"	"ADARB1"	chr21	+	46641932	46646475	46641932	46643492	46645461	46646475
1244	"ENSG00000169660.15_2"	"HEXDC"	chr17	+	80398872	80399142	80398872	80398946	80399028	80399142
1245	"ENSG00000169660.15_2"	"HEXDC"	chr17	+	80398872	80399142	80398872	80398946	80399040	80399142
1246	"ENSG00000169660.15_2"	"HEXDC"	chr17	+	80398872	80399142	80398872	80398951	80399040	80399142
1331	"ENSG00000167522.14_2"	"ANKRD11"	chr16	-	89353070	89355078	89353070	89353521	89354935	89355078
1362	"ENSG00000021461.16_1"	"CYP3A43"	chr7	+	99445110	99445877	99445110	99445224	99445788	99445877
1363	"ENSG00000021461.16_1"	"CYP3A43"	chr7	+	99445110	99445877	99445110	99445237	99445788	99445877
1364	"ENSG00000021461.16_1"	"CYP3A43"	chr7	+	99445110	99445877	99445110	99445282	99445788	99445877
1401	"ENSG00000197121.14_1"	"PGAP1"	chr2	-	197711726	197712761	197711726	197711924	197712670	197712761
1443	"ENSG00000198951.11_1"	"NAGA"	chr22	-	42466285	42466834	42466285	42466370	42466766	42466834
1455	"ENSG00000143224.17_1"	"PPOX"	chr1	+	161140696	161140971	161140696	161140739	161140823	161140971
1614	"ENSG00000010322.15_1"	"NISCH"	chr3	+	52511589	52512298	52511589	52511658	52512112	52512298
1650	"ENSG00000198874.12_1"	"TYW1"	chr7	+	66532271	66532390	66532271	66532321	66532322	66532390
1655	"ENSG00000164066.12_1"	"INTU"	chr4	+	128606596	128609022	128606596	128606724	128608895	128609022
1704	"ENSG00000224081.8_1"	"LINC01057"	chr1	-	95088274	95090165	95088274	95088456	95089081	95090165
1705	"ENSG00000224081.8_1"	"LINC01057"	chr1	-	95088274	95090165	95088274	95088456	95089434	95090165
1706	"ENSG00000119509.12_2"	"INVS"	chr9	+	103054607	103055325	103054607	103054718	103055228	103055325
1707	"ENSG00000076864.19_2"	"RAP1GAP"	chr1	-	21925986	21926110	21925986	21926068	21926073	21926110
1708	"ENSG00000076864.19_2"	"RAP1GAP"	chr1	-	21929296	21930405	21929296	21929406	21930150	21930405
1709	"ENSG00000076864.19_2"	"RAP1GAP"	chr1	-	21929296	21930405	21929296	21929406	21930327	21930405
1739	"ENSG00000102316.16_1"	"MAGED2"	chrX	+	54837253	54837562	54837253	54837337	54837478	54837562
1760	"ENSG00000151490.13_2"	"PTPRO"	chr12	+	15747870	15750333	15747870	15747991	15749023	15750333
1761	"ENSG00000143889.15_2"	"HNRNPLL"	chr2	-	38829579	38830178	38829579	38829742	38829998	38830178
1805	"ENSG00000226476.3_1"	"RP11-776H12.1"	chr1	-	61061209	61062045	61061209	61061371	61061920	61062045
1848	"ENSG00000146576.12_1"	"C7orf26"	chr7	+	6639459	6639987	6639459	6639523	6639757	6639987
1857	"ENSG00000159214.12_1"	"CCDC24"	chr1	+	44457518	44458059	44457518	44457676	44457824	44458059
1858	"ENSG00000159214.12_1"	"CCDC24"	chr1	+	44457518	44458059	44457518	44457676	44457883	44458059
1859	"ENSG00000159214.12_1"	"CCDC24"	chr1	+	44459561	44460834	44459561	44459636	44460779	44460834
1870	"ENSG00000186815.12_2"	"TPCN1"	chr12	+	113729678	113730878	113729678	113729763	113730738	113730878
1872	"ENSG00000132424.14_1"	"PNISR"	chr6	-	99851704	99852578	99851704	99851758	99852478	99852578
1885	"ENSG00000005238.19_1"	"FAM214B"	chr9	-	35107377	35108346	35107377	35107565	35108124	35108346
1887	"ENSG00000173588.14_2"	"CEP83"	chr12	-	94806093	94806367	94806093	94806205	94806292	94806367
1956	"ENSG00000224078.12_2"	"SNHG14"	chr15	+	25448698	25449447	25448698	25448743	25449316	25449447
1974	"ENSG00000013306.15_2"	"SLC25A39"	chr17	-	42398425	42398926	42398425	42398599	42398801	42398926
1978	"ENSG00000169402.15_1"	"RSPH10B2"	chr7	+	6796987	6797562	6796987	6797107	6797223	6797562
1983	"ENSG00000181513.14_1"	"ACBD4"	chr17	+	43213866	43214143	43213866	43213987	43214058	43214143
2013	"ENSG00000151092.16_1"	"NGLY1"	chr3	-	25777799	25778946	25777799	25777891	25778824	25778946
2109	"ENSG00000197386.10_1"	"HTT"	chr4	+	3189377	3190820	3189377	3189613	3190677	3190820
2144	"ENSG00000148303.16_1"	"RPL7A"	chr9	+	136217094	136217582	136217094	136217174	136217451	136217582
2202	"ENSG00000118762.7_1"	"PKD2"	chr4	+	88986525	88987031	88986525	88986647	88986913	88987031
2214	"ENSG00000119760.15_1"	"SUPT7L"	chr2	-	27883850	27885148	27883850	27884255	27885045	27885148
2215	"ENSG00000119760.15_1"	"SUPT7L"	chr2	-	27883850	27885148	27883850	27884468	27885045	27885148
2225	"ENSG00000198720.12_2"	"ANKRD13B"	chr17	+	27934759	27935128	27934759	27934895	27935003	27935128
2255	"ENSG00000108349.15_2"	"CASC3"	chr17	+	38319733	38320419	38319733	38319855	38320138	38320419
2278	"ENSG00000168481.8_1"	"LGI3"	chr8	-	22011654	22013022	22011654	22011726	22012904	22013022
2318	"ENSG00000283189.1_1"	"RP11-949J7.8"	chr3	-	49458924	49462871	49458924	49459005	49462799	49462871
2337	"ENSG00000124784.8_1"	"RIOK1"	chr6	+	7402835	7403130	7402835	7402948	7403049	7403130
2405	"ENSG00000111218.11_2"	"PRMT8"	chr12	+	3659101	3662880	3659101	3659257	3662816	3662880
2445	"ENSG00000117115.12_1"	"PADI2"	chr1	-	17401350	17402318	17401350	17401444	17402173	17402318
2473	"ENSG00000065357.19_2"	"DGKA"	chr12	+	56347133	56347805	56347133	56347194	56347468	56347805
2566	"ENSG00000165810.16_1"	"BTNL9"	chr5	+	180482432	180483015	180482432	180482453	180482988	180483015
2580	"ENSG00000152556.15_2"	"PFKM"	chr12	+	48516429	48516642	48516429	48516460	48516549	48516642
2668	"ENSG00000171456.16_2"	"ASXL1"	chr20	+	31015930	31016225	31015930	31016051	31016127	31016225
2671	"ENSG00000167995.15_1"	"BEST1"	chr11	+	61722578	61723423	61722578	61722673	61723189	61723423
2672	"ENSG00000167995.15_1"	"BEST1"	chr11	+	61725617	61727050	61725617	61725770	61726969	61727050
2673	"ENSG00000167995.15_1"	"BEST1"	chr11	+	61725617	61727050	61725617	61725973	61726969	61727050
2678	"ENSG00000165458.13_2"	"INPPL1"	chr11	+	71939770	71939891	71939770	71939830	71939832	71939891
2687	"ENSG00000114021.11_1"	"NIT2"	chr3	+	100064428	100065099	100064428	100064522	100065024	100065099
2692	"ENSG00000171824.13_1"	"EXOSC10"	chr1	-	11136898	11137708	11136898	11137005	11137657	11137708
2765	"ENSG00000222009.8_1"	"BTBD19"	chr1	+	45278667	45278941	45278667	45278736	45278809	45278941
2799	"ENSG00000189171.14_2"	"S100A13"	chr1	-	153598795	153600074	153598795	153599009	153599958	153600074
2810	"ENSG00000132563.15_2"	"REEP2"	chr5	+	137780916	137781064	137780916	137781015	137781017	137781064
2841	"ENSG00000100284.20_2"	"TOM1"	chr22	+	35719488	35719623	35719488	35719614	35719615	35719623
2868	"ENSG00000176293.19_1"	"ZNF135"	chr19	+	58578108	58580773	58578108	58578935	58579775	58580773
2908	"ENSG00000115275.11_2"	"MOGS"	chr2	-	74692022	74692537	74692022	74692114	74692440	74692537
2932	"ENSG00000039650.10_2"	"PNKP"	chr19	-	50364705	50365138	50364705	50364767	50364864	50365138
2935	"ENSG00000260669.2_2"	"AL136419.6"	chr14	-	24684757	24685003	24684757	24684868	24684942	24685003
2962	"ENSG00000009413.15_2"	"REV3L"	chr6	-	111803952	111804432	111803952	111804134	111804392	111804432
2976	"ENSG00000214548.14_2"	"MEG3"	chr14	+	101295370	101297871	101295370	101296086	101297757	101297871
2995	"ENSG00000159459.11_2"	"UBR1"	chr15	-	43317571	43318861	43317571	43317627	43318758	43318861
3005	"ENSG00000163395.16_2"	"IGFN1"	chr1	+	201175210	201182749	201175210	201175262	201182633	201182749
3082	"ENSG00000156976.15_2"	"EIF4A2"	chr3	+	186502352	186503840	186502352	186502485	186503671	186503840
3122	"ENSG00000120885.20_2"	"CLU"	chr8	-	27455976	27457526	27455976	27456152	27457296	27457526
3123	"ENSG00000120885.20_2"	"CLU"	chr8	-	27462440	27462852	27462440	27462586	27462688	27462852
3170	"ENSG00000168010.10_2"	"ATG16L2"	chr11	+	72539403	72539821	72539403	72539553	72539773	72539821
3179	"ENSG00000196118.11_2"	"CCDC189"	chr16	-	30770662	30771045	30770662	30770779	30770974	30771045
3180	"ENSG00000196118.11_2"	"CCDC189"	chr16	-	30770662	30771045	30770662	30770878	30770974	30771045
3181	"ENSG00000196118.11_2"	"CCDC189"	chr16	-	30771604	30771989	30771604	30771774	30771926	30771989
3261	"ENSG00000123636.17_2"	"BAZ2B"	chr2	-	160261359	160261421	160261359	160261412	160261413	160261421
3263	"ENSG00000112425.13_1"	"EPM2A"	chr6	-	146007257	146007432	146007257	146007282	146007375	146007432
3297	"ENSG00000174483.19_2"	"BBS1"	chr11	+	66299126	66299690	66299126	66299213	66299421	66299690
3302	"ENSG00000149091.15_2"	"DGKZ"	chr11	+	46400006	46400661	46400006	46400050	46400443	46400661
3303	"ENSG00000149091.15_2"	"DGKZ"	chr11	+	46400006	46400661	46400006	46400050	46400540	46400661
3320	"ENSG00000234741.7_1"	"GAS5"	chr1	-	173833621	173833842	173833621	173833644	173833812	173833842
3376	"ENSG00000100359.20_2"	"SGSM3"	chr22	+	40803020	40803332	40803020	40803075	40803204	40803332
3377	"ENSG00000100359.20_2"	"SGSM3"	chr22	+	40803020	40803572	40803020	40803332	40803416	40803572
3475	"ENSG00000169738.7_2"	"DCXR"	chr17	-	79994066	79994639	79994066	79994519	79994596	79994639
3491	"ENSG00000148688.13_1"	"RPP30"	chr10	+	92654531	92655240	92654531	92654648	92655210	92655240
3579	"ENSG00000092068.19_2"	"SLC7A8"	chr14	-	23607129	23607233	23607129	23607138	23607140	23607233
3596	"ENSG00000144815.15_2"	"NXPE3"	chr3	+	101535638	101535845	101535638	101535748	101535749	101535845
3634	"ENSG00000161939.18_2"	"RNASEK-C17orf49"	chr17	+	6917463	6918475	6917463	6917596	6918380	6918475
3635	"ENSG00000161939.18_2"	"RNASEK-C17orf49"	chr17	+	6917463	6918475	6917463	6918197	6918380	6918475
3657	"ENSG00000142534.6_2"	"RPS11"	chr19	+	50000450	50001303	50000450	50000852	50001173	50001303
3672	"ENSG00000160310.16_1"	"PRMT2"	chr21	+	48080744	48081848	48080744	48080874	48081711	48081848
3683	"ENSG00000115307.16_1"	"AUP1"	chr2	-	74755877	74756409	74755877	74756062	74756258	74756409
3690	"ENSG00000127914.16_2"	"AKAP9"	chr7	+	91669987	91671095	91669987	91670170	91670172	91671095
3691	"ENSG00000148337.20_2"	"CIZ1"	chr9	-	130940987	130941694	130940987	130941183	130941267	130941694
3692	"ENSG00000148337.20_2"	"CIZ1"	chr9	-	130940987	130941694	130940987	130941183	130941351	130941694
3693	"ENSG00000148337.20_2"	"CIZ1"	chr9	-	130940987	130941694	130940987	130941183	130941522	130941694
