ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151891	73152065	73151258	73151440	0	170,0,0,0,1,0,0,0,7,0,48,0,69,0,4,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13	0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,1.0,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0	0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	0.111
2	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74189658	74190090	74189658	74189849	74190397	74190528	2	0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0	0,0,0,2,0,0,90,0,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0	0,0,0,0,0,0,0,23,0,37,3,0,0,25,0,20,44,0,0,0	0,0,0,0,0,0,0,0,8,0,29,0,0,0,0,0,0,0,0,0	300	150	1	1.0	NA,NA,NA,0.0,NA,1.0,0.0,1.0,0.2,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,0.049,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA	-0.264
3	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30018105	30018269	30018176	30018269	30017916	30017998	3	336,9,10,50,147,155,0,217,154,0,64,1,153,126,136,104,231,29,92,130,115,1,78,28	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	156,76,0,123,22,0,14,5,119,135,72,0,186,32,0,17,26,95,0,0	0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0	220	150	1	1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,0.78,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,NA,NA	0.016
5	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021661	30021593	30021661	30020798	30020878	5	55,0,9,92,76,95,188,171,53,8,15,48,27,125,25,0,0,0,21,97,0,19,19,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0	156,149,62,8,60,0,0,34,24,95,330,0,0,89,1,58,197,0,0,0	0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0	300	150	1	1.0	1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,1.0,0.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,0.857,1.0,0.902,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA	-0.031
6	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30022219	30022310	30022223	30022310	30021281	30021347	6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-1.0
9	"ENSG00000085511.19_2"	"MAP3K4"	chr6	+	161514804	161514883	161514804	161514871	161518111	161518208	9	0,0,0,8,19,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0	0,0,0,0,49,0,1,21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	41,0,0,0,17,0,0,0,0,0,10,0,0,34,0,27,2,0,23,0	96,0,0,0,0,0,0,1,0,0,34,0,0,57,0,19,0,0,0,0	161	150	1	1.0	NA,NA,NA,1.0,0.265,NA,0.0,0.554,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	0.285,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,0.215,NA,NA,0.357,NA,0.57,1.0,NA,1.0,NA	-0.084
13	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73974871	73975209	73975045	73975209	73974614	73974774	13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0	62,2,0,13,0,174,20,127,1,0,0,0,24,0,41,0,0,55,23,0,64,0,11,0	123,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0	52,17,22,24,9,13,10,0,0,48,66,0,56,0,0,0,0,0,0,0	300	150	1	1.0	0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,NA,0.0,NA,NA,0.0,0.0,NA,0.0,NA,0.154,NA	0.542,0.0,0.0,0.0,0.25,0.0,0.0,NA,NA,0.0,0.0,NA,0.0,NA,NA,NA,1.0,NA,NA,NA	-0.151
14	"ENSG00000135502.17_2"	"SLC26A10"	chr12	+	58019018	58019113	58019018	58019101	58019192	58019247	14	0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	161	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.25
15	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57869558	57869714	57869615	57869714	57869265	57869398	15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0	206	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0
19	"ENSG00000153253.15_2"	"SCN3A"	chr2	-	165997160	165997508	165997307	165997508	165995985	165996118	19	46,0,0,0,0,36,0,0,0,27,0,0,12,31,79,0,89,0,53,162,148,46,19,0	0,0,0,0,3,0,0,0,6,0,0,0,0,0,81,11,0,0,42,0,0,0,8,0	61,33,0,1,21,0,0,0,25,7,11,0,0,9,0,6,0,0,0,0	0,0,0,0,0,44,21,0,0,0,0,0,0,0,0,0,71,0,0,0	296	150	1	1.0	1.0,NA,NA,NA,0.0,1.0,NA,NA,0.0,1.0,NA,NA,1.0,1.0,0.331,0.0,1.0,NA,0.39,1.0,1.0,1.0,0.546,NA	1.0,1.0,NA,1.0,1.0,0.0,0.0,NA,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,0.0,NA,NA,NA	-0.066
