ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151550	73151721	73151891	73152065	1	0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,159,0,0,0,0,0,1,0	151,0,0,0,0,0,0,0,0,0	0,0,0,0,0,30,0,0,0,0	320	150	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,1.0,NA,NA,0.0,NA	1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	-0.167
9	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632035	35632476	35632035	35632110	35632439	35632476	9	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,173,0,0,0,0,133,0,0	0,0,0,0,0,0,130,0,0,0	0,0,0,0,0,0,9,0,87,0	479	150	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.819,NA,0.0,NA	-0.409
10	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35633623	35633954	35633623	35633675	35633820	35633954	10	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,114,1,0,0	116,0,0,0,0,0,8,0,25,0	295	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	0.0,NA,NA,NA,NA,NA,0.879,1.0,0.0,NA	0.53
11	"ENSG00000269858.5_2"	"EGLN2"	chr19	+	41313042	41313456	41313042	41313179	41313388	41313456	11	0,40,0,0,0,0,0,0,18,0,0,0,0	0,0,0,0,144,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,87,0	0,0,0,0,0,8,178,111,0,0	359	150	1	1.0	NA,1.0,NA,NA,0.0,0.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,0.0,0.0,1.0,NA	0.25
15	"ENSG00000174177.12_1"	"CTU2"	chr16	+	88780790	88781145	88780790	88780894	88780994	88781145	15	0,60,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,71,0,0,0,0	250	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
17	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36075310	36075445	36075310	36075321	36075322	36075445	17	0,0,0,0,0,36,0,0,8,139,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,88,69,0,0,0,48	0,0,0,0,0,1,0,0,0,0	151	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,0.986,NA,NA,NA,1.0	0.005
18	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57484404	57484634	57484404	57484478	57484575	57484634	18	4,0,0,0,0,0,0,0,0,0,0,0,0	58,442,29,355,0,535,1,13,64,0,1672,221,2	0,0,0,0,0,0,0,0,94,0	87,80,0,1,0,311,615,142,432,47	247	150	1	1.0	0.04,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0	0.0,0.0,NA,0.0,NA,0.0,0.0,0.0,0.117,0.0	-0.011
23	"ENSG00000004660.14_1"	"CAMKK1"	chr17	-	3784920	3785858	3784920	3784942	3785821	3785858	23	0,127,0,0,0,16,0,0,0,0,0,0,0	0,7,0,0,0,25,0,0,4,0,207,0,0	492,0,0,0,0,109,0,0,1,0	2,0,0,0,0,0,3,0,0,0	1029	150	1	1.0	NA,0.726,NA,NA,NA,0.085,NA,NA,0.0,NA,0.0,NA,NA	0.973,NA,NA,NA,NA,1.0,0.0,NA,1.0,NA	-0.54
25	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20425494	20426330	20425494	20425588	20425828	20426330	25	2,43,0,603,0,0,0,22,6,0,0,10,0	0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,102,0,0,2	0,0,0,0,0,0,0,0,0,0	390	150	1	1.0	1.0,1.0,NA,0.996,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0	-0.001
30	"ENSG00000081760.16_2"	"AACS"	chr12	+	125609250	125609570	125609250	125609315	125609447	125609570	30	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,113,0,0,0,0,0,0,0,0,0	152,0,0,0,0,0,6,0,0,0	0,0,0,0,0,0,0,2,0,0	282	150	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,1.0,0.0,NA,NA	-0.667
