ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000254456.5_1"	"RP11-405K6.1"	chr11	+	25762022	25762107	25792017	25792115	25756316	25756416	25799240	25799338
1	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	167299	167374	169124	169254	162620	162774	180520	180590
2	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	173505	173544	174935	175072	169124	169254	180520	180590
3	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73956295	73956456	73969705	73969866	73953539	73953647	73974614	73974774
4	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867385	57867491	57867824	57867959	57866046	57866471	57868205	57868259
5	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867824	57867959	57868205	57868259	57867385	57867491	57868408	57868486
6	"ENSG00000135622.12_1"	"SEMA4F"	chr2	+	74884979	74885078	74889858	74889952	74884691	74884751	74900583	74900703
7	"ENSG00000187634.11_2"	"SAMD11"	chr1	+	874654	874840	876523	876686	874419	874509	877515	877631
8	"ENSG00000153253.15_2"	"SCN3A"	chr2	-	166020127	166020219	166020311	166020403	166019065	166019338	166020901	166021030
9	"ENSG00000279094.3_1"	"CH507-24F1.1"	chrGL000205.1	+	36337	36389	36420	36432	33983	34016	36586	36631
10	"ENSG00000178568.14_2"	"ERBB4"	chr2	-	212522478	212522553	212522674	212522719	212495186	212495319	212530047	212530202
11	"ENSG00000182050.13_2"	"MGAT4C"	chr12	-	86416226	86416322	86421865	86421985	86383177	86383330	86443451	86443501
12	"ENSG00000182050.13_2"	"MGAT4C"	chr12	-	86416226	86416322	86421881	86421982	86383177	86383330	86443451	86443501
13	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41975629	41975748	41981797	41981861	41960570	41960723	41984841	41984904
14	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17865125	17865170	17865884	17866000	17858526	17858623	17873570	17873662
15	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110385060	110385309	110389016	110389121	110376969	110377052	110390896	110391039
16	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403564	110403570	110405118	110405124	110403330	110403382	110405262	110405308
17	"ENSG00000130158.13_1"	"DOCK6"	chr19	-	11339973	11340066	11342860	11342965	11339615	11339711	11343878	11344042
18	"ENSG00000024048.10_1"	"UBR2"	chr6	+	42584977	42585076	42585146	42585245	42583739	42583828	42600289	42600453
19	"ENSG00000004777.18_2"	"ARHGAP33"	chr19	+	36269365	36269503	36269556	36269601	36269181	36269262	36269933	36270026
20	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70245146	70245263	70259264	70259387	70223817	70224020	70278334	70278437
21	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70280862	70280924	70282787	70283042	70278334	70278437	70286774	70286812
22	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70280862	70280924	70282845	70283042	70278334	70278437	70286774	70286812
23	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70304432	70304513
24	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70310638	70310819
25	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70312678	70312756
26	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310638	70310819	70278334	70278437	70312678	70312756
27	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310669	70310819	70278334	70278437	70312678	70312756
28	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70278334	70278437	70312678	70312756
29	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310669	70310819	70278334	70278437	70312678	70312756
30	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70304432	70304513	70282845	70283042	70310638	70310819
31	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70282845	70283042	70312678	70312756
32	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70304432	70304513	70308501	70308622	70286774	70286812	70310669	70310819
