ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867824	57867959	57868205	57868259	57867385	57867491	57868408	57868486	5	0,0,0,0,0,0,0,0,0,0,0,92,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,26,0,0,0,0	203	284	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
10	"ENSG00000178568.14_2"	"ERBB4"	chr2	-	212522478	212522553	212522674	212522719	212495186	212495319	212530047	212530202	10	0,96,0,0,0,0,0,0,0,0,133,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,69,0,0,0	194	224	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.667
15	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110385060	110385309	110389016	110389121	110376969	110377052	110390896	110391039	15	0,33,0,0,0,0,0,0,1,0,112,0,0	0,86,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,31,0	0,0,0,0,0,0,0,0,0,0	254	300	1	1.0	NA,0.312,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.229
28	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70278334	70278437	70312678	70312756	28	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	187	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-0.367
29	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310669	70310819	70278334	70278437	70312678	70312756	29	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,3,0,0,0,18	0,0,0,0,0,0,0,0,0,0	299	187	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,1.0,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0	-0.367
31	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70282845	70283042	70312678	70312756	31	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	187	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-0.367
37	"ENSG00000135720.12_2"	"DYNC1LI2"	chr16	-	66776340	66776571	66783099	66783216	66769977	66770147	66785175	66785249	37	0,88,0,0,0,0,0,1,63,0,12,0,0	0,73,0,0,0,0,0,0,30,0,0,0,0	238,0,0,0,0,122,0,0,0,0	0,15,0,0,0,0,0,0,0,0	266	300	1	1.0	NA,0.576,NA,NA,NA,NA,NA,1.0,0.703,NA,1.0,NA,NA	1.0,0.0,NA,NA,NA,1.0,NA,NA,NA,NA	0.153
41	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241667805	241667829	241674135	241674162	241666242	241666357	241676479	241676585	41	3,19,0,233,0,0,0,0,2,0,0,1,0	0,0,0,1,0,0,0,0,0,0,0,0,0	0,466,0,0,0,0,139,150,0,0	0,0,0,0,0,50,361,0,1,0	176	173	1	1.0	1.0,1.0,NA,0.996,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,0.0,0.275,1.0,0.0,NA	0.544
43	"ENSG00000105197.10_2"	"TIMM50"	chr19	+	39973524	39973556	39976183	39976242	39972522	39972673	39976327	39976447	43	0,0,0,0,0,1,0,0,0,0,0,0,0	0,41,0,0,0,0,0,0,2,0,0,39,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	181	208	1	1.0	NA,0.0,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.25
48	"ENSG00000111540.15_1"	"RAB5B"	chr12	+	56383730	56383882	56384465	56384588	56380652	56380907	56385143	56385237	48	0,90,0,0,1,1,0,19,0,0,239,0,0	0,60,0,67,0,0,0,0,3,0,0,0,0	0,5,0,0,0,4,0,0,0,0	0,0,0,0,0,70,2,0,3,0	300	272	1	1.0	NA,0.576,NA,0.0,1.0,1.0,NA,1.0,0.0,NA,1.0,NA,NA	NA,1.0,NA,NA,NA,0.049,0.0,NA,0.0,NA	0.391
49	"ENSG00000204149.10_2"	"AGAP6"	chr10	+	51751435	51751504	51754154	51754189	51749067	51749136	51761755	51761856	49	0,0,0,0,0,0,0,0,0,0,0,0,0	11,71,0,0,0,0,0,0,0,0,0,0,0	0,359,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,0	218	184	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA	-0.99
50	"ENSG00000165525.17_1"	"NEMF"	chr14	-	50307435	50307584	50312857	50312983	50304856	50304924	50318280	50318383	50	0,89,0,0,0,0,0,0,0,0,0,159,0	0,62,0,0,4,4,0,0,0,0,3,0,0	0,0,0,0,0,8,98,0,0,0	0,0,0,0,0,0,150,0,327,0	275	298	1	1.0	NA,0.609,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,1.0,NA	NA,NA,NA,NA,NA,1.0,0.415,NA,0.0,NA	-0.15
52	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201693	99222951	99223131	99194774	99194903	99225806	99225914	52	59,55,0,0,0,0,0,0,6,431,340,19,0	0,0,0,0,0,0,0,0,0,0,0,0,0	42,0,0,0,34,53,34,57,0,0	0,0,0,0,0,57,0,0,0,0	300	221	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA	1.0,NA,NA,NA,1.0,0.407,1.0,1.0,NA,NA	0.119
53	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201696	99222951	99223131	99194774	99194903	99225806	99225914	53	59,55,0,0,0,0,0,0,6,431,340,19,0	0,0,0,0,0,0,0,0,0,0,0,0,0	42,0,0,0,34,53,34,57,0,0	0,0,0,0,0,57,0,0,0,0	300	224	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA	1.0,NA,NA,NA,1.0,0.41,1.0,1.0,NA,NA	0.118
54	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201696	99225806	99225914	99194774	99194903	99446934	99447087	54	0,123,0,0,0,50,0,19,0,0,775,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	220,0,0,0,0,97,33,1,5,0	0,0,0,0,0,57,0,0,0,0	257	224	1	1.0	NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,1.0,1.0,NA	1.0,NA,NA,NA,NA,0.597,1.0,1.0,1.0,NA	0.081
65	"ENSG00000116299.16_1"	"KIAA1324"	chr1	+	109716309	109716459	109727666	109727755	109716095	109716201	109730798	109730976	65	7,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,58,0,8,0,0	0,0,0,0,0,21,0,0,0,0	299	238	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.687,NA,1.0,NA,NA	-0.177
69	"ENSG00000132122.11_2"	"SPATA6"	chr1	-	48878781	48878823	48917223	48917272	48877135	48877260	48918665	48918803	69	0,2,0,0,0,132,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,153,0,0,0	0,0,0,0,0,0,22,0,0,0	198	191	1	1.0	NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA	0.13
74	"ENSG00000184313.19_2"	"MROH7"	chr1	+	55145563	55145718	55148328	55148467	55144935	55145112	55151930	55152121	74	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,27,0,0,0,0,0,30,0,251,0,0	0,0,0,0,0,0,0,0,111,0	0,0,0,0,0,0,228,0,0,0	300	288	1	1.0	NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA	-0.5
