query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	3.92e-14	131	56	14	0.25	0.107	KEGG:05012	keg	104	Parkinson disease	1	ENSG00000132388,ENSG00000176340,ENSG00000198695,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
1	TRUE	2.61e-13	120	56	13	0.232	0.108	KEGG:00190	keg	49	Oxidative phosphorylation	1	ENSG00000176340,ENSG00000198695,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
1	TRUE	2.97e-12	102	56	12	0.214	0.118	GO:0006119	BP	14	oxidative phosphorylation	1	ENSG00000176340,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
1	TRUE	2.22e-11	127	56	12	0.214	0.094	GO:0098800	CC	89	inner mitochondrial membrane protein complex	1	ENSG00000176340,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
1	TRUE	6.29e-11	75	56	10	0.179	0.133	GO:0042773	BP	68	ATP synthesis coupled electron transport	1	ENSG00000176340,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907
1	TRUE	7.21e-11	78	56	10	0.179	0.128	GO:0098803	CC	62	respiratory chain complex	1	ENSG00000176340,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907
1	TRUE	1.09e-10	213	32	11	0.344	0.052	KEGG:04714	keg	60	Thermogenesis	1	ENSG00000198695,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000228253
1	TRUE	7.54e-08	94	32	7	0.219	0.074	GO:1990204	CC	86	oxidoreductase complex	1	ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888
1	TRUE	2.65e-07	64	32	6	0.188	0.094	GO:0032981	BP	10	mitochondrial respiratory chain complex I assembly	1	ENSG00000198695,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888
1	TRUE	5.49e-07	42	56	6	0.107	0.143	GO:0050136	MF	9	NADH dehydrogenase (quinone) activity	1	ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907
