query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.98e-07	394	136	21	0.154	0.053	GO:0051960	BP	144	regulation of nervous system development	1	ENSG00000004399,ENSG00000058404,ENSG00000068903,ENSG00000072071,ENSG00000072518,ENSG00000088899,ENSG00000105245,ENSG00000105426,ENSG00000107130,ENSG00000107954,ENSG00000114554,ENSG00000124507,ENSG00000131409,ENSG00000141522,ENSG00000141551,ENSG00000146216,ENSG00000160469,ENSG00000165802,ENSG00000169992,ENSG00000171798,ENSG00000213923
1	TRUE	3.81e-07	241	125	16	0.128	0.066	GO:0044456	CC	69	synapse part	1	ENSG00000011347,ENSG00000072071,ENSG00000088899,ENSG00000105426,ENSG00000107954,ENSG00000124507,ENSG00000160469,ENSG00000165802,ENSG00000169992,ENSG00000171992,ENSG00000176884,ENSG00000181790,ENSG00000186642,ENSG00000186716,ENSG00000187902,ENSG00000197562
1	TRUE	1.18e-06	380	80	15	0.188	0.039	GO:0120039	BP	71	plasma membrane bounded cell projection morphogenesis	1	ENSG00000004399,ENSG00000058404,ENSG00000063660,ENSG00000072518,ENSG00000088899,ENSG00000105426,ENSG00000124507,ENSG00000141503,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000173898,ENSG00000175866,ENSG00000177169,ENSG00000181790
1	TRUE	1.18e-06	317	80	14	0.175	0.044	GO:0048667	BP	98	cell morphogenesis involved in neuron differentiation	1	ENSG00000004399,ENSG00000058404,ENSG00000063660,ENSG00000072518,ENSG00000088899,ENSG00000105426,ENSG00000141503,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000173898,ENSG00000175866,ENSG00000177169,ENSG00000181790
1	TRUE	1.34e-06	359	163	20	0.123	0.056	GO:0050767	BP	94	regulation of neurogenesis	1	ENSG00000004399,ENSG00000058404,ENSG00000068903,ENSG00000072518,ENSG00000088899,ENSG00000105245,ENSG00000105426,ENSG00000107130,ENSG00000107954,ENSG00000114554,ENSG00000124507,ENSG00000141522,ENSG00000141551,ENSG00000146216,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000174233,ENSG00000213923,ENSG00000277363
1	TRUE	1.83e-06	83	100	9	0.09	0.108	GO:0048167	BP	115	regulation of synaptic plasticity	1	ENSG00000011347,ENSG00000058404,ENSG00000107954,ENSG00000160469,ENSG00000165802,ENSG00000176884,ENSG00000181790,ENSG00000187902,ENSG00000197283
1	TRUE	2.05e-06	230	100	13	0.13	0.057	GO:0051962	BP	112	positive regulation of nervous system development	1	ENSG00000004399,ENSG00000058404,ENSG00000072071,ENSG00000072518,ENSG00000105245,ENSG00000107954,ENSG00000124507,ENSG00000131409,ENSG00000141551,ENSG00000146216,ENSG00000165802,ENSG00000169992,ENSG00000213923
1	TRUE	4.7e-06	65	108	8	0.074	0.123	GO:0014069	CC	151	postsynaptic density	1	ENSG00000088899,ENSG00000105426,ENSG00000107954,ENSG00000165802,ENSG00000176884,ENSG00000181790,ENSG00000186716,ENSG00000187902
1	TRUE	8.63e-06	279	101	13	0.129	0.047	GO:0022604	BP	102	regulation of cell morphogenesis	1	ENSG00000004399,ENSG00000058404,ENSG00000072518,ENSG00000088899,ENSG00000105426,ENSG00000114554,ENSG00000141551,ENSG00000146216,ENSG00000160469,ENSG00000165802,ENSG00000171798,ENSG00000175866,ENSG00000213923
1	TRUE	1.77e-05	362	117	15	0.128	0.041	GO:0004674	MF	72	protein serine/threonine kinase activity	1	ENSG00000058404,ENSG00000072518,ENSG00000105221,ENSG00000105613,ENSG00000130758,ENSG00000139625,ENSG00000141503,ENSG00000141551,ENSG00000146216,ENSG00000160469,ENSG00000165238,ENSG00000173020,ENSG00000177169,ENSG00000186716,ENSG00000213923
