ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000250159.6_1"	"RP11-381K20.2"	chr5	-	137223848	137223977	137194744	137194952	137224835	137225006
1	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93089732	93089891	93073005	93073284	93091350	93091491
2	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93091350	93091491	93073005	93073284	93101758	93101893
3	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93128275	93128422	93101758	93101893	93128976	93129009
4	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93128976	93129009	93101758	93101893	93131495	93131512
5	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93142714	93142775	93131495	93131549	93201954	93202184
6	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93239462	93239584	93202116	93202184	93250392	93250523
24	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191751	74191967	74190723	74190839	74192171	74192343
26	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191762	74191967	74190719	74190839	74192171	74192257
30	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021347	30020606	30020878	30021593	30021661
31	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021347	30020606	30020878	30022223	30022310
32	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021552	30020798	30020878	30022223	30022401
33	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021556	30020798	30020878	30022223	30022310
34	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021593	30021661	30020606	30020878	30022223	30022312
48	"ENSG00000085511.19_2"	"MAP3K4"	chr6	+	161455290	161455481	161412758	161413115	161469647	161471011
51	"ENSG00000085511.19_2"	"MAP3K4"	chr6	+	161488230	161488328	161469647	161471011	161491639	161491882
64	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21995199	21995303	21987790	21987911	21999790	21999817
65	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21995199	21995303	21987790	21987911	22033192	22033509
66	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21999790	21999817	21987790	21987911	22033192	22033387
95	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017007	36017254	36014184	36014453	36017521	36017580
96	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017007	36017254	36014184	36014453	36020765	36020908
97	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36014184	36014453	36020765	36020908
99	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36017007	36017254	36020765	36020908
101	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36020765	36020908	36017521	36017580	36047600	36047698
102	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36048331	36048471	36047600	36047698	36053627	36053675
103	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36075310	36075445	36067619	36069900	36081837	36081901
104	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36162080	36162263	36160952	36161127	36163086	36163122
109	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57470666	57470739	57466356	57466920	57478585	57478640
132	"ENSG00000135502.17_2"	"SLC26A10"	chr12	+	58016569	58016717	58016341	58016424	58016806	58016920
139	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239656008	239656107	239549864	239550527	239708940	239709049
140	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239795523	239795586	239708940	239709049	239841485	239841588
142	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239990152	239990381	239882095	239882199	239990551	239990678
143	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239990551	239990678	239841485	239841588	240070732	240071080
152	"ENSG00000140395.8_2"	"WDR61"	chr15	-	78580630	78580724	78570549	78570643	78581960	78581979
155	"ENSG00000004660.14_1"	"CAMKK1"	chr17	-	3784920	3784942	3783639	3783728	3785821	3785858
156	"ENSG00000004660.14_1"	"CAMKK1"	chr17	-	3784920	3785858	3782124	3783728	3786335	3786469
158	"ENSG00000004660.14_1"	"CAMKK1"	chr17	-	3785821	3785858	3783639	3783728	3786335	3786469
173	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20411795	20411961	20409616	20409829	20425494	20426330
179	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	66044716	66044966	66034052	66034122	66048477	66048810
180	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	66053697	66053776	66048477	66048810	66084347	66084462
181	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	66053704	66053776	66048477	66048810	66084347	66084462
191	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67161161	67161261	67160352	67161081	67163186	67163296
