query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00041	356	117	14	0.12	0.039	GO:0005924	CC	60	cell-substrate adherens junction	1	ENSG00000050405,ENSG00000079308,ENSG00000087077,ENSG00000110651,ENSG00000111077,ENSG00000120063,ENSG00000120896,ENSG00000121691,ENSG00000137076,ENSG00000150093,ENSG00000154380,ENSG00000162909,ENSG00000164111,ENSG00000176105
1	TRUE	0.00235	85	7	3	0.429	0.035	GO:0051494	BP	69	negative regulation of cytoskeleton organization	1	ENSG00000107104,ENSG00000114166,ENSG00000158195
1	TRUE	0.00241	38	67	4	0.06	0.105	KEGG:00260	keg	9	Glycine, serine and threonine metabolism	1	ENSG00000092621,ENSG00000135069,ENSG00000164904,ENSG00000171766
1	TRUE	0.00241	114	14	3	0.214	0.026	KEGG:04919	keg	88	Thyroid hormone signaling pathway	1	ENSG00000114166,ENSG00000148400,ENSG00000150907
1	TRUE	0.00307	83	92	6	0.065	0.072	GO:0010508	BP	38	positive regulation of autophagy	1	ENSG00000097033,ENSG00000130147,ENSG00000150907,ENSG00000163820,ENSG00000164938,ENSG00000186815
1	TRUE	0.00378	237	121	10	0.083	0.042	GO:0030111	BP	80	regulation of Wnt signaling pathway	1	ENSG00000067955,ENSG00000101849,ENSG00000107104,ENSG00000116478,ENSG00000127603,ENSG00000131196,ENSG00000150457,ENSG00000162946,ENSG00000173821,ENSG00000181449
1	TRUE	0.00378	11	71	3	0.042	0.273	GO:2000737	BP	87	negative regulation of stem cell differentiation	1	ENSG00000084093,ENSG00000148400,ENSG00000152518
1	TRUE	0.00378	68	121	6	0.05	0.088	GO:0017053	CC	43	transcriptional repressor complex	1	ENSG00000084093,ENSG00000101849,ENSG00000116478,ENSG00000135547,ENSG00000136044,ENSG00000185591
1	TRUE	0.0043	133	103	7	0.068	0.053	KEGG:04550	keg	26	Signaling pathways regulating pluripotency of stem cells	1	ENSG00000083168,ENSG00000084093,ENSG00000113594,ENSG00000113658,ENSG00000120693,ENSG00000140836,ENSG00000181449
1	TRUE	0.00571	17	7	2	0.286	0.118	GO:0007221	BP	49	positive regulation of transcription of Notch receptor target	1	ENSG00000114166,ENSG00000148400
