ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151550	73151690	73151891	73152065
1	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151550	73151721	73151891	73152065
2	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74189454	74189849	74189454	74189567	74189658	74189849
3	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74189658	74190090	74189658	74189849	74190015	74190090
4	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021661	30021281	30021347	30021593	30021661
5	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61546300	61547042	61546300	61546895	61546969	61547042
6	"ENSG00000073331.17_2"	"ALPK1"	chr4	+	113346820	113347699	113346820	113346907	113347622	113347699
7	"ENSG00000172809.12_1"	"RPL38"	chr17	+	72199842	72200097	72199842	72199909	72200056	72200097
8	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632035	35632476	35632035	35632110	35632346	35632476
9	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632035	35632476	35632035	35632110	35632439	35632476
10	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35633623	35633954	35633623	35633675	35633820	35633954
11	"ENSG00000269858.5_2"	"EGLN2"	chr19	+	41313042	41313456	41313042	41313179	41313388	41313456
12	"ENSG00000269858.5_2"	"EGLN2"	chr19	+	41313713	41314337	41313713	41313818	41314065	41314337
13	"ENSG00000100629.16_2"	"CEP128"	chr14	-	81296508	81297638	81296508	81296627	81297486	81297638
14	"ENSG00000187800.13_1"	"PEAR1"	chr1	+	156877706	156878132	156877706	156877843	156877919	156878132
15	"ENSG00000174177.12_1"	"CTU2"	chr16	+	88780790	88781145	88780790	88780894	88780994	88781145
16	"ENSG00000225180.7_2"	"AATK-AS1"	chr17	+	79155358	79155881	79155358	79155494	79155765	79155881
17	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36075310	36075445	36075310	36075321	36075322	36075445
18	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57484404	57484634	57484404	57484478	57484575	57484634
19	"ENSG00000231711.2_1"	"LINC00899"	chr22	-	46438453	46439579	46438453	46438520	46439442	46439579
20	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57869853	57870237	57869853	57869949	57870146	57870237
21	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57870372	57870746	57870372	57870434	57870653	57870746
22	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57870938	57871463	57870938	57871052	57871241	57871463
