query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.1e-66	2009	341	172	0.504	0.086	GO:0002376	BP	166	immune system process	1	ENSG00000005844,ENSG00000006747,ENSG00000008394,ENSG00000010610,ENSG00000010671,ENSG00000010704,ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000019582,ENSG00000021355,ENSG00000026297,ENSG00000026950,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000066336,ENSG00000067066,ENSG00000068079,ENSG00000072694,ENSG00000072786,ENSG00000073849,ENSG00000077238,ENSG00000081237,ENSG00000082074,ENSG00000086062,ENSG00000086730,ENSG00000090104,ENSG00000090339,ENSG00000095585,ENSG00000095970,ENSG00000100292,ENSG00000100365,ENSG00000100504,ENSG00000101017,ENSG00000101096,ENSG00000101160,ENSG00000101336,ENSG00000102034,ENSG00000103187,ENSG00000104043,ENSG00000104518,ENSG00000104974,ENSG00000105122,ENSG00000105329,ENSG00000106538,ENSG00000106799,ENSG00000107099,ENSG00000107201,ENSG00000107968,ENSG00000108771,ENSG00000110057,ENSG00000111321,ENSG00000111331,ENSG00000111335,ENSG00000112343,ENSG00000112799,ENSG00000114013,ENSG00000115267,ENSG00000115318,ENSG00000115956,ENSG00000116815,ENSG00000117228,ENSG00000118503,ENSG00000118508,ENSG00000118640,ENSG00000123338,ENSG00000125347,ENSG00000125730,ENSG00000125810,ENSG00000127241,ENSG00000127314,ENSG00000128394,ENSG00000128604,ENSG00000128791,ENSG00000129226,ENSG00000130300,ENSG00000130303,ENSG00000130429,ENSG00000131042,ENSG00000132109,ENSG00000132274,ENSG00000134516,ENSG00000135077,ENSG00000136167,ENSG00000136732,ENSG00000137462,ENSG00000137628,ENSG00000137752,ENSG00000137959,ENSG00000138496,ENSG00000138646,ENSG00000140678,ENSG00000140853,ENSG00000140968,ENSG00000141968,ENSG00000142583,ENSG00000142627,ENSG00000143119,ENSG00000143226,ENSG00000145703,ENSG00000146425,ENSG00000150337,ENSG00000152804,ENSG00000155307,ENSG00000155465,ENSG00000155629,ENSG00000155926,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000160712,ENSG00000161921,ENSG00000162367,ENSG00000162493,ENSG00000162692,ENSG00000163131,ENSG00000163191,ENSG00000163563,ENSG00000163565,ENSG00000163823,ENSG00000163840,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000166710,ENSG00000166825,ENSG00000167613,ENSG00000168329,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171522,ENSG00000171860,ENSG00000172936,ENSG00000173193,ENSG00000173369,ENSG00000173372,ENSG00000174125,ENSG00000174130,ENSG00000174600,ENSG00000179583,ENSG00000180353,ENSG00000180448,ENSG00000182578,ENSG00000184979,ENSG00000185507,ENSG00000185811,ENSG00000185885,ENSG00000186818,ENSG00000188313,ENSG00000196664,ENSG00000197249,ENSG00000197943,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204264,ENSG00000204287,ENSG00000204472,ENSG00000204482,ENSG00000204642,ENSG00000213654,ENSG00000216490,ENSG00000223865,ENSG00000231389,ENSG00000239713,ENSG00000242574,ENSG00000254415,ENSG00000259207,ENSG00000276231
1	TRUE	6.11e-19	3726	440	179	0.407	0.048	GO:0005886	CC	152	plasma membrane	1	ENSG00000003400,ENSG00000005844,ENSG00000006453,ENSG00000006747,ENSG00000008394,ENSG00000010327,ENSG00000010610,ENSG00000010671,ENSG00000010704,ENSG00000011028,ENSG00000011600,ENSG00000019582,ENSG00000026950,ENSG00000028137,ENSG00000042980,ENSG00000051523,ENSG00000066294,ENSG00000069431,ENSG00000070190,ENSG00000071127,ENSG00000072694,ENSG00000072786,ENSG00000077238,ENSG00000077420,ENSG00000081237,ENSG00000082074,ENSG00000086062,ENSG00000086730,ENSG00000089356,ENSG00000089639,ENSG00000090104,ENSG00000090339,ENSG00000095585,ENSG00000095970,ENSG00000099998,ENSG00000100055,ENSG00000100365,ENSG00000100368,ENSG00000101017,ENSG00000101160,ENSG00000101336,ENSG00000101974,ENSG00000102007,ENSG00000104043,ENSG00000104081,ENSG00000104518,ENSG00000104894,ENSG00000104974,ENSG00000105122,ENSG00000105281,ENSG00000105329,ENSG00000105559,ENSG00000105974,ENSG00000106799,ENSG00000107099,ENSG00000107201,ENSG00000110324,ENSG00000111321,ENSG00000111331,ENSG00000112414,ENSG00000112799,ENSG00000114013,ENSG00000115107,ENSG00000115956,ENSG00000116815,ENSG00000118640,ENSG00000119535,ENSG00000121933,ENSG00000123338,ENSG00000125257,ENSG00000125730,ENSG00000125810,ENSG00000127314,ENSG00000129226,ENSG00000129667,ENSG00000130300,ENSG00000130303,ENSG00000131042,ENSG00000131724,ENSG00000132681,ENSG00000134531,ENSG00000134755,ENSG00000135842,ENSG00000136167,ENSG00000136732,ENSG00000137462,ENSG00000137491,ENSG00000137507,ENSG00000137819,ENSG00000139626,ENSG00000139679,ENSG00000139832,ENSG00000140678,ENSG00000141527,ENSG00000141968,ENSG00000142583,ENSG00000142627,ENSG00000143036,ENSG00000143119,ENSG00000143226,ENSG00000145685,ENSG00000145703,ENSG00000146376,ENSG00000147872,ENSG00000148908,ENSG00000150337,ENSG00000152939,ENSG00000154309,ENSG00000154330,ENSG00000155307,ENSG00000155465,ENSG00000155629,ENSG00000155850,ENSG00000155926,ENSG00000156049,ENSG00000158869,ENSG00000160191,ENSG00000160255,ENSG00000160712,ENSG00000162493,ENSG00000162511,ENSG00000162692,ENSG00000163823,ENSG00000165025,ENSG00000165168,ENSG00000165457,ENSG00000166710,ENSG00000166825,ENSG00000167461,ENSG00000167613,ENSG00000168329,ENSG00000168398,ENSG00000169252,ENSG00000169515,ENSG00000169896,ENSG00000169908,ENSG00000170458,ENSG00000171522,ENSG00000171659,ENSG00000171700,ENSG00000171860,ENSG00000172164,ENSG00000172349,ENSG00000172380,ENSG00000172936,ENSG00000173040,ENSG00000173535,ENSG00000173918,ENSG00000174021,ENSG00000174125,ENSG00000174130,ENSG00000174600,ENSG00000180353,ENSG00000182578,ENSG00000183160,ENSG00000184060,ENSG00000184574,ENSG00000185885,ENSG00000186470,ENSG00000186818,ENSG00000188313,ENSG00000196664,ENSG00000196735,ENSG00000197943,ENSG00000198223,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000204420,ENSG00000204472,ENSG00000204642,ENSG00000223865,ENSG00000231389,ENSG00000235568,ENSG00000242574,ENSG00000254415,ENSG00000259207,ENSG00000274286
1	TRUE	5.8e-18	51	270	20	0.074	0.392	KEGG:05150	keg	194	Staphylococcus aureus infection	1	ENSG00000005844,ENSG00000090339,ENSG00000125730,ENSG00000127241,ENSG00000143226,ENSG00000150337,ENSG00000159189,ENSG00000160255,ENSG00000166278,ENSG00000169896,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	5.58e-14	159	256	26	0.102	0.164	KEGG:05152	keg	101	Tuberculosis	1	ENSG00000003400,ENSG00000019582,ENSG00000105329,ENSG00000110324,ENSG00000125730,ENSG00000137462,ENSG00000140678,ENSG00000143226,ENSG00000150337,ENSG00000158869,ENSG00000160255,ENSG00000163131,ENSG00000165025,ENSG00000169896,ENSG00000170458,ENSG00000172936,ENSG00000174125,ENSG00000174130,ENSG00000179583,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	2.52e-12	66	256	17	0.066	0.258	KEGG:05140	keg	24	Leishmaniasis	1	ENSG00000051523,ENSG00000105329,ENSG00000125730,ENSG00000137462,ENSG00000143226,ENSG00000150337,ENSG00000160255,ENSG00000165168,ENSG00000169896,ENSG00000172936,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	6.23e-11	119	338	22	0.065	0.185	KEGG:04380	keg	244	Osteoclast differentiation	1	ENSG00000010671,ENSG00000011600,ENSG00000051523,ENSG00000066336,ENSG00000072694,ENSG00000095585,ENSG00000095970,ENSG00000100365,ENSG00000101096,ENSG00000104972,ENSG00000104974,ENSG00000105329,ENSG00000106799,ENSG00000131042,ENSG00000143226,ENSG00000150337,ENSG00000165025,ENSG00000182578,ENSG00000186818,ENSG00000197943,ENSG00000203747,ENSG00000259207
1	TRUE	3.08e-10	82	338	18	0.053	0.22	KEGG:04640	keg	94	Hematopoietic cell lineage	1	ENSG00000010610,ENSG00000077238,ENSG00000104894,ENSG00000119535,ENSG00000150337,ENSG00000160712,ENSG00000166825,ENSG00000169896,ENSG00000170458,ENSG00000182578,ENSG00000198223,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574,ENSG00000259207
1	TRUE	3.77e-10	840	450	58	0.129	0.069	GO:0038023	MF	191	signaling receptor activity	1	ENSG00000005844,ENSG00000010610,ENSG00000011028,ENSG00000019582,ENSG00000028137,ENSG00000069431,ENSG00000072694,ENSG00000077238,ENSG00000081237,ENSG00000082175,ENSG00000090339,ENSG00000095970,ENSG00000100368,ENSG00000101017,ENSG00000102287,ENSG00000104974,ENSG00000105281,ENSG00000106483,ENSG00000106799,ENSG00000110324,ENSG00000111321,ENSG00000112414,ENSG00000114013,ENSG00000119535,ENSG00000125810,ENSG00000131042,ENSG00000137462,ENSG00000137819,ENSG00000139679,ENSG00000140678,ENSG00000142627,ENSG00000153029,ENSG00000158869,ENSG00000160255,ENSG00000160712,ENSG00000163823,ENSG00000166825,ENSG00000168329,ENSG00000168398,ENSG00000169252,ENSG00000170458,ENSG00000171522,ENSG00000171659,ENSG00000171860,ENSG00000173535,ENSG00000174125,ENSG00000174130,ENSG00000174600,ENSG00000182578,ENSG00000186818,ENSG00000196735,ENSG00000198223,ENSG00000204252,ENSG00000204287,ENSG00000231389,ENSG00000235568,ENSG00000259207,ENSG00000274286
1	TRUE	6.5e-10	137	411	24	0.058	0.175	KEGG:04145	keg	74	Phagosome	1	ENSG00000011028,ENSG00000051523,ENSG00000072694,ENSG00000100365,ENSG00000125730,ENSG00000137462,ENSG00000143226,ENSG00000150337,ENSG00000160255,ENSG00000163131,ENSG00000165168,ENSG00000169896,ENSG00000170458,ENSG00000174130,ENSG00000196735,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000204642,ENSG00000223865,ENSG00000231389,ENSG00000242574,ENSG00000259207
1	TRUE	1.04e-09	88	344	18	0.052	0.205	KEGG:05322	keg	151	Systemic lupus erythematosus	1	ENSG00000101017,ENSG00000114013,ENSG00000125730,ENSG00000132109,ENSG00000143226,ENSG00000150337,ENSG00000159189,ENSG00000166278,ENSG00000173369,ENSG00000173372,ENSG00000196787,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
