ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21995199	21995303	21999790	21999817	21987790	21987911	22033192	22033509	2	0,0,4,12,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0	2,0,0,34,0,0,0,0,22,0,0,0,0,51,0,0,0,0,0,0,0,0,4,0	4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,49,8,14,0,0,0,0,0,30,29,0,0,2,0,2,0,0,10,0	177	254	1	1.0	0.0,NA,1.0,0.336,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1.0,0.0,0.0,0.17,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,0.0,NA,0.0,NA,NA,0.0,NA	0.21
3	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017007	36017254	36017521	36017580	36014184	36014453	36020765	36020908	3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,28,51,0,0,0,0	1,0,0,0,0,0,0,43,0,7,0,28,0,0,0,0,0,54,0,6,0,0,1,9	0,0,0,0,16,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0	0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0	209	397	1	1.0	0.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,0.0,NA,NA,1.0,NA,NA,0.0,1.0,0.942,NA,NA,0.0,0.0	NA,0.0,NA,NA,0.792,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA	-0.064
4	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36014184	36014453	36047600	36047698	4	0,0,1,8,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0,111	42,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0	53,0,0,16,0,0,0,69,15,20,0,0,4,0,0,0,7,0,0,0	24,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	293	209	1	1.0	0.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.612,NA,NA,1.0,0.0,NA,NA,1.0,1.0,1.0,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA	-0.112
5	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36017007	36017254	36047600	36047698	5	0,0,1,0,0,0,0,0,0,7,0,37,0,0,0,0,0,0,1,0,0,0,0,75	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	37,0,0,8,0,0,0,69,15,0,0,0,4,0,0,0,15,0,2,0	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	293	209	1	1.0	NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.494,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA	0.072
7	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	167299	167374	169124	169254	162620	162774	180520	180590	7	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1	0,0,0,3,0,0,0,0,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0	0,4,53,0,0,0,0,0,0,0,41,0,0,20,0,14,0,0,0,0	0,4,0,0,0,0,0,0,2,37,43,0,0,0,0,0,0,0,0,0	280	225	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,0.0,1.0,NA,NA,0.0,NA,NA,NA,1.0,NA,0.0,NA,NA,NA,NA,1.0	NA,0.446,1.0,NA,NA,NA,NA,NA,0.0,0.0,0.434,NA,NA,1.0,NA,1.0,NA,NA,NA,NA	-0.126
11	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867824	57867959	57868205	57868259	57867385	57867491	57868408	57868486	11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,11,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,4,0	0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0	204	285	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	-0.333
12	"ENSG00000135622.12_1"	"SEMA4F"	chr2	+	74884979	74885078	74889858	74889952	74884691	74884751	74900583	74900703	12	0,0,0,0,0,0,0,94,2,0,0,0,0,43,75,0,52,0,30,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,6,15,0,134,52,0,37,52,0,15,0	0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,49,0	249	244	1	1.0	NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,1.0,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296,1.0,NA,1.0,0.944,NA,1.0,1.0,NA,0.231,NA	0.218
14	"ENSG00000153253.15_2"	"SCN3A"	chr2	-	166020127	166020219	166020311	166020403	166019065	166019338	166020901	166021030	14	0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0	97,0,1,0,33,0,0,30,31,0,131,0,66,82,193,0,0,0,89,0,209,0,6,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	19,36,0,81,0,0,0,48,0,0,47,0,4,0,0,0,149,0,13,0	242	242	1	1.0	0.0,NA,0.0,NA,0.0,NA,NA,0.0,0.0,NA,0.0,NA,0.0,0.128,0.01,NA,NA,NA,0.0,NA,0.0,NA,0.0,0.0	0.0,0.0,NA,0.0,NA,NA,NA,0.0,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,NA,0.0,NA	0.011
16	"ENSG00000178568.14_2"	"ERBB4"	chr2	-	212522478	212522553	212522674	212522719	212495186	212495319	212530047	212530202	16	0,0,0,2,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5	32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0	195	225	1	1.0	NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0	0.86,1.0,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.202
21	"ENSG00000152208.12_2"	"GRID2"	chr4	+	93511281	93511437	94006145	94006430	93224772	93225895	94031898	94032104	21	0,0,46,20,46,0,0,0,12,23,0,37,0,7,61,0,0,31,36,0,0,0,15,4	0,0,14,24,36,0,0,0,8,20,61,2,0,0,21,0,141,30,5,166,0,45,20,29	0,1,30,0,0,0,0,0,11,1,5,0,0,15,60,24,5,0,26,0	16,31,0,0,4,264,132,0,1,0,1,0,0,0,0,0,63,12,4,0	306	435	1	1.0	NA,NA,0.824,0.542,0.645,NA,NA,NA,0.681,0.62,0.0,0.963,NA,1.0,0.805,NA,0.0,0.595,0.911,0.0,NA,0.0,0.516,0.164	0.0,0.044,1.0,NA,0.0,0.0,0.0,NA,0.94,1.0,0.877,NA,NA,1.0,1.0,1.0,0.101,0.0,0.902,NA	-0.008
