query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000275	375	748	37	0.049	0.099	GO:0006397	BP	11	mRNA processing	1	ENSG00000021776,ENSG00000058673,ENSG00000060339,ENSG00000079134,ENSG00000100028,ENSG00000108406,ENSG00000108848,ENSG00000110768,ENSG00000111358,ENSG00000112739,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000122566,ENSG00000124193,ENSG00000125351,ENSG00000137574,ENSG00000137776,ENSG00000138035,ENSG00000139168,ENSG00000140830,ENSG00000145736,ENSG00000145833,ENSG00000146963,ENSG00000155827,ENSG00000163166,ENSG00000164167,ENSG00000164944,ENSG00000166477,ENSG00000172062,ENSG00000177613,ENSG00000180917,ENSG00000185246,ENSG00000196504,ENSG00000240344,ENSG00000272047
1	TRUE	0.000275	732	748	58	0.078	0.079	GO:0006396	BP	25	RNA processing	1	ENSG00000013441,ENSG00000021776,ENSG00000058673,ENSG00000060339,ENSG00000067248,ENSG00000075292,ENSG00000079134,ENSG00000083223,ENSG00000083520,ENSG00000100028,ENSG00000104613,ENSG00000108406,ENSG00000108848,ENSG00000109534,ENSG00000110768,ENSG00000111358,ENSG00000112739,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000122566,ENSG00000123737,ENSG00000124193,ENSG00000124383,ENSG00000124784,ENSG00000125351,ENSG00000131051,ENSG00000132467,ENSG00000137574,ENSG00000137776,ENSG00000138035,ENSG00000138398,ENSG00000139168,ENSG00000140830,ENSG00000145736,ENSG00000145833,ENSG00000146963,ENSG00000147679,ENSG00000155827,ENSG00000156697,ENSG00000162664,ENSG00000163166,ENSG00000164167,ENSG00000164944,ENSG00000165733,ENSG00000166477,ENSG00000171103,ENSG00000172062,ENSG00000175387,ENSG00000177613,ENSG00000180917,ENSG00000185246,ENSG00000186666,ENSG00000196504,ENSG00000223496,ENSG00000240344,ENSG00000272047
1	TRUE	0.00173	520	51	11	0.216	0.021	GO:0007017	BP	45	microtubule-based process	1	ENSG00000074935,ENSG00000100815,ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000115355,ENSG00000126777,ENSG00000127914,ENSG00000162959,ENSG00000170759,ENSG00000187240
1	TRUE	0.00192	66	45	5	0.111	0.076	GO:0006275	BP	15	regulation of DNA replication	1	ENSG00000101972,ENSG00000108055,ENSG00000115355,ENSG00000121892,ENSG00000141446
1	TRUE	0.00448	533	14	6	0.429	0.011	GO:0005815	CC	9	microtubule organizing center	1	ENSG00000065243,ENSG00000074935,ENSG00000122417,ENSG00000127914,ENSG00000170759,ENSG00000175455
1	TRUE	0.0057	610	67	12	0.179	0.02	GO:0070925	BP	20	organelle assembly	1	ENSG00000079950,ENSG00000100815,ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000115355,ENSG00000118246,ENSG00000122417,ENSG00000127914,ENSG00000166037,ENSG00000187240,ENSG00000188906
1	TRUE	0.0177	74	42	4	0.095	0.054	GO:0048524	BP	19	positive regulation of viral process	1	ENSG00000048649,ENSG00000065243,ENSG00000108055,ENSG00000153922
1	TRUE	0.0177	5	34	2	0.059	0.4	GO:0032876	BP	2	negative regulation of DNA endoreduplication	1	ENSG00000101972,ENSG00000108055
1	TRUE	0.0177	15	11	2	0.182	0.133	GO:0061842	BP	5	microtubule organizing center localization	1	ENSG00000127914,ENSG00000170759
1	TRUE	0.0177	286	680	24	0.035	0.084	GO:0016607	CC	44	nuclear speck	1	ENSG00000079134,ENSG00000100815,ENSG00000101751,ENSG00000108848,ENSG00000112739,ENSG00000116350,ENSG00000116754,ENSG00000123200,ENSG00000124193,ENSG00000131051,ENSG00000138398,ENSG00000138433,ENSG00000143507,ENSG00000145736,ENSG00000145833,ENSG00000147082,ENSG00000147874,ENSG00000153914,ENSG00000164543,ENSG00000164944,ENSG00000176697,ENSG00000196504,ENSG00000197579,ENSG00000198887
