ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191751	74191967	74191762	74191967	74190397	74190528	4	0,0,0,0,0,0,0,0,0,0,0,401,0	0,0,0,0,0,0,0,403,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0	160	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	0.333
7	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37388489	37388631	37388489	37388608	37390167	37390400	7	0,0,0,0,0,73,0,0,47,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,81,0,0,0,0	172	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
10	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61548428	61548517	61548431	61548517	61548183	61548264	10	0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,29,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,101,0,0,0	152	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.5
17	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632346	35632476	35632439	35632476	35632035	35632110	17	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,173,0,0,0,0,133,0,0	0,0,0,0,0,0,130,0,0,0	0,0,0,0,0,0,9,0,87,0	242	150	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.9,NA,0.0,NA	-0.45
20	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57478582	57478640	57478585	57478640	57470666	57470739	20	0,43,0,0,95,147,0,0,22,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,3,0,0,47	0,0,0,0,59,0,49,0,0,0	152	150	1	1.0	NA,1.0,NA,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,0.057,NA,NA,1.0	0.648
21	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57478582	57478640	57478585	57478640	57473995	57474040	21	0,217,0,0,0,0,0,38,52,0,7,0,0	228,641,282,1,0,149,1,134,185,5,205,1,0	0,73,0,0,0,0,2,0,201,0	33,101,0,1,1,126,93,8,153,3	152	150	1	1.0	0.0,0.25,0.0,0.0,NA,0.0,0.0,0.219,0.217,0.0,0.033,0.0,NA	0.0,0.416,NA,0.0,0.0,0.0,0.021,0.0,0.565,0.0	-0.046
26	"ENSG00000140395.8_2"	"WDR61"	chr15	-	78577602	78578066	78577602	78577681	78578382	78578475	26	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-1.0
31	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	65992881	65993013	65992881	65993010	65993388	65993530	31	0,0,0,0,0,0,0,16,0,0,0,0,0	0,10,0,0,0,0,0,290,0,0,0,0,0	112,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,89,0,0	152	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,0.052,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA	-0.474
36	"ENSG00000099814.15_1"	"CEP170B"	chr14	+	105355851	105356095	105355956	105356095	105352611	105354315	36	3,204,585,0,0,0,0,0,1,0,0,297,0	0,26,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,428,12,2,0	0,0,0,0,0,0,0,0,0,0	254	150	1	1.0	1.0,0.822,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,NA,1.0,1.0,1.0,NA	-0.036
44	"ENSG00000160209.18_1"	"PDXK"	chr21	+	45163549	45163688	45163604	45163688	45161547	45161652	44	0,0,0,0,0,0,0,0,0,0,0,93,0	0,93,0,0,0,0,0,101,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,38,121,0,0,0	204	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	0.333
