query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	4.17e-05	1494	266	49	0.184	0.033	GO:0009653	BP	73	anatomical structure morphogenesis	1	ENSG00000035403,ENSG00000053747,ENSG00000057294,ENSG00000060718,ENSG00000077943,ENSG00000078114,ENSG00000079691,ENSG00000099204,ENSG00000101134,ENSG00000102302,ENSG00000103528,ENSG00000107562,ENSG00000109472,ENSG00000112562,ENSG00000115170,ENSG00000115232,ENSG00000118257,ENSG00000120129,ENSG00000122691,ENSG00000123384,ENSG00000130066,ENSG00000134871,ENSG00000135862,ENSG00000137273,ENSG00000137801,ENSG00000138061,ENSG00000147862,ENSG00000148053,ENSG00000152767,ENSG00000154229,ENSG00000154310,ENSG00000154928,ENSG00000159674,ENSG00000163349,ENSG00000164056,ENSG00000164379,ENSG00000164683,ENSG00000164946,ENSG00000165322,ENSG00000165617,ENSG00000168646,ENSG00000174059,ENSG00000175344,ENSG00000180263,ENSG00000186174,ENSG00000188064,ENSG00000196576,ENSG00000198435,ENSG00000206190
1	TRUE	7.49e-05	4258	202	80	0.396	0.019	GO:0032501	BP	151	multicellular organismal process	1	ENSG00000035403,ENSG00000053747,ENSG00000057294,ENSG00000060718,ENSG00000070729,ENSG00000078114,ENSG00000079691,ENSG00000080573,ENSG00000080709,ENSG00000082805,ENSG00000089902,ENSG00000090006,ENSG00000099204,ENSG00000100311,ENSG00000101134,ENSG00000101400,ENSG00000101938,ENSG00000102302,ENSG00000103855,ENSG00000103888,ENSG00000107562,ENSG00000109472,ENSG00000111252,ENSG00000112139,ENSG00000112562,ENSG00000113555,ENSG00000113645,ENSG00000114646,ENSG00000115155,ENSG00000115170,ENSG00000115232,ENSG00000115902,ENSG00000118257,ENSG00000120129,ENSG00000122691,ENSG00000123384,ENSG00000130066,ENSG00000130287,ENSG00000134508,ENSG00000135916,ENSG00000135919,ENSG00000137273,ENSG00000137801,ENSG00000138061,ENSG00000141753,ENSG00000147862,ENSG00000148053,ENSG00000152767,ENSG00000153904,ENSG00000154229,ENSG00000154928,ENSG00000159674,ENSG00000161642,ENSG00000162998,ENSG00000163349,ENSG00000163932,ENSG00000164056,ENSG00000164683,ENSG00000164946,ENSG00000165617,ENSG00000166426,ENSG00000168646,ENSG00000169129,ENSG00000170390,ENSG00000170955,ENSG00000170962,ENSG00000172175,ENSG00000175344,ENSG00000180190,ENSG00000181467,ENSG00000182197,ENSG00000183762,ENSG00000186174,ENSG00000188064,ENSG00000188158,ENSG00000188803,ENSG00000196576,ENSG00000197921,ENSG00000198467,ENSG00000204624
1	TRUE	0.000474	232	217	14	0.065	0.06	GO:0030198	BP	23	extracellular matrix organization	1	ENSG00000053747,ENSG00000060718,ENSG00000077943,ENSG00000080573,ENSG00000100311,ENSG00000115232,ENSG00000118271,ENSG00000123384,ENSG00000130287,ENSG00000135862,ENSG00000137273,ENSG00000137801,ENSG00000138061,ENSG00000154721
1	TRUE	0.00132	1362	226	37	0.164	0.027	GO:0006928	BP	20	movement of cell or subcellular component	1	ENSG00000035403,ENSG00000057294,ENSG00000066735,ENSG00000079691,ENSG00000080709,ENSG00000100246,ENSG00000100311,ENSG00000101134,ENSG00000101400,ENSG00000103888,ENSG00000107562,ENSG00000112139,ENSG00000112562,ENSG00000113645,ENSG00000115170,ENSG00000115232,ENSG00000116852,ENSG00000118257,ENSG00000122691,ENSG00000123384,ENSG00000135862,ENSG00000135919,ENSG00000137801,ENSG00000138061,ENSG00000147862,ENSG00000148053,ENSG00000149564,ENSG00000154229,ENSG00000154721,ENSG00000154928,ENSG00000159674,ENSG00000162512,ENSG00000163932,ENSG00000170962,ENSG00000183098,ENSG00000196576,ENSG00000198467
1	TRUE	0.00136	175	125	9	0.072	0.051	GO:0062023	CC	102	collagen-containing extracellular matrix	1	ENSG00000053747,ENSG00000060718,ENSG00000080573,ENSG00000090006,ENSG00000100311,ENSG00000135919,ENSG00000140545,ENSG00000162512,ENSG00000163520
1	TRUE	0.00159	2	52	2	0.038	1	GO:1990936	BP	76	vascular smooth muscle cell dedifferentiation	1	ENSG00000100311,ENSG00000105088
1	TRUE	0.00159	2131	242	51	0.211	0.024	GO:0009966	BP	97	regulation of signal transduction	1	ENSG00000066735,ENSG00000070729,ENSG00000071205,ENSG00000071575,ENSG00000075142,ENSG00000090006,ENSG00000100311,ENSG00000101134,ENSG00000102302,ENSG00000107562,ENSG00000108375,ENSG00000112562,ENSG00000113645,ENSG00000115170,ENSG00000120129,ENSG00000122691,ENSG00000123384,ENSG00000135299,ENSG00000137801,ENSG00000137962,ENSG00000138061,ENSG00000141753,ENSG00000147256,ENSG00000148053,ENSG00000154229,ENSG00000154310,ENSG00000154928,ENSG00000161642,ENSG00000162998,ENSG00000163349,ENSG00000163932,ENSG00000164056,ENSG00000164683,ENSG00000165322,ENSG00000165617,ENSG00000168646,ENSG00000169129,ENSG00000170962,ENSG00000172175,ENSG00000172985,ENSG00000175344,ENSG00000183762,ENSG00000184160,ENSG00000186174,ENSG00000188803,ENSG00000196660,ENSG00000197442,ENSG00000197921,ENSG00000198176,ENSG00000198435,ENSG00000239282
1	TRUE	0.00159	124	95	7	0.074	0.056	GO:0030178	BP	18	negative regulation of Wnt signaling pathway	1	ENSG00000108375,ENSG00000123384,ENSG00000141753,ENSG00000162998,ENSG00000165617,ENSG00000168646,ENSG00000188803
1	TRUE	0.00159	99	254	9	0.035	0.091	GO:0006024	BP	14	glycosaminoglycan biosynthetic process	1	ENSG00000100311,ENSG00000103888,ENSG00000114646,ENSG00000117411,ENSG00000130287,ENSG00000147119,ENSG00000162512,ENSG00000182197,ENSG00000183098
1	TRUE	0.00159	80	57	5	0.088	0.062	GO:0005796	CC	104	Golgi lumen	1	ENSG00000100311,ENSG00000130287,ENSG00000162512,ENSG00000183098,ENSG00000188064
1	TRUE	0.00193	527	27	7	0.259	0.013	GO:0030029	BP	100	actin filament-based process	1	ENSG00000078114,ENSG00000079691,ENSG00000080709,ENSG00000082438,ENSG00000102302,ENSG00000123384,ENSG00000180263
1	TRUE	0.00277	3792	264	80	0.303	0.021	GO:0071944	CC	131	cell periphery	1	ENSG00000026559,ENSG00000035403,ENSG00000050628,ENSG00000057294,ENSG00000070081,ENSG00000070729,ENSG00000072182,ENSG00000075142,ENSG00000077943,ENSG00000079691,ENSG00000080709,ENSG00000082805,ENSG00000099992,ENSG00000100246,ENSG00000100311,ENSG00000101400,ENSG00000103528,ENSG00000103855,ENSG00000103888,ENSG00000105088,ENSG00000107562,ENSG00000108375,ENSG00000109472,ENSG00000112139,ENSG00000112562,ENSG00000113555,ENSG00000113645,ENSG00000114646,ENSG00000115109,ENSG00000115170,ENSG00000115232,ENSG00000115902,ENSG00000118257,ENSG00000123384,ENSG00000130224,ENSG00000132164,ENSG00000135052,ENSG00000135916,ENSG00000135919,ENSG00000137801,ENSG00000138172,ENSG00000141485,ENSG00000146477,ENSG00000147041,ENSG00000148053,ENSG00000149452,ENSG00000149564,ENSG00000152767,ENSG00000154229,ENSG00000154310,ENSG00000154721,ENSG00000154928,ENSG00000157103,ENSG00000161533,ENSG00000162512,ENSG00000162551,ENSG00000163932,ENSG00000164056,ENSG00000165322,ENSG00000168646,ENSG00000168952,ENSG00000169129,ENSG00000170385,ENSG00000170955,ENSG00000172935,ENSG00000174059,ENSG00000175344,ENSG00000177707,ENSG00000179242,ENSG00000181467,ENSG00000182132,ENSG00000183098,ENSG00000184160,ENSG00000188064,ENSG00000188803,ENSG00000196576,ENSG00000196660,ENSG00000206190,ENSG00000211448,ENSG00000277443
1	TRUE	0.00317	908	217	26	0.12	0.029	GO:0016477	BP	32	cell migration	1	ENSG00000035403,ENSG00000079691,ENSG00000100311,ENSG00000103888,ENSG00000107562,ENSG00000112139,ENSG00000112562,ENSG00000113645,ENSG00000115170,ENSG00000115232,ENSG00000118257,ENSG00000123384,ENSG00000135862,ENSG00000135919,ENSG00000137801,ENSG00000138061,ENSG00000148053,ENSG00000149564,ENSG00000154229,ENSG00000154721,ENSG00000154928,ENSG00000162512,ENSG00000163932,ENSG00000170962,ENSG00000183098,ENSG00000196576
1	TRUE	0.00317	44	23	3	0.13	0.068	GO:0030032	BP	96	lamellipodium assembly	1	ENSG00000035403,ENSG00000079691,ENSG00000099204
1	TRUE	0.00317	252	205	12	0.059	0.048	GO:0005788	CC	114	endoplasmic reticulum lumen	1	ENSG00000049449,ENSG00000060718,ENSG00000080573,ENSG00000100311,ENSG00000101938,ENSG00000135052,ENSG00000135862,ENSG00000137801,ENSG00000140545,ENSG00000141753,ENSG00000170962,ENSG00000188064
1	TRUE	0.00317	226	27	5	0.185	0.022	GO:0031252	CC	149	cell leading edge	1	ENSG00000079691,ENSG00000099204,ENSG00000102302,ENSG00000113645,ENSG00000180263
1	TRUE	0.00317	111	266	9	0.034	0.081	GO:0005201	MF	3	extracellular matrix structural constituent	1	ENSG00000060718,ENSG00000080573,ENSG00000090006,ENSG00000130287,ENSG00000134871,ENSG00000135862,ENSG00000137801,ENSG00000140545,ENSG00000163520
1	TRUE	0.00345	119	27	4	0.148	0.034	GO:0030027	CC	124	lamellipodium	1	ENSG00000079691,ENSG00000099204,ENSG00000102302,ENSG00000180263
1	TRUE	0.00348	510	242	19	0.079	0.037	GO:0043408	BP	5	regulation of MAPK cascade	1	ENSG00000071575,ENSG00000100311,ENSG00000113645,ENSG00000120129,ENSG00000135299,ENSG00000137801,ENSG00000148053,ENSG00000154229,ENSG00000154310,ENSG00000154928,ENSG00000163932,ENSG00000164056,ENSG00000165617,ENSG00000170962,ENSG00000172985,ENSG00000175344,ENSG00000184160,ENSG00000196660,ENSG00000197442
1	TRUE	0.00361	27	136	4	0.029	0.148	GO:0010543	BP	75	regulation of platelet activation	1	ENSG00000100311,ENSG00000135919,ENSG00000154229,ENSG00000163932
1	TRUE	0.00361	65	57	4	0.07	0.062	GO:0016101	BP	53	diterpenoid metabolic process	1	ENSG00000123384,ENSG00000138061,ENSG00000162512,ENSG00000183098
1	TRUE	0.00361	8	23	2	0.087	0.25	GO:0051639	BP	129	actin filament network formation	1	ENSG00000079691,ENSG00000082438
1	TRUE	0.00361	2	131	2	0.015	1	GO:0071579	BP	69	regulation of zinc ion transport	1	ENSG00000170385,ENSG00000196660
1	TRUE	0.00361	61	199	6	0.03	0.098	GO:0034109	BP	68	homotypic cell-cell adhesion	1	ENSG00000035403,ENSG00000057294,ENSG00000135919,ENSG00000154229,ENSG00000163932,ENSG00000181467
1	TRUE	0.00361	256	260	13	0.05	0.051	GO:0005509	MF	55	calcium ion binding	1	ENSG00000049449,ENSG00000070081,ENSG00000075142,ENSG00000090006,ENSG00000103528,ENSG00000112562,ENSG00000115155,ENSG00000122642,ENSG00000123384,ENSG00000137801,ENSG00000147041,ENSG00000163520,ENSG00000182132
