ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74189658	74190090	74189658	74189849	74190397	74190528	2	62,0,0,0,0,129,0,611,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,245,0	391	150	1	1.0	1.0,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	1.0
25	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510558	56510714	56510558	56510583	56510972	56510995	25	0,0,0,0,0,0,0,0,0,0,0,0,287	20,300,0,15,2,18,0,2,2,0,2,1,0	0,0,0,0,0,0,0,0,0,0	73,1,0,0,0,66,155,63,221,15	281	150	1	1.0	0.0,0.0,NA,0.0,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,1.0	0.0,0.0,NA,NA,NA,0.0,0.0,0.0,0.0,0.0	0.1
38	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52752733	52753410	52752733	52752804	52757925	52758017	38	1,22,0,0,0,0,0,0,22,0,2,0,0	2,92,0,0,0,156,0,0,17,0,0,0,0	0,66,0,0,0,0,13,0,0,0	20,0,0,0,0,0,99,0,0,0	756	150	1	1.0	0.09,0.045,NA,NA,NA,0.0,NA,NA,0.204,NA,1.0,NA,NA	0.0,1.0,NA,NA,NA,NA,0.025,NA,NA,NA	-0.074
47	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70312947	70313404	70313255	70313404	70312678	70312756	47	0,0,0,0,0,0,0,0,0,0,184,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0	458	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA	1.0
63	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151842237	151842380	151842249	151842380	151841797	151841966	63	0,20,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0	0,1,0,0,0,97,0,135,0,0	0,0,0,0,0,14,220,0,0,88	162	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,1.0,NA,NA,NA,0.865,0.0,1.0,NA,0.0	-0.073
73	"ENSG00000131143.8_2"	"COX4I1"	chr16	+	85838542	85838759	85838542	85838710	85839338	85839470	73	0,25,0,0,0,0,0,0,0,0,0,0,0	0,569,0,326,0,283,81,0,12,0,160,85,0	0,0,0,0,0,0,0,0,129,0	1,0,0,0,0,123,2,30,2,0	199	150	1	1.0	NA,0.032,NA,0.0,NA,0.0,0.0,NA,0.0,NA,0.0,0.0,NA	0.0,NA,NA,NA,NA,0.0,0.0,0.0,0.98,NA	-0.191
74	"ENSG00000105197.10_2"	"TIMM50"	chr19	+	39973524	39973603	39973524	39973556	39973774	39973796	74	0,0,0,0,0,0,0,0,1,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	197	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.5
92	"ENSG00000118276.11_1"	"B4GALT6"	chr18	-	29206951	29207084	29206961	29207084	29206245	29206347	92	0,2,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,3,0,0,0,0	160	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
95	"ENSG00000106278.11_1"	"PTPRZ1"	chr7	+	121650387	121653943	121650387	121651363	121659177	121659322	95	668,2436,1679,191,1126,3651,204,626,377,3727,11030,7131,4	0,2,0,0,0,0,0,0,0,0,0,5,0	1222,3299,0,320,2,1955,2777,269,822,411	0,0,0,0,0,0,0,0,0,0	2730	150	1	1.0	1.0,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.987,1.0	1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.002
96	"ENSG00000204161.13_2"	"C10orf128"	chr10	-	50374489	50375054	50374913	50375054	50373810	50373841	96	0,0,0,0,149,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,4,0,0,0,0	574	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
